Naziv_proteina
YP_009047210.1 |membrane protein
YP_009047211.1 |nucleoprotein
YP_007188585.1 |membrane protein
YP_007188586.1 |nucleocapsid protein
XJP51031.1 |spike glycoprotein
XJP51037.1 |membrane protein
XJP51038.1 |nucleoprotein
XJP51042.1 |spike glycoprotein
XJP51048.1 |membrane protein
XJP51049.1 |nucleoprotein
XJP51053.1 |spike glycoprotein
XJP51059.1 |membrane protein
XJP51060.1 |nucleoprotein
UYR00344.1 |spike glycoprotein
UYR00350.1 |membrane glycoprotein
UYR00351.1 |nucleocapsid phosphoprotein
UYR00354.1 |spike glycoprotein
UYR00360.1 |membrane glycoprotein
UYR00361.1 |nucleocapsid phosphoprotein
UYR00365.1 |spike glycoprotein
UYR00371.1 |membrane glycoprotein
UYR00372.1 |nucleocapsid phosphoprotein
UYV90084.1 |membrane glycoprotein
UYV90085.1 |nucleocapsid protein
UYV90094.1 |membrane glycoprotein
UYV90095.1 |nucleocapsid protein
UBS90429.1 |spike glycoprotein
UBS90435.1 |membrane protein
UBS90436.1 |nucleoprotein
UBS90446.1 |membrane protein
UBS90447.1 |nucleoprotein
UBS90451.1 |spike glycoprotein
UBS90457.1 |membrane protein
UBS90458.1 |nucleoprotein
UBS90462.1 |spike glycoprotein
UBS90468.1 |membrane protein
UBS90469.1 |nucleoprotein
UBS90473.1 |spike glycoprotein
UBS90479.1 |membrane protein
UBS90480.1 |nucleoprotein
UBS90484.1 |spike glycoprotein
UBS90490.1 |membrane protein
UBS90491.1 |nucleoprotein
UBS90501.1 |membrane protein
UBS90502.1 |nucleoprotein
UBS90506.1 |spike glycoprotein
UBS90512.1 |membrane protein
UBS90513.1 |nucleoprotein
UBS90517.1 |spike glycoprotein
UBS90523.1 |membrane protein
UBS90524.1 |nucleoprotein
USL83017.1 |membrane protein
USL83018.1 |nucleocapsid protein
UHI99917.1 |membrane protein
UHI99918.1 |nucleocapsid protein
UHI99928.1 |membrane protein
UHI99929.1 |nucleocapsid protein
QSI72195.1 |membrane protein
QSI72196.1 |nucleoprotein
QSI72206.1 |membrane protein
QSI72207.1 |nucleoprotein
QJX19871.1 |nucleocapsid
QJX19872.1 |membrane protein
QJX19881.1 |nucleocapsid
QJX19882.1 |membrane protein
QJX19891.1 |nucleocapsid
QJX19892.1 |membrane protein
QJX19901.1 |nucleocapsid
QJX19902.1 |membrane protein
QJX19911.1 |nucleocapsid
QJX19912.1 |membrane protein
QJX19921.1 |nucleocapsid
QJX19922.1 |membrane protein
QJX19931.1 |nucleocapsid
QJX19932.1 |membrane protein
QJX19941.1 |nucleocapsid
QJX19942.1 |membrane protein
QKF93424.1 |membrane protein
QKF93425.1 |nucleoprotein
QKX95941.1 |membrane protein
QKX95942.1 |nucleocapsid protein
QJX19963.1 |membrane protein
QJX19964.1 |nucleoprotein
QGW51898.1 |spike glycoprotein
QGW51904.1 |membrane protein
QGW51905.1 |nucleoprotein
QGW51909.1 |spike glycoprotein
QGW51915.1 |membrane protein
QGW51916.1 |nucleoprotein
QGW51920.1 |spike glycoprotein
QGW51926.1 |membrane protein
QGW51927.1 |nucleoprotein
QDP16195.1 |spike glycoprotein
QDP16201.1 |membrane protein
QDP16202.1 |nucleoprotein
QDP16206.1 |spike glycoprotein
QDP16212.1 |membrane protein
QDP16213.1 |nucleoprotein
QCQ29081.1 |membrane protein
QCQ29082.1 |nucleoprotein
QCI31475.1 |membrane protein
QCI31476.1 |nucleocapsid protein
QCI31486.1 |membrane protein
QCI31487.1 |nucleocapsid protein
QBM11742.1 |membrane
QBM11743.1 |nucleocapsid
QBM11754.1 |membrane
QBM11755.1 |nucleocapsid
AYO86699.1 |spike glycoprotein
AYO86705.1 |membrane protein
AYO86706.1 |nucleoprotein
AZK15906.1 |membrane protein
AZK15907.1 |nucleocapsid protein
AYV64549.1 |spike glycoprotein
AYV64555.1 |membrane protein
AYV64556.1 |nucleoprotein
AYV64560.1 |spike glycoprotein
AYV64566.1 |membrane protein
AYV64567.1 |nucleoprotein
AYP10298.1 |spike glycoprotein
AYP10304.1 |membrane protein
AYP10305.1 |nucleoprotein
AYJ71470.1 |spike glycoprotein
AYJ71476.1 |membrane protein
AYJ71477.1 |nucleoprotein
AYJ71481.1 |spike glycoprotein
AYJ71487.1 |membrane protein
AYJ71488.1 |nucleoprotein
AYM48030.1 |spike glycoprotein
AYM48037.1 |membrane protein
AYM48038.1 |nucleoprotein
ARQ84735.1 |spike glycoprotein
ARQ84741.1 |membrane protein
ARQ84742.1 |nucleoprotein
ARQ84746.1 |spike glycoprotein
ARQ84752.1 |membrane protein
ARQ84753.1 |nucleoprotein
ARQ84757.1 |spike glycoprotein
ARQ84763.1 |membrane protein
ARQ84764.1 |nucleoprotein
ARQ84768.1 |spike glycoprotein
ARQ84774.1 |membrane protein
ARQ84775.1 |nucleoprotein
AVK87318.1 |spike glycoprotein
AVK87324.1 |membrane protein
AVK87325.1 |nucleoprotein
AVK87329.1 |spike glycoprotein
AVK87335.1 |membrane protein
AVK87336.1 |nucleoprotein
AVK87346.1 |membrane protein
AVK87347.1 |nucleoprotein
AVK87351.1 |spike glycoprotein
AVK87357.1 |membrane protein
AVK87358.1 |nucleoprotein
AVK87362.1 |spike glycoprotein
AVK87368.1 |membrane protein
AVK87369.1 |nucleoprotein
AVK87373.1 |spike glycoprotein
AVK87379.1 |membrane protein
AVK87384.1 |spike glycoprotein
AVK87390.1 |membrane protein
AVK87395.1 |spike glycoprotein
AVK87401.1 |membrane protein
AVK87402.1 |nucleoprotein
AVK87406.1 |spike glycoprotein
AVK87412.1 |membrane protein
AVK87413.1 |nucleoprotein
AVK87423.1 |membrane protein
AVK87424.1 |nucleoprotein
AVK87428.1 |spike glycoprotein
AVK87434.1 |membrane protein
AVK87445.1 |membrane protein
AVK87446.1 |nucleoprotein
AVK87450.1 |spike glycoprotein
AVK87456.1 |membrane protein
AVK87457.1 |nucleoprotein
AVK87461.1 |spike glycoprotein
AVK87467.1 |membrane protein
AVK87468.1 |nucleoprotein
AXG21643.1 |spike glycoprotein
AXG21649.1 |membrane protein
AXG21650.1 |nucleoprotein
AXG21654.1 |spike glycoprotein
AXG21660.1 |membrane protein
AXG21661.1 |nucleoprotein
AXG21665.1 |spike glycoprotein
AXG21671.1 |membrane protein
AXG21672.1 |nucleoprotein
AWU59321.1 |spike glycoprotein
AWU59327.1 |membrane protein
AWU59328.1 |nucleoprotein
AWM99582.1 |spike glycoprotein
AWM99588.1 |membrane protein
AWM99589.1 |nucleoprotein
AVV61900.1 |spike glycoprotein
AVV61906.1 |membrane protein
AVV61907.1 |nucleoprotein
ATQ39392.1 |membrane protein
ATQ39393.1 |nucleoprotein
AUM60020.1 |membrane protein
AUM60021.1 |nucleocapsid protein
AUM60030.1 |membrane protein
AUM60031.1 |nucleocapsid protein
AQZ41285.1 |spike glycoprotein
AQZ41291.1 |membrane protein
AQZ41292.1 |nucleoprotein
AQZ41302.1 |membrane protein
AQZ41303.1 |nucleoprotein
AQZ41311.1 |spike glycoprotein
AQZ41317.1 |membrane protein
AQZ41318.1 |nucleoprotein
AQZ41322.1 |spike glycoprotein
AQZ41327.1 |membrane protein
AQZ41328.1 |nucleoprotein
AQZ41332.1 |spike glycoprotein
AQZ41338.1 |membrane protein
AQZ41339.1 |nucleoprotein
AQZ41343.1 |spike glycoprotein
AQZ41349.1 |membrane protein
AQZ41350.1 |nucleoprotein
AQZ41354.1 |spike glycoprotein
AQZ41360.1 |membrane protein
AQZ41361.1 |nucleoprotein
AQZ41365.1 |spike glycoprotein
AQZ41371.1 |membrane protein
AQZ41372.1 |nucleoprotein
AQZ41376.1 |spike glycoprotein
AQZ41382.1 |membrane protein
AQZ41383.1 |nucleoprotein
ASU45696.1 |spike glycoprotein
ASU45702.1 |membrane protein
ASU45703.1 |nucleoprotein
ASU45708.1 |spike glycoprotein
ASU45714.1 |membrane protein
ASU45715.1 |nucleoprotein
ASU45719.1 |spike glycoprotein
ASU45725.1 |membrane protein
ASU45726.1 |nucleoprotein
ASU45730.1 |spike glycoprotein
ASU45736.1 |membrane protein
ASU45737.1 |nucleoprotein
ASU45741.1 |spike glycoprotein
ASU45747.1 |membrane protein
ASU45748.1 |nucleoprotein
ASU45752.1 |spike glycoprotein
ASU45758.1 |membrane protein
ASU45759.1 |nucleoprotein
ASU45763.1 |spike glycoprotein
ASU45769.1 |membrane protein
ASU45770.1 |nucleoprotein
ASU45774.1 |spike glycoprotein
ASU45780.1 |membrane protein
ASU45781.1 |nucleoprotein
ASU45785.1 |spike glycoprotein
ASU45791.1 |membrane protein
ASU45792.1 |nucleoprotein
ASU45796.1 |spike glycoprotein
ASU45802.1 |membrane protein
ASU45803.1 |nucleoprotein
ASU45807.1 |spike glycoprotein
ASU45813.1 |membrane protein
ASU45814.1 |nucleoprotein
ASU45818.1 |spike glycoprotein
ASU45824.1 |membrane protein
ASU45825.1 |nucleoprotein
ASU45829.1 |spike glycoprotein
ASU45835.1 |membrane protein
ASU45836.1 |nucleoprotein
ASU45840.1 |spike glycoprotein
ASU45846.1 |membrane protein
ASU45847.1 |nucleoprotein
ASU45851.1 |spike glycoprotein
ASU45857.1 |membrane protein
ASU45858.1 |nucleoprotein
ASU45862.1 |spike glycoprotein
ASU45868.1 |membrane protein
ASU45869.1 |nucleoprotein
ASU45873.1 |spike glycoprotein
ASU45879.1 |membrane protein
ASU45880.1 |nucleoprotein
ATY74381.1 |spike glycoprotein
ATY74387.1 |membrane protein
ATY74388.1 |nucleoprotein
ATY74392.1 |spike glycoprotein
ATY74398.1 |membrane protein
ATY74399.1 |nucleoprotein
ATY74403.1 |spike glycoprotein
ATY74409.1 |membrane protein
ATY74410.1 |nucleoprotein
ATY74414.1 |spike glycoprotein
ATY74420.1 |membrane protein
ATY74421.1 |nucleoprotein
ASU89921.1 |spike glycoprotein
ASU89927.1 |membrane protein
ASU89928.1 |nucleoprotein
ASU89933.1 |spike glycoprotein
ASU89939.1 |membrane protein
ASU89940.1 |nucleoprotein
ASU89944.1 |spike glycoprotein
ASU89950.1 |membrane protein
ASU89951.1 |nucleoprotein
ASU89955.1 |spike glycoprotein
ASU89961.1 |membrane protein
ASU89962.1 |nucleoprotein
ASU89966.1 |spike glycoprotein
ASU89972.1 |membrane protein
ASU89973.1 |nucleoprotein
ASU89977.1 |spike glycoprotein
ASU89983.1 |membrane protein
ASU89984.1 |nucleoprotein
ASU89988.1 |spike glycoprotein
ASU89994.1 |membrane protein
ASU89995.1 |nucleoprotein
ASU89999.1 |spike glycoprotein
ASU90005.1 |membrane protein
ASU90006.1 |nucleoprotein
ASU90010.1 |spike glycoprotein
ASU90016.1 |membrane protein
ASU90017.1 |nucleoprotein
ASU90021.1 |spike glycoprotein
ASU90027.1 |membrane protein
ASU90028.1 |nucleoprotein
ASU90032.1 |spike glycoprotein
ASU90038.1 |membrane protein
ASU90039.1 |nucleoprotein
ASU90043.1 |spike glycoprotein
ASU90049.1 |membrane protein
ASU90050.1 |nucleoprotein
ASU90054.1 |spike glycoprotein
ASU90060.1 |membrane protein
ASU90061.1 |nucleoprotein
ASU90065.1 |spike glycoprotein
ASU90071.1 |membrane protein
ASU90072.1 |nucleoprotein
ASU90076.1 |spike glycoprotein
ASU90082.1 |membrane protein
ASU90083.1 |nucleoprotein
ASU90087.1 |spike glycoprotein
ASU90093.1 |membrane protein
ASU90094.1 |nucleoprotein
ASU90098.1 |spike glycoprotein
ASU90104.1 |membrane protein
ASU90105.1 |nucleoprotein
ASU90109.1 |spike glycoprotein
ASU90115.1 |membrane protein
ASU90116.1 |nucleoprotein
ASU90120.1 |spike glycoprotein
ASU90126.1 |membrane protein
ASU90127.1 |nucleoprotein
ASU90131.1 |spike glycoprotein
ASU90137.1 |membrane protein
ASU90138.1 |nucleoprotein
ASU90142.1 |spike glycoprotein
ASU90148.1 |membrane protein
ASU90149.1 |nucleoprotein
ASU90153.1 |spike glycoprotein
ASU90159.1 |membrane protein
ASU90160.1 |nucleoprotein
ASU90164.1 |spike glycoprotein
ASU90170.1 |membrane protein
ASU90171.1 |nucleoprotein
ASU90175.1 |spike glycoprotein
ASU90181.1 |membrane protein
ASU90182.1 |nucleoprotein
ASU90186.1 |spike glycoprotein
ASU90192.1 |membrane protein
ASU90193.1 |nucleoprotein
ASU90197.1 |spike glycoprotein
ASU90203.1 |membrane protein
ASU90204.1 |nucleoprotein
ASU90208.1 |spike glycoprotein
ASU90214.1 |membrane protein
ASU90215.1 |nucleoprotein
ASU90219.1 |spike glycoprotein
ASU90225.1 |membrane protein
ASU90226.1 |nucleoprotein
ASU90230.1 |spike glycoprotein
ASU90236.1 |membrane protein
ASU90237.1 |nucleoprotein
ASU90241.1 |spike glycoprotein
ASU90247.1 |membrane protein
ASU90248.1 |nucleoprotein
ASU90252.1 |spike glycoprotein
ASU90258.1 |membrane protein
ASU90259.1 |nucleoprotein
ASU90263.1 |spike glycoprotein
ASU90269.1 |membrane protein
ASU90270.1 |nucleoprotein
ASU90274.1 |spike glycoprotein
ASU90280.1 |membrane protein
ASU90281.1 |nucleoprotein
ASU90285.1 |spike glycoprotein
ASU90291.1 |membrane protein
ASU90292.1 |nucleoprotein
ASU90295.1 |spike glycoprotein
ASU90301.1 |membrane protein
ASU90303.1 |nucleoprotein, partial
ASU90307.1 |spike glycoprotein
ASU90313.1 |membrane protein
ASU90314.1 |nucleoprotein
ASU90318.1 |spike glycoprotein
ASU90324.1 |membrane protein
ASU90325.1 |nucleoprotein
ASU90336.1 |nucleoprotein
ASU90340.1 |spike glycoprotein
ASU90346.1 |membrane protein
ASU90347.1 |nucleoprotein
ASU90351.1 |spike glycoprotein
ASU90357.1 |membrane protein
ASU90358.1 |nucleoprotein
ASU90362.1 |spike glycoprotein
ASU90368.1 |membrane protein
ASU90369.1 |nucleoprotein
ASU90373.1 |spike glycoprotein
ASU90379.1 |membrane protein
ASU90380.1 |nucleoprotein
ASU90384.1 |spike glycoprotein
ASU90390.1 |membrane protein
ASU90391.1 |nucleoprotein
ASU90395.1 |spike glycoprotein
ASU90401.1 |membrane protein
ASU90402.1 |nucleoprotein
ASU90406.1 |spike glycoprotein
ASU90412.1 |membrane protein
ASU90413.1 |nucleoprotein
ASU90417.1 |spike glycoprotein
ASU90423.1 |membrane protein
ASU90424.1 |nucleoprotein
ASU90428.1 |spike glycoprotein
ASU90434.1 |membrane protein
ASU90435.1 |nucleoprotein
ASU90439.1 |spike glycoprotein
ASU90445.1 |membrane protein
ASU90446.1 |nucleoprotein
ASU90457.1 |nucleoprotein
ASU90461.1 |spike glycoprotein
ASU90467.1 |membrane protein
ASU90468.1 |nucleoprotein
ASU90472.1 |spike glycoprotein
ASU90478.1 |membrane protein
ASU90479.1 |nucleoprotein
ASU90483.1 |spike glycoprotein
ASU90489.1 |membrane protein
ASU90490.1 |nucleoprotein
ASU90494.1 |spike glycoprotein
ASU90500.1 |membrane protein
ASU90501.1 |nucleoprotein
ASU90505.1 |spike glycoprotein
ASU90511.1 |membrane protein
ASU90512.1 |nucleoprotein
ASU90516.1 |spike glycoprotein
ASU90522.1 |membrane protein
ASU90523.1 |nucleoprotein
ASU90527.1 |spike glycoprotein
ASU90533.1 |membrane protein
ASU90534.1 |nucleoprotein
ASU90538.1 |spike glycoprotein
ASU90544.1 |membrane protein
ASU90545.1 |nucleoprotein
ASU90549.1 |spike glycoprotein
ASU90555.1 |membrane protein
ASU90556.1 |nucleoprotein
ASU90560.1 |spike glycoprotein
ASU90566.1 |membrane protein
ASU90567.1 |nucleoprotein
ASU90571.1 |spike glycoprotein
ASU90577.1 |membrane protein
ASU90578.1 |nucleoprotein
ASU90582.1 |spike glycoprotein
ASU90588.1 |membrane protein
ASU90589.1 |nucleoprotein
ASU90593.1 |spike glycoprotein
ASU90599.1 |membrane protein
ASU90600.1 |nucleoprotein
ASU90604.1 |spike glycoprotein
ASU90610.1 |membrane protein
ASU90611.1 |nucleoprotein
ASU90615.1 |spike glycoprotein
ASU90621.1 |membrane protein
ASU90622.1 |nucleoprotein
ASU90626.1 |spike glycoprotein
ASU90632.1 |membrane protein
ASU90633.1 |nucleoprotein
ASU90637.1 |spike glycoprotein
ASU90643.1 |membrane protein
ASU90644.1 |nucleoprotein
ASU90648.1 |spike glycoprotein
ASU90654.1 |membrane protein
ASU90655.1 |nucleoprotein
ASU90659.1 |spike glycoprotein
ASU90665.1 |membrane protein
ASU90666.1 |nucleoprotein
ASU90670.1 |spike glycoprotein
ASU90676.1 |membrane protein
ASU90677.1 |nucleoprotein
ASU90681.1 |spike glycoprotein
ASU90687.1 |membrane protein
ASU90688.1 |nucleoprotein
ASU90692.1 |spike glycoprotein
ASU90698.1 |membrane protein
ASU90699.1 |nucleoprotein
ASU90703.1 |spike glycoprotein
ASU90709.1 |membrane protein
ASU90710.1 |nucleoprotein
ASU90714.1 |spike glycoprotein
ASU90720.1 |membrane protein
ASU90721.1 |nucleoprotein
ASU90725.1 |spike glycoprotein
ASU90731.1 |membrane protein
ASU90732.1 |nucleoprotein
ASU90736.1 |spike glycoprotein
ASU90742.1 |membrane protein
ASU90743.1 |nucleoprotein
ASU90747.1 |spike glycoprotein
ASU90753.1 |membrane protein
ASU90754.1 |nucleoprotein
ASU90758.1 |spike glycoprotein
ASU90764.1 |membrane protein
ASU90765.1 |nucleoprotein
ASU90769.1 |spike glycoprotein
ASU90775.1 |membrane protein
ASU90776.1 |nucleoprotein
ASU90780.1 |spike glycoprotein
ASU90786.1 |membrane protein
ASU90787.1 |nucleoprotein
ASU90791.1 |spike glycoprotein
ASU90797.1 |membrane protein
ASU90798.1 |nucleoprotein
ASU90802.1 |spike glycoprotein
ASU90808.1 |membrane protein
ASU90809.1 |nucleoprotein
ASU90813.1 |spike glycoprotein
ASU90819.1 |membrane protein
ASU90820.1 |nucleoprotein
ASU90824.1 |spike glycoprotein
ASU90830.1 |membrane protein
ASU90831.1 |nucleoprotein
ASU90835.1 |spike glycoprotein
ASU90841.1 |membrane protein
ASU90842.1 |nucleoprotein
ASU90846.1 |spike glycoprotein
ASU90852.1 |membrane protein
ASU90853.1 |nucleoprotein
ASU90857.1 |spike glycoprotein
ASU90863.1 |membrane protein
ASU90864.1 |nucleoprotein
ASU90868.1 |spike glycoprotein
ASU90874.1 |membrane protein
ASU90875.1 |nucleoprotein
ASU90879.1 |spike glycoprotein
ASU90885.1 |membrane protein
ASU90886.1 |nucleoprotein
ASU90890.1 |spike glycoprotein
ASU90896.1 |membrane protein
ASU90897.1 |nucleoprotein
ASU90901.1 |spike glycoprotein
ASU90907.1 |membrane protein
ASU90908.1 |nucleoprotein
ASU90912.1 |spike glycoprotein
ASU90918.1 |membrane protein
ASU90919.1 |nucleoprotein
ASU90923.1 |spike glycoprotein
ASU90929.1 |membrane protein
ASU90930.1 |nucleoprotein
ASU90934.1 |spike glycoprotein
ASU90940.1 |membrane protein
ASU90941.1 |nucleoprotein
ASU90945.1 |spike glycoprotein
ASU90951.1 |membrane protein
ASU90952.1 |nucleoprotein
ASU90956.1 |spike glycoprotein
ASU90962.1 |membrane protein
ASU90963.1 |nucleoprotein
ASU90966.1 |spike glycoprotein
ASU90972.1 |membrane protein
ASU90973.1 |nucleoprotein
ASU90978.1 |spike glycoprotein
ASU90983.1 |membrane protein
ASU90984.1 |nucleoprotein
ASU90988.1 |spike glycoprotein
ASU90994.1 |membrane protein
ASU90995.1 |nucleoprotein
ASU90999.1 |spike glycoprotein
ASU91005.1 |membrane protein
ASU91006.1 |nucleoprotein
ASU91010.1 |spike glycoprotein
ASU91016.1 |membrane protein
ASU91017.1 |nucleoprotein
