Naziv_proteina,molska_frakcija_za_A,molska_frakcija_za_C,molska_frakcija_za_D,molska_frakcija_za_E,molska_frakcija_za_F,molska_frakcija_za_G,molska_frakcija_za_H,molska_frakcija_za_I,molska_frakcija_za_K,molska_frakcija_za_L,molska_frakcija_za_M,molska_frakcija_za_N,molska_frakcija_za_P,molska_frakcija_za_Q,molska_frakcija_za_R,molska_frakcija_za_S,molska_frakcija_za_T,molska_frakcija_za_V,molska_frakcija_za_W,molska_frakcija_za_Y,Klasifikacija
AAD14583.1 ___matrix protein,0.0647,0.01,0.0547,0.0199,0.0398,0.0547,0.0199,0.0896,0.0597,0.1194,0.0299,0.0299,0.0995,0.0547,0.0199,0.0348,0.0945,0.0746,0.01,0.0199,uređen
AAD14583.1 ___matrix protein,0.072,0.0,0.048,0.04,0.016,0.08,0.024,0.072,0.048,0.072,0.016,0.064,0.136,0.0,0.056,0.12,0.08,0.04,0.0,0.016,neuređen
AAN04450.1 ___matrix protein VP40,0.0675,0.0042,0.0506,0.0211,0.0295,0.0464,0.0127,0.1013,0.038,0.1392,0.0211,0.038,0.1139,0.0464,0.0338,0.0422,0.0759,0.0844,0.0084,0.0253,uređen
AAN04450.1 ___matrix protein VP40,0.0745,0.0106,0.0851,0.0106,0.0,0.0851,0.0638,0.0106,0.0957,0.0319,0.0319,0.0426,0.1383,0.0319,0.0319,0.1277,0.0532,0.0532,0.0,0.0213,neuređen
AAQ55047.1 ___matrix protein,0.0647,0.01,0.0547,0.0199,0.0398,0.0547,0.0199,0.0896,0.0597,0.1194,0.0299,0.0299,0.0995,0.0547,0.0199,0.0348,0.0945,0.0746,0.01,0.0199,uređen
AAQ55047.1 ___matrix protein,0.072,0.0,0.048,0.04,0.016,0.08,0.024,0.072,0.048,0.072,0.016,0.064,0.136,0.0,0.056,0.12,0.08,0.04,0.0,0.016,neuređen
AAU43885.1 ___matrix protein,0.0614,0.0044,0.0614,0.0175,0.0395,0.0526,0.0263,0.0877,0.0614,0.1316,0.0263,0.0307,0.1053,0.0526,0.0219,0.0439,0.0702,0.0746,0.0088,0.0219,uređen
AAU43885.1 ___matrix protein,0.0714,0.0102,0.051,0.0306,0.0,0.0816,0.0204,0.0408,0.0612,0.051,0.051,0.0408,0.1224,0.0306,0.051,0.1327,0.0714,0.051,0.0,0.0306,neuređen
AAV48576.1 ___matrix protein,0.0669,0.0084,0.0502,0.0167,0.0335,0.0502,0.0126,0.1004,0.046,0.1339,0.0209,0.0335,0.1172,0.0377,0.0335,0.046,0.0753,0.0837,0.0084,0.0251,uređen
AAV48576.1 ___matrix protein,0.0761,0.0,0.087,0.0109,0.0,0.087,0.0652,0.0109,0.0978,0.0326,0.0326,0.0435,0.1304,0.0326,0.0326,0.1196,0.0652,0.0543,0.0,0.0217,neuređen
ABX75366.1 ___matrix protein,0.0647,0.01,0.0547,0.0199,0.0398,0.0547,0.0199,0.0896,0.0597,0.1194,0.0299,0.0299,0.0995,0.0547,0.0199,0.0348,0.0945,0.0746,0.01,0.0199,uređen
ABX75366.1 ___matrix protein,0.072,0.0,0.048,0.04,0.016,0.08,0.024,0.072,0.048,0.072,0.016,0.064,0.136,0.0,0.056,0.12,0.08,0.04,0.0,0.016,neuređen
