molska_frakcija_za_A,molska_frakcija_za_C,molska_frakcija_za_D,molska_frakcija_za_E,molska_frakcija_za_F,molska_frakcija_za_G,molska_frakcija_za_H,molska_frakcija_za_I,molska_frakcija_za_K,molska_frakcija_za_L,molska_frakcija_za_M,molska_frakcija_za_N,molska_frakcija_za_P,molska_frakcija_za_Q,molska_frakcija_za_R,molska_frakcija_za_S,molska_frakcija_za_T,molska_frakcija_za_V,molska_frakcija_za_W,molska_frakcija_za_Y,Klasifikacija
0.95,0.0,0.6427,0.4652,0.1565,0.4176,0.7444,0.1687,0.5158,0.1921,0.2275,0.7478,0.3492,0.4369,0.2571,0.4395,0.6852,0.2209,0.0,0.1658,
0.95,0.0,0.6427,0.4652,0.1565,0.4176,0.7444,0.1687,0.5158,0.1921,0.2275,0.7478,0.3492,0.4369,0.2571,0.4395,0.6852,0.2209,0.0,0.1658,0.0
0.27,0.0,0.295,0.3778,0.0,0.2871,0.6611,0.0385,0.7945,0.0571,0.6772,0.0,0.3932,0.206,0.8106,0.8858,0.2051,0.8493,0.0,0.2239,1.0
0.27,0.0,0.295,0.3778,0.0,0.2871,0.6611,0.0385,0.7945,0.0571,0.6772,0.0,0.3932,0.206,0.8106,0.8858,0.2051,0.8493,0.0,0.2239,
0.64,0.8078,0.5132,0.3111,0.9061,0.9505,0.2167,0.7282,0.7055,0.7425,0.0,0.4536,0.1212,0.4245,0.4602,0.0364,0.2479,0.4499,0.8525,0.4793,
0.672,0.985,0.506,0.0622,0.8811,0.6868,0.1574,0.5232,0.4506,0.7352,0.2116,0.6002,0.1241,0.6838,0.2545,0.2136,0.1007,0.5524,0.2301,0.9718,0.0
0.927,0.0,0.6115,0.443,0.1534,0.4011,0.7241,0.1619,0.5929,0.2326,0.2205,0.7777,0.3362,0.4192,0.2922,0.4258,0.695,0.2094,0.0,0.1625,1.0
0.969,0.0,0.6691,0.483,0.1596,0.4313,0.7611,0.1166,0.4308,0.2004,0.2328,0.7627,0.3232,0.4512,0.2622,0.451,0.7077,0.2301,0.0,0.0846,0.0
0.27,0.0,0.295,0.3778,0.0,0.2871,0.6611,0.0385,0.7945,0.0571,0.6772,0.0,0.3932,0.206,0.8106,0.8858,0.2051,0.8493,0.0,0.2239,
0.95,0.0,0.6427,0.4652,0.1565,0.4863,0.837,0.1121,0.417,0.1402,0.2275,0.6979,0.3853,0.4369,0.2999,0.421,0.7979,0.1634,0.0,0.0829,
0.95,0.0,0.6427,0.4652,0.1565,0.4176,0.7444,0.1687,0.5158,0.1921,0.2275,0.7478,0.3492,0.4369,0.2571,0.4395,0.6852,0.2209,0.0,0.1658,1.0
0.672,0.985,0.506,0.0622,0.8685,0.6868,0.1574,0.5232,0.4506,0.7352,0.2116,0.6002,0.1241,0.6838,0.2545,0.2111,0.1067,0.5616,0.2301,0.9718,0.0
0.95,0.0,0.6427,0.4652,0.1565,0.4176,0.7444,0.1121,0.5158,0.1921,0.2275,0.7478,0.3492,0.4369,0.2571,0.4395,0.6852,0.2785,0.0,0.1658,
0.63,0.7568,0.5324,0.2919,0.8873,0.9712,0.2222,0.718,0.6798,0.7362,0.0,0.4816,0.1263,0.4352,0.4859,0.0156,0.2585,0.4614,0.8673,0.4876,0.0
0.485,0.2913,0.2542,0.7985,0.0767,0.5975,0.0907,0.2707,0.4921,0.5327,0.2205,0.3868,0.7186,0.4156,0.5407,0.3694,0.6897,0.1519,0.0,0.0813,
0.323,0.0,0.0983,0.0548,0.3365,0.1745,0.5093,0.1291,1.0,0.0,0.5326,0.2144,0.3514,0.4902,0.6452,1.0,0.0,0.7503,0.0,0.3566,0.0
0.63,0.7568,0.5324,0.2919,0.8873,0.9712,0.2222,0.7418,0.6798,0.7362,0.0,0.4816,0.1263,0.4352,0.4859,0.0156,0.2585,0.4373,0.8673,0.4876,1.0
0.651,0.7568,0.6331,0.2919,0.8873,0.9423,0.2222,0.7418,0.6798,0.7362,0.0,0.4606,0.1263,0.4352,0.4859,0.0156,0.2585,0.4131,0.8673,0.4876,0.0
0.63,0.7568,0.5324,0.2919,0.8873,0.9712,0.2222,0.7418,0.6798,0.7362,0.0,0.4816,0.1263,0.4352,0.4859,0.0156,0.2585,0.4373,0.8673,0.4876,
0.63,0.7568,0.5324,0.2919,0.8873,0.9712,0.2222,0.7418,0.6798,0.7362,0.0,0.4816,0.1263,0.4352,0.4859,0.0156,0.2585,0.4373,0.8673,0.4876,0.0
0.27,0.0,0.295,0.3778,0.0,0.2871,0.6611,0.0385,0.7945,0.0571,0.6772,0.0,0.3932,0.206,0.8106,0.8858,0.2051,0.8493,0.0,0.2239,1.0
0.0,0.0,0.2638,0.157,0.0,0.0,1.0,0.1076,0.8874,0.1838,1.0,0.0,0.5152,0.4227,0.8398,0.6832,0.4793,0.6628,0.0,0.325,0.0
0.27,0.0,0.295,0.3778,0.0,0.2871,0.6611,0.0385,0.7945,0.0571,0.6772,0.0,0.3932,0.206,0.8106,0.8858,0.2051,0.8493,0.0,0.2239,1.0
0.63,0.7568,0.5324,0.2919,0.8873,0.9712,0.2222,0.7418,0.6383,0.7362,0.0,0.4816,0.1263,0.4352,0.5039,0.0156,0.2585,0.4373,0.8673,0.4876,0.0
0.668,0.97,0.5036,0.077,0.8654,0.6703,0.1389,0.521,0.4545,0.7259,0.2063,0.5892,0.1241,0.6945,0.2502,0.2337,0.0977,0.5478,0.2271,0.9934,
0.95,0.0,0.6427,0.4652,0.1565,0.4176,0.7444,0.1687,0.5158,0.1921,0.2275,0.7478,0.3492,0.4369,0.2571,0.4395,0.6852,0.2209,0.0,0.1658,0.0
0.63,0.7568,0.5324,0.2919,0.8873,0.9712,0.2222,0.7418,0.6798,0.7362,0.0,0.4816,0.1263,0.4352,0.4859,0.0156,0.2585,0.4373,0.8673,0.4876,
0.672,0.985,0.506,0.0622,0.8811,0.6868,0.1574,0.5232,0.4506,0.7352,0.2116,0.6002,0.1183,0.6838,0.2545,0.2136,0.1067,0.5524,0.2301,0.9718,
0.27,0.0,0.295,0.3778,0.0,0.2871,0.6611,0.0385,0.7945,0.0571,0.6772,0.0,0.3932,0.206,0.8106,0.8858,0.2051,0.8493,0.0,0.2239,
0.95,0.0,0.6427,0.4652,0.1565,0.4176,0.7444,0.1687,0.5158,0.1921,0.2275,0.7478,0.3492,0.4369,0.2571,0.4395,0.6852,0.2209,0.0,0.1658,
0.27,0.0,0.295,0.3778,0.0,0.2871,0.6611,0.0385,0.7945,0.0571,0.6772,0.0,0.3932,0.206,0.8106,0.8858,0.2051,0.8493,0.0,0.2239,1.0
0.683,1.0,0.5228,0.0815,0.8451,0.7005,0.1611,0.5232,0.4308,0.7497,0.2152,0.5932,0.1234,0.6714,0.2588,0.1951,0.1142,0.5639,0.233,0.9735,0.0
0.658,0.7658,0.5468,0.2993,0.8967,0.9849,0.2259,0.7758,0.6482,0.7248,0.0,0.4656,0.1299,0.4423,0.491,0.0171,0.2337,0.42,0.8142,0.4925,1.0
0.63,0.7568,0.5324,0.2919,0.8873,0.9712,0.2222,0.7418,0.6798,0.7362,0.0,0.4816,0.1263,0.4352,0.4859,0.0156,0.2585,0.4373,0.8673,0.4876,0.0
0.651,0.7568,0.5324,0.2919,0.8873,0.9712,0.2222,0.7418,0.6798,0.7362,0.0,0.4816,0.1263,0.4352,0.4859,0.0156,0.2585,0.4131,0.8673,0.4876,1.0
0.95,0.0,0.6427,0.4652,0.1565,0.4176,0.7444,0.1687,0.5158,0.1921,0.2275,0.7478,0.3492,0.4369,0.2571,0.4395,0.6852,0.2209,0.0,0.1658,0.0
0.651,0.7568,0.5324,0.2919,0.8873,0.9423,0.2222,0.7656,0.6798,0.7362,0.0,0.4816,0.1263,0.4352,0.4859,0.0156,0.2742,0.389,0.8673,0.4876,1.0
0.672,0.985,0.506,0.0622,0.8685,0.6868,0.1574,0.5232,0.4506,0.7352,0.2116,0.6002,0.1241,0.6838,0.2545,0.2111,0.1067,0.5616,0.2301,0.9718,0.0
0.672,0.985,0.506,0.0622,0.8685,0.6868,0.1574,0.5232,0.4506,0.7352,0.2116,0.6002,0.1241,0.6838,0.2545,0.2136,0.1007,0.5616,0.2301,0.9718,1.0
0.665,0.985,0.506,0.0622,0.8811,0.6868,0.1574,0.5232,0.4506,0.7425,0.2116,0.6002,0.1241,0.6838,0.2545,0.2136,0.1007,0.5524,0.2301,0.9718,0.0
0.63,0.7568,0.5324,0.2919,0.8873,0.9712,0.2222,0.7418,0.6798,0.7362,0.0,0.4816,0.1263,0.4352,0.4859,0.0156,0.2585,0.4373,0.8673,0.4876,1.0
0.63,0.7568,0.5324,0.2919,0.8873,0.9712,0.2222,0.7418,0.6798,0.7362,0.0,0.4816,0.1263,0.4352,0.4859,0.0156,0.2585,0.4373,0.8673,0.4876,
0.95,0.0,0.6427,0.4652,0.1565,0.4176,0.7444,0.1687,0.5158,0.1921,0.2275,0.7478,0.3492,0.4369,0.2571,0.4395,0.6852,0.2209,0.0,0.1658,1.0
0.63,0.7568,0.5324,0.2919,0.8873,0.9712,0.2222,0.7418,0.6798,0.7362,0.0,0.4816,0.1263,0.4352,0.4859,0.0156,0.2585,0.4373,0.8673,0.4876,
0.672,0.985,0.506,0.0622,0.8685,0.6868,0.1574,0.5232,0.4506,0.7425,0.2116,0.6002,0.1241,0.6838,0.2545,0.2111,0.1007,0.5616,0.2301,0.9718,
0.63,0.7568,0.5324,0.2919,0.8873,0.9712,0.2222,0.7418,0.6798,0.7362,0.0,0.4816,0.1263,0.4352,0.4859,0.0156,0.2585,0.4373,0.8673,0.4876,0.0
0.665,0.985,0.506,0.0622,0.8811,0.6868,0.1722,0.5232,0.4506,0.7352,0.2116,0.6002,0.1241,0.6714,0.2545,0.2166,0.1007,0.5524,0.2301,0.9718,1.0
0.95,0.0,0.6427,0.4652,0.1565,0.4176,0.7444,0.1687,0.5158,0.1921,0.2275,0.7478,0.3492,0.4369,0.2571,0.4395,0.6852,0.2209,0.0,0.1658,0.0
0.683,1.0,0.5228,0.0815,0.8451,0.7005,0.1611,0.5232,0.4308,0.7497,0.2152,0.5932,0.1234,0.6714,0.2588,0.1951,0.1142,0.5639,0.233,0.9735,
0.56,0.7477,0.4173,0.3141,0.9092,0.7569,0.3333,0.6614,0.7095,0.7892,0.0353,0.5793,0.1522,0.3162,0.4619,0.0215,0.3125,0.5247,0.8555,0.4478,0.0
0.485,0.2913,0.2542,0.7985,0.0767,0.5975,0.0907,0.2707,0.4921,0.5327,0.2205,0.3868,0.7186,0.4156,0.5407,0.3694,0.6897,0.1519,0.0,0.0813,
0.95,0.0,0.6427,0.4652,0.1565,0.4176,0.7444,0.1687,0.5158,0.1921,0.2275,0.7478,0.3492,0.4369,0.2142,0.4581,0.6852,0.2209,0.0,0.1658,0.0
0.27,0.0,0.295,0.3778,0.0,0.2871,0.6611,0.0385,0.7945,0.0571,0.6772,0.0,0.3932,0.206,0.8106,0.8858,0.2051,0.8493,0.0,0.2239,1.0
0.704,0.7057,0.3453,0.2711,0.7668,0.8146,0.3852,0.8279,0.6107,0.7954,0.0388,0.659,0.1154,0.4458,0.365,0.0412,0.269,0.3003,0.882,0.5307,0.0
0.672,0.7568,0.482,0.2919,0.8873,0.9712,0.2222,0.7418,0.6798,0.7362,0.0,0.4816,0.1263,0.4352,0.4859,0.0156,0.2427,0.4373,0.8673,0.4876,
0.63,0.7568,0.5324,0.2919,0.8873,0.9712,0.2222,0.718,0.6798,0.7362,0.0,0.4816,0.1263,0.4352,0.4859,0.0234,0.2585,0.4373,0.8673,0.4876,
0.95,0.0,0.6427,0.4652,0.1565,0.4176,0.7444,0.1687,0.417,0.1921,0.2275,0.7478,0.3492,0.4369,0.2571,0.4395,0.6852,0.2785,0.0,0.1658,1.0
