Naziv_proteina,molska_frakcija_A_uredjen,molska_frakcija_A_neuredjen,frakcijska_razlika_A,molska_frakcija_C_uredjen,molska_frakcija_C_neuredjen,frakcijska_razlika_C,molska_frakcija_D_uredjen,molska_frakcija_D_neuredjen,frakcijska_razlika_D,molska_frakcija_E_uredjen,molska_frakcija_E_neuredjen,frakcijska_razlika_E,molska_frakcija_F_uredjen,molska_frakcija_F_neuredjen,frakcijska_razlika_F,molska_frakcija_G_uredjen,molska_frakcija_G_neuredjen,frakcijska_razlika_G,molska_frakcija_H_uredjen,molska_frakcija_H_neuredjen,frakcijska_razlika_H,molska_frakcija_I_uredjen,molska_frakcija_I_neuredjen,frakcijska_razlika_I,molska_frakcija_K_uredjen,molska_frakcija_K_neuredjen,frakcijska_razlika_K,molska_frakcija_L_uredjen,molska_frakcija_L_neuredjen,frakcijska_razlika_L,molska_frakcija_M_uredjen,molska_frakcija_M_neuredjen,frakcijska_razlika_M,molska_frakcija_N_uredjen,molska_frakcija_N_neuredjen,frakcijska_razlika_N,molska_frakcija_P_uredjen,molska_frakcija_P_neuredjen,frakcijska_razlika_P,molska_frakcija_Q_uredjen,molska_frakcija_Q_neuredjen,frakcijska_razlika_Q,molska_frakcija_R_uredjen,molska_frakcija_R_neuredjen,frakcijska_razlika_R,molska_frakcija_S_uredjen,molska_frakcija_S_neuredjen,frakcijska_razlika_S,molska_frakcija_T_uredjen,molska_frakcija_T_neuredjen,frakcijska_razlika_T,molska_frakcija_V_uredjen,molska_frakcija_V_neuredjen,frakcijska_razlika_V,molska_frakcija_W_uredjen,molska_frakcija_W_neuredjen,frakcijska_razlika_W,molska_frakcija_Y_uredjen,molska_frakcija_Y_neuredjen,frakcijska_razlika_Y
AAD14583.1 ___matrix protein,0.0647,0.072,-0.1017,0.01,0.0,0.0,0.0547,0.048,0.1401,0.0199,0.04,-0.5025,0.0398,0.016,1.4876,0.0547,0.08,-0.3159,0.0199,0.024,-0.1708,0.0896,0.072,0.2438,0.0597,0.048,0.2438,0.1194,0.072,0.6584,0.0299,0.016,0.8657,0.0299,0.064,-0.5336,0.0995,0.136,-0.2684,0.0547,0.0,0.0,0.0199,0.056,-0.6446,0.0348,0.12,-0.7098,0.0945,0.08,0.1816,0.0746,0.04,0.8657,0.01,0.0,0.0,0.0199,0.016,0.2438
AAN04450.1 ___matrix protein VP40,0.0675,0.0745,-0.0934,0.0042,0.0106,-0.6034,0.0506,0.0851,-0.4051,0.0211,0.0106,0.9831,0.0295,0.0,0.0,0.0464,0.0851,-0.4546,0.0127,0.0638,-0.8017,0.1013,0.0106,8.519,0.038,0.0957,-0.6034,0.1392,0.0319,3.3629,0.0211,0.0319,-0.339,0.038,0.0426,-0.1076,0.1139,0.1383,-0.1762,0.0464,0.0319,0.4543,0.0338,0.0319,0.0577,0.0422,0.1277,-0.6695,0.0759,0.0532,0.4278,0.0844,0.0532,0.5865,0.0084,0.0,0.0,0.0253,0.0213,0.1899
AAQ55047.1 ___matrix protein,0.0647,0.072,-0.1017,0.01,0.0,0.0,0.0547,0.048,0.1401,0.0199,0.04,-0.5025,0.0398,0.016,1.4876,0.0547,0.08,-0.3159,0.0199,0.024,-0.1708,0.0896,0.072,0.2438,0.0597,0.048,0.2438,0.1194,0.072,0.6584,0.0299,0.016,0.8657,0.0299,0.064,-0.5336,0.0995,0.136,-0.2684,0.0547,0.0,0.0,0.0199,0.056,-0.6446,0.0348,0.12,-0.7098,0.0945,0.08,0.1816,0.0746,0.04,0.8657,0.01,0.0,0.0,0.0199,0.016,0.2438
AAU43885.1 ___matrix protein,0.0614,0.0714,-0.1404,0.0044,0.0102,-0.5702,0.0614,0.051,0.2035,0.0175,0.0306,-0.4269,0.0395,0.0,0.0,0.0526,0.0816,-0.3553,0.0263,0.0204,0.2895,0.0877,0.0408,1.1491,0.0614,0.0612,0.0029,0.1316,0.051,1.5789,0.0263,0.051,-0.4842,0.0307,0.0408,-0.2478,0.1053,0.1224,-0.1404,0.0526,0.0306,0.7193,0.0219,0.051,-0.5702,0.0439,0.1327,-0.6694,0.0702,0.0714,-0.0175,0.0746,0.051,0.4614,0.0088,0.0,0.0,0.0219,0.0306,-0.2836
AAV48576.1 ___matrix protein,0.0669,0.0761,-0.1201,0.0084,0.0,0.0,0.0502,0.087,-0.4226,0.0167,0.0109,0.5397,0.0335,0.0,0.0,0.0502,0.087,-0.4226,0.0126,0.0652,-0.8075,0.1004,0.0109,8.2385,0.046,0.0978,-0.5295,0.1339,0.0326,3.106,0.0209,0.0326,-0.3584,0.0335,0.0435,-0.2301,0.1172,0.1304,-0.1018,0.0377,0.0326,0.1548,0.0335,0.0326,0.0265,0.046,0.1196,-0.6151,0.0753,0.0652,0.1548,0.0837,0.0543,0.5397,0.0084,0.0,0.0,0.0251,0.0217,0.1548
ABX75366.1 ___matrix protein,0.0647,0.072,-0.1017,0.01,0.0,0.0,0.0547,0.048,0.1401,0.0199,0.04,-0.5025,0.0398,0.016,1.4876,0.0547,0.08,-0.3159,0.0199,0.024,-0.1708,0.0896,0.072,0.2438,0.0597,0.048,0.2438,0.1194,0.072,0.6584,0.0299,0.016,0.8657,0.0299,0.064,-0.5336,0.0995,0.136,-0.2684,0.0547,0.0,0.0,0.0199,0.056,-0.6446,0.0348,0.12,-0.7098,0.0945,0.08,0.1816,0.0746,0.04,0.8657,0.01,0.0,0.0,0.0199,0.016,0.2438
ABY75323.1 ___matrix protein,0.0614,0.0714,-0.1404,0.0044,0.0102,-0.5702,0.0614,0.051,0.2035,0.0175,0.0306,-0.4269,0.0395,0.0,0.0,0.0526,0.0816,-0.3553,0.0263,0.0204,0.2895,0.0877,0.0408,1.1491,0.0614,0.0612,0.0029,0.1316,0.051,1.5789,0.0263,0.051,-0.4842,0.0307,0.0408,-0.2478,0.1053,0.1224,-0.1404,0.0526,0.0306,0.7193,0.0219,0.051,-0.5702,0.0439,0.1327,-0.6694,0.0702,0.0714,-0.0175,0.0746,0.051,0.4614,0.0088,0.0,0.0,0.0219,0.0306,-0.2836
ACR33189.1 ___matrix protein,0.0614,0.0714,-0.1404,0.0044,0.0102,-0.5702,0.0614,0.051,0.2035,0.0175,0.0306,-0.4269,0.0395,0.0,0.0,0.0526,0.0816,-0.3553,0.0263,0.0204,0.2895,0.0877,0.0408,1.1491,0.0614,0.0612,0.0029,0.1316,0.051,1.5789,0.0263,0.051,-0.4842,0.0307,0.0408,-0.2478,0.1053,0.1224,-0.1404,0.0526,0.0306,0.7193,0.0219,0.051,-0.5702,0.0439,0.1327,-0.6694,0.0702,0.0714,-0.0175,0.0746,0.051,0.4614,0.0088,0.0,0.0,0.0219,0.0306,-0.2836
ACT22786.1 ___matrix protein VP40,0.0636,0.0737,-0.1374,0.0042,0.0105,-0.5975,0.0508,0.0842,-0.3962,0.0212,0.0105,1.0127,0.0339,0.0,0.0,0.0466,0.0842,-0.4465,0.0127,0.0632,-0.7987,0.1017,0.0105,8.661,0.0381,0.0947,-0.5975,0.1356,0.0316,3.2938,0.0212,0.0316,-0.3291,0.0339,0.0316,0.0734,0.1144,0.1368,-0.164,0.0424,0.0421,0.0064,0.0339,0.0316,0.0734,0.0466,0.1368,-0.6594,0.0763,0.0526,0.4492,0.089,0.0526,0.6907,0.0085,0.0,0.0,0.0254,0.0211,0.2076
ACT22801.1 ___matrix protein VP40,0.0658,0.0795,-0.1723,0.0041,0.0114,-0.6379,0.0494,0.1023,-0.5171,0.0206,0.0114,0.8107,0.0329,0.0,0.0,0.0535,0.0682,-0.2154,0.0123,0.0682,-0.8189,0.1029,0.0114,8.0535,0.0453,0.0795,-0.4309,0.1317,0.0341,2.8628,0.0206,0.0341,-0.3964,0.037,0.0341,0.0864,0.1111,0.1364,-0.1852,0.0453,0.0341,0.3278,0.0329,0.0341,-0.0343,0.0453,0.1364,-0.668,0.0741,0.0455,0.6296,0.0823,0.0568,0.4486,0.0082,0.0,0.0,0.0247,0.0227,0.0864
