Naziv_proteina,molska_frakcija_za_A,molska_frakcija_za_C,molska_frakcija_za_D,molska_frakcija_za_E,molska_frakcija_za_F,molska_frakcija_za_G,molska_frakcija_za_H,molska_frakcija_za_I,molska_frakcija_za_K,molska_frakcija_za_L,molska_frakcija_za_M,molska_frakcija_za_N,molska_frakcija_za_P,molska_frakcija_za_Q,molska_frakcija_za_R,molska_frakcija_za_S,molska_frakcija_za_T,molska_frakcija_za_V,molska_frakcija_za_W,molska_frakcija_za_Y,Klasifikacija
AAD14583.1 |matrix protein,0.0784,0.0098,0.049,0.0294,0.0392,0.049,0.0196,0.0882,0.0441,0.1225,0.0294,0.0294,0.1127,0.049,0.0196,0.0441,0.0833,0.0735,0.0098,0.0196,uređen
AAD14583.1 |matrix protein,0.0492,0.0,0.0574,0.0246,0.0164,0.0902,0.0246,0.0738,0.0738,0.0656,0.0164,0.0656,0.1148,0.0082,0.0574,0.1066,0.0984,0.041,0.0,0.0164,neuređen
AAM76033.1 |membrane-associated matrix protein VP40,0.0784,0.0098,0.049,0.0294,0.0392,0.049,0.0196,0.0882,0.0441,0.1225,0.0294,0.0294,0.1127,0.049,0.0196,0.0441,0.0833,0.0735,0.0098,0.0196,uređen
AAM76033.1 |membrane-associated matrix protein VP40,0.0492,0.0,0.0574,0.0246,0.0164,0.0902,0.0246,0.0738,0.0738,0.0656,0.0164,0.0656,0.1148,0.0082,0.0574,0.1066,0.0984,0.041,0.0,0.0164,neuređen
AAN04450.1 |matrix protein VP40,0.0861,0.0,0.0478,0.0239,0.0335,0.0431,0.0096,0.1005,0.0383,0.1244,0.0191,0.0383,0.11,0.0478,0.0335,0.0383,0.0813,0.0861,0.0096,0.0287,uređen
AAN04450.1 |matrix protein VP40,0.041,0.0164,0.082,0.0082,0.0,0.082,0.0574,0.0328,0.082,0.082,0.0328,0.041,0.1393,0.0328,0.0328,0.1148,0.0492,0.0574,0.0,0.0164,neuređen
AAQ55047.1 |matrix protein,0.0784,0.0098,0.049,0.0294,0.0392,0.049,0.0196,0.0882,0.0441,0.1225,0.0294,0.0294,0.1127,0.049,0.0196,0.0441,0.0833,0.0735,0.0098,0.0196,uređen
AAQ55047.1 |matrix protein,0.0492,0.0,0.0574,0.0246,0.0164,0.0902,0.0246,0.0738,0.0738,0.0656,0.0164,0.0656,0.1148,0.0082,0.0574,0.1066,0.0984,0.041,0.0,0.0164,neuređen
AAU43885.1 |matrix protein,0.0707,0.0,0.0556,0.0202,0.0404,0.0505,0.0152,0.101,0.0505,0.1313,0.0253,0.0354,0.1061,0.0556,0.0202,0.0354,0.0758,0.0758,0.0101,0.0253,uređen
AAU43885.1 |matrix protein,0.0547,0.0156,0.0625,0.0234,0.0078,0.0781,0.0391,0.0312,0.0781,0.0703,0.0469,0.0312,0.1172,0.0312,0.0469,0.125,0.0625,0.0547,0.0,0.0234,neuređen
AAV48576.1 |matrix protein,0.0822,0.0046,0.0502,0.0183,0.0365,0.0502,0.0091,0.1005,0.0457,0.1187,0.0228,0.032,0.1187,0.0365,0.032,0.0365,0.0822,0.0868,0.0091,0.0274,uređen
AAV48576.1 |matrix protein,0.0446,0.0089,0.0804,0.0089,0.0,0.0804,0.0625,0.0268,0.0893,0.0804,0.0268,0.0446,0.125,0.0357,0.0357,0.125,0.0536,0.0536,0.0,0.0179,neuređen
ABX75366.1 |matrix protein,0.0784,0.0098,0.049,0.0294,0.0392,0.049,0.0196,0.0882,0.0441,0.1225,0.0294,0.0294,0.1127,0.049,0.0196,0.0441,0.0833,0.0735,0.0098,0.0196,uređen
ABX75366.1 |matrix protein,0.0492,0.0,0.0574,0.0246,0.0164,0.0902,0.0246,0.0738,0.0738,0.0656,0.0164,0.0656,0.1148,0.0082,0.0574,0.1066,0.0984,0.041,0.0,0.0164,neuređen
ABY75323.1 |matrix protein,0.0707,0.0,0.0556,0.0202,0.0404,0.0505,0.0152,0.101,0.0505,0.1313,0.0253,0.0354,0.1061,0.0556,0.0202,0.0354,0.0758,0.0758,0.0101,0.0253,uređen
