Naziv_proteina,frakcijska_razlika_A,frakcijska_razlika_C,frakcijska_razlika_D,frakcijska_razlika_E,frakcijska_razlika_F,frakcijska_razlika_G,frakcijska_razlika_H,frakcijska_razlika_I,frakcijska_razlika_K,frakcijska_razlika_L,frakcijska_razlika_M,frakcijska_razlika_N,frakcijska_razlika_P,frakcijska_razlika_Q,frakcijska_razlika_R,frakcijska_razlika_S,frakcijska_razlika_T,frakcijska_razlika_V,frakcijska_razlika_W,frakcijska_razlika_Y
AAD14585.1 |virion spike glycoprotein precursor,-0.4178,0.0,-0.1267,-0.0918,9.1297,0.502,-0.6507,1.5848,0.1477,1.6198,-0.6507,-0.3551,-0.2379,-0.1704,0.5719,-0.6507,-0.4386,0.6883,0.0,3.8902
AAQ55048.1 |virion spike glycoprotein precursor,-0.4124,0.0,-0.1356,-0.0276,0.0,0.5487,-0.6398,1.5932,0.1834,1.2639,-0.6398,-0.4083,-0.3826,-0.1446,0.6808,-0.6235,-0.4212,0.3892,0.0,4.0423
ABX75367.1 |virion spike glycoprotein precursor,-0.4178,0.0,-0.1267,-0.0918,9.1297,0.502,-0.6507,1.5848,0.1477,1.6198,-0.6507,-0.3551,-0.2379,-0.1704,0.5719,-0.6507,-0.4386,0.6883,0.0,3.8902
ACI28624.1 |spike glycoprotein precursor,0.7143,0.0,-0.0707,-0.1453,5.0,2.1111,-0.4568,0.4815,1.4444,0.8667,-0.1111,-0.25,-0.6416,0.0,-0.4074,-0.4444,-0.4971,0.3333,4.7778,5.2222
ACI28632.1 |spike glycoprotein precursor,0.1954,0.0,0.2053,-0.1908,2.0681,0.4344,-0.4521,1.4837,0.2601,0.7133,0.0957,0.1555,-0.5792,-0.2208,0.0957,-0.5398,-0.5502,-0.0897,0.0,0.0
AGB56686.1 |virion spike glycoprotein precursor,-0.4246,0.0,-0.072,-0.0349,0.0,0.559,-0.6288,3.4544,0.0672,1.3332,-0.2576,-0.3902,-0.3637,-0.1648,0.6704,-0.6443,-0.4368,0.2528,0.0,1.5984
AGB56695.1 |virion spike glycoprotein precursor,-0.4246,0.0,-0.072,-0.0349,0.0,0.559,-0.6288,3.4544,0.0672,1.3332,-0.2576,-0.3902,-0.3637,-0.1648,0.6704,-0.6443,-0.4368,0.2528,0.0,1.5984
AGB56704.1 |virion spike glycoprotein precursor,-0.4246,0.0,-0.072,-0.0349,0.0,0.559,-0.6288,3.4544,0.0672,1.3332,-0.2576,-0.3902,-0.3637,-0.1648,0.6704,-0.6443,-0.4368,0.2528,0.0,1.5984
AGB56713.1 |virion spike glycoprotein precursor,-0.4246,0.0,-0.072,-0.0349,0.0,0.559,-0.6288,3.4544,0.0672,1.3332,-0.2576,-0.3902,-0.3637,-0.1648,0.6704,-0.6443,-0.4368,0.2528,0.0,1.5984
AGB56722.1 |virion spike glycoprotein precursor,-0.4246,0.0,-0.072,-0.0349,0.0,0.559,-0.6288,3.4544,0.0672,1.3332,-0.2576,-0.3902,-0.3637,-0.1648,0.6704,-0.6443,-0.4368,0.2528,0.0,1.5984
AGB56731.1 |virion spike glycoprotein precursor,-0.4246,0.0,-0.072,-0.0349,0.0,0.559,-0.6288,3.4544,0.0672,1.3332,-0.2576,-0.3902,-0.3637,-0.1648,0.6704,-0.6443,-0.4368,0.2528,0.0,1.5984
AGB56740.1 |virion spike glycoprotein precursor,-0.4246,0.0,-0.072,-0.0349,0.0,0.559,-0.6288,3.4544,0.0672,1.3332,-0.2576,-0.3902,-0.3637,-0.1648,0.6704,-0.6443,-0.4368,0.2528,0.0,1.5984
AGB56749.1 |virion spike glycoprotein precursor,-0.4178,0.0,-0.1267,-0.0918,9.1297,0.502,-0.6507,1.515,0.1477,1.6198,-0.6507,-0.3551,-0.2379,-0.1704,0.5719,-0.6507,-0.4261,0.6883,0.0,3.8902
AGB56758.1 |virion spike glycoprotein precursor,-0.3844,0.0,-0.0071,-0.0707,0.0,0.5369,-0.6426,1.1446,0.1744,1.0105,-0.6426,-0.4128,-0.2851,-0.0298,0.2063,-0.6263,-0.4128,0.3787,0.0,4.004
AGB56767.1 |virion spike glycoprotein precursor,-0.3844,0.0,-0.0071,-0.0707,0.0,0.5369,-0.6426,1.5735,0.1744,1.0105,-0.6426,-0.4128,-0.2851,-0.1511,0.3787,-0.6263,-0.433,0.3787,0.0,4.004
AGB56776.1 |virion spike glycoprotein precursor,-0.3997,0.0,0.0004,-0.0636,0.0,0.5487,-0.6398,1.5932,0.2348,1.3153,-0.6398,-0.4083,-0.3351,-0.1446,0.3377,-0.6235,-0.4478,0.3892,0.0,4.0423
AGB56785.1 |virion spike glycoprotein precursor,-0.3844,0.0,-0.0071,-0.0707,0.0,0.5369,-0.6426,1.5735,0.1744,1.0105,-0.6426,-0.4128,-0.2851,-0.1511,0.3787,-0.6263,-0.433,0.3787,0.0,4.004
AGB56794.1 |virion spike glycoprotein precursor,-0.4168,0.0,-0.1064,-0.0707,0.0,0.5369,-0.6426,1.5735,0.1744,1.2978,-0.6426,-0.4128,-0.3401,-0.1511,0.668,-0.6263,-0.4256,0.3787,0.0,4.004
AGB56803.1 |virion spike glycoprotein precursor,-0.3844,0.0,-0.0071,-0.0707,0.0,0.5369,-0.6426,1.5735,0.1744,1.0105,-0.6426,-0.4128,-0.2851,-0.1511,0.3787,-0.6263,-0.433,0.3787,0.0,4.004
AGB56812.1 |virion spike glycoprotein precursor,-0.3997,0.0,0.0004,-0.0636,0.0,0.5487,-0.6398,1.5932,0.2348,1.3153,-0.6398,-0.4083,-0.3351,-0.1446,0.3377,-0.6235,-0.4478,0.3892,0.0,4.0423
AGB56821.1 |virion spike glycoprotein precursor,-0.4168,0.0,-0.1064,-0.0707,0.0,0.5369,-0.6426,1.5735,0.1744,1.2978,-0.6426,-0.4128,-0.3401,-0.1511,0.668,-0.6263,-0.4256,0.3787,0.0,4.004
AGB56830.1 |virion spike glycoprotein precursor,-0.3886,0.0,-0.2,-0.168,0.0,0.7209,-0.604,0.8606,0.1566,2.168,-0.648,-0.3772,-0.296,-0.2569,0.584,-0.648,-0.3805,0.584,0.0,0.6427
AGB56839.1 |virion spike glycoprotein precursor,-0.4178,0.0,-0.1267,-0.0918,9.1297,0.502,-0.6507,1.515,0.1477,1.6198,-0.6507,-0.3551,-0.2379,-0.1704,0.5719,-0.6507,-0.4261,0.6883,0.0,3.8902
AGN52936.1 |spike glycoprotein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8191,0.0,-0.8725,-0.6056,0.0,-0.7213,0.0,0.0
AHX24649.2 |virion spike glycoprotein precursor,-0.345,0.0,-0.0789,-0.1962,9.3158,0.8012,-0.5855,1.6526,0.0592,1.0263,-0.6316,-0.4351,-0.2632,-0.125,1.0632,-0.6758,-0.3996,0.2434,0.0,1.5789
AHX24658.2 |virion spike glycoprotein precursor,-0.345,0.0,-0.0789,-0.1962,9.3158,0.8012,-0.5855,1.6526,0.0592,1.0263,-0.6316,-0.4351,-0.2632,-0.125,1.0632,-0.6758,-0.3996,0.2434,0.0,1.5789
AHX24667.2 |virion spike glycoprotein precursor,-0.3401,0.0,-0.072,-0.1901,9.3935,0.8147,-0.5824,1.6726,0.0672,1.0416,-0.6288,-0.4308,-0.2576,-0.1184,1.1529,-0.7002,-0.3951,0.2528,0.0,1.5984
AHY61337.1 |spike glycoprotein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIE11800.1 |virion spike glycoprotein precursor,-0.3655,0.0,-0.0789,-0.1962,9.3158,0.8012,-0.5855,1.6526,0.0592,1.0263,-0.6316,-0.4351,-0.2632,-0.125,1.0632,-0.6758,-0.3996,0.2895,0.0,1.5789
AIE11809.1 |virion spike glycoprotein precursor,-0.3655,0.0,-0.0789,-0.1962,9.3158,0.8012,-0.5855,1.6526,0.0592,1.0263,-0.6316,-0.4351,-0.2632,-0.125,1.0632,-0.6758,-0.3996,0.2895,0.0,1.5789
AIE11818.1 |virion spike glycoprotein precursor,-0.3655,0.0,-0.0789,-0.1962,9.3158,0.8012,-0.5855,1.6526,0.0592,1.0263,-0.6316,-0.4351,-0.2632,-0.125,1.0632,-0.6758,-0.3996,0.2895,0.0,1.5789
AIE11827.1 |virion spike glycoprotein precursor,-0.3655,0.0,-0.0789,-0.1962,9.3158,0.8012,-0.5855,1.6526,0.0592,1.0263,-0.6316,-0.4351,-0.2632,-0.125,1.0632,-0.6758,-0.3996,0.2895,0.0,1.5789
AIE11836.1 |virion spike glycoprotein precursor,-0.3655,0.0,-0.0789,-0.1962,9.3158,0.8012,-0.5855,1.6526,0.0592,1.0263,-0.6316,-0.4351,-0.2632,-0.125,1.0632,-0.6758,-0.3996,0.2895,0.0,1.5789
AIE11845.1 |virion spike glycoprotein precursor,-0.3655,0.0,-0.0789,-0.1962,9.3158,0.8012,-0.5855,1.6526,0.0592,1.0263,-0.6316,-0.4351,-0.2632,-0.125,1.0632,-0.6758,-0.3996,0.2895,0.0,1.5789
AIE11854.1 |virion spike glycoprotein precursor,-0.3655,0.0,-0.0789,-0.1962,9.3158,0.8012,-0.5855,1.6526,0.0592,1.0263,-0.6316,-0.4351,-0.2632,-0.125,1.0632,-0.6758,-0.3996,0.2895,0.0,1.5789
AIE11863.1 |virion spike glycoprotein precursor,-0.3655,0.0,-0.0789,-0.1962,9.3158,0.8012,-0.5855,1.6526,0.0592,1.0263,-0.6316,-0.4351,-0.2632,-0.125,1.0632,-0.6758,-0.3996,0.2895,0.0,1.5789
AIE11872.1 |virion spike glycoprotein precursor,-0.3655,0.0,-0.0789,-0.1962,9.3158,0.8012,-0.5855,1.6526,0.0592,1.0263,-0.6316,-0.4351,-0.2632,-0.125,1.0632,-0.6758,-0.3996,0.2895,0.0,1.5789
AIE11881.1 |virion spike glycoprotein precursor,-0.3655,0.0,-0.0789,-0.1962,9.3158,0.8012,-0.5855,1.6526,0.0592,1.0263,-0.6316,-0.4351,-0.2632,-0.125,1.0632,-0.6758,-0.3996,0.2895,0.0,1.5789
AIE11890.1 |virion spike glycoprotein precursor,-0.3655,0.0,-0.0789,-0.1962,9.3158,0.8012,-0.5855,1.6526,0.0592,1.0263,-0.6316,-0.4351,-0.2632,-0.125,1.0632,-0.6758,-0.3996,0.2895,0.0,1.5789
AIE11899.1 |virion spike glycoprotein precursor,-0.3655,0.0,-0.0789,-0.1962,9.3158,0.8012,-0.5855,1.6526,0.0592,1.0263,-0.6316,-0.4351,-0.2632,-0.125,1.0632,-0.6758,-0.3996,0.2895,0.0,1.5789
AIE11908.1 |virion spike glycoprotein precursor,-0.3655,0.0,-0.0789,-0.1962,9.3158,0.8012,-0.5855,1.6526,0.0592,1.0263,-0.6316,-0.4351,-0.2632,-0.125,1.0632,-0.6758,-0.3996,0.2895,0.0,1.5789
AIE11917.1 |virion spike glycoprotein precursor,-0.3655,0.0,-0.0789,-0.1962,9.3158,0.8012,-0.5855,1.6526,0.0592,1.0263,-0.6316,-0.4351,-0.2632,-0.125,1.0632,-0.6758,-0.3996,0.2895,0.0,1.5789
AIG95887.1 |virion spike glycoprotein precursor,-0.3655,0.0,-0.0789,-0.1962,9.3158,0.8012,-0.5855,1.6526,0.0592,1.0263,-0.6316,-0.4351,-0.2632,-0.125,1.0632,-0.6758,-0.3996,0.2895,0.0,1.5789
AIG95896.1 |virion spike glycoprotein precursor,-0.3655,0.0,-0.0789,-0.1962,9.3158,0.8012,-0.5855,1.6526,0.0592,1.0263,-0.6316,-0.4351,-0.2632,-0.125,1.0632,-0.6758,-0.3996,0.2895,0.0,1.5789
AIG95905.1 |virion spike glycoprotein precursor,-0.3655,0.0,-0.0789,-0.1962,9.3158,0.8012,-0.5855,1.6526,0.0592,1.0263,-0.6316,-0.4351,-0.2632,-0.125,1.0632,-0.6758,-0.3996,0.2895,0.0,1.5789
AIG95914.1 |virion spike glycoprotein precursor,-0.3655,0.0,-0.0789,-0.1962,9.3158,0.8012,-0.5855,1.6526,0.0592,1.0263,-0.6316,-0.4351,-0.2632,-0.125,1.0632,-0.6758,-0.3996,0.2895,0.0,1.5789
AIG95923.1 |virion spike glycoprotein precursor,-0.3655,0.0,-0.0789,-0.1962,9.3158,0.8012,-0.5855,1.6526,0.0592,1.0263,-0.6316,-0.4351,-0.2632,-0.125,1.0632,-0.6758,-0.3996,0.2895,0.0,1.5789
AIG95932.1 |virion spike glycoprotein precursor,-0.3655,0.0,-0.0789,-0.1962,9.3158,0.8012,-0.5855,1.6526,0.0592,1.0263,-0.6316,-0.4351,-0.2632,-0.125,1.0632,-0.6758,-0.3996,0.2895,0.0,1.5789
