Naziv proteina,Molska Frakcija Uredjeni,Molska Frakcija Neuredjeni,Procenat uredjeni,Procenat neuredjeni,Frakcijska Razlika
AJY53714.1 ___virion spike glycoprotein precursor,0.56094,0.43906,56.09%,43.91%,-0.2173
AMZ00481.1 ___virion spike glycoprotein,0.57562,0.42438,57.56%,42.44%,-0.2628
AMZ00488.1 ___virion spike glycoprotein,0.55213,0.44787,55.21%,44.79%,-0.1888
AGN52936.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
AHY61337.1 ___spike glycoprotein,0.92284,0.07716,92.28%,7.72%,-0.9164
AQZ41285.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
AQZ41311.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
AQZ41322.1 ___spike glycoprotein,0.93939,0.06061,93.94%,6.06%,-0.9355
AQZ41332.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
AQZ41343.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
AQZ41354.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
AQZ41365.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
AQZ41376.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ARQ84735.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ARQ84746.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ARQ84757.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ARQ84768.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU45696.1 ___spike glycoprotein,0.94752,0.05248,94.75%,5.25%,-0.9446
ASU45708.1 ___spike glycoprotein,0.94752,0.05248,94.75%,5.25%,-0.9446
ASU45719.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU45730.1 ___spike glycoprotein,0.94457,0.05543,94.46%,5.54%,-0.9413
ASU45741.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU45752.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU45763.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU45774.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU45785.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU45796.1 ___spike glycoprotein,0.94752,0.05248,94.75%,5.25%,-0.9446
ASU45807.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU45818.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU45829.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU45840.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU45851.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU45862.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU45873.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU89921.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU89933.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU89944.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU89955.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU89966.1 ___spike glycoprotein,0.94605,0.05395,94.6%,5.4%,-0.943
ASU89977.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU89988.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU89999.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90010.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90021.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90032.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90043.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90054.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90065.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90076.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90087.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90098.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90109.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90120.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90131.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90142.1 ___spike glycoprotein,0.949,0.051,94.9%,5.1%,-0.9463
ASU90153.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90164.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90175.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90186.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90197.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90208.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90219.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90230.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90241.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90252.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90263.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90274.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90285.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90295.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90307.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90318.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90340.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90351.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90362.1 ___spike glycoprotein,0.94605,0.05395,94.6%,5.4%,-0.943
ASU90373.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90384.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90395.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90406.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90417.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90428.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90439.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90461.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90472.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90483.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90494.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90505.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90516.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90527.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90538.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90549.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90560.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90571.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90582.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90593.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90604.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90615.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90626.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90637.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90648.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90659.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90670.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90681.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90692.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90703.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90714.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90725.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90736.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90747.1 ___spike glycoprotein,0.95196,0.04804,95.2%,4.8%,-0.9495
ASU90758.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90769.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90780.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90791.1 ___spike glycoprotein,0.94826,0.05174,94.83%,5.17%,-0.9454
ASU90802.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90813.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90824.1 ___spike glycoprotein,0.95196,0.04804,95.2%,4.8%,-0.9495
ASU90835.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90846.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90857.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90868.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90879.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90890.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90901.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90912.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90923.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90934.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90945.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90956.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90966.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90978.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90988.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU90999.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU91010.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU91021.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
ASU91032.1 ___spike glycoprotein,0.94531,0.05469,94.53%,5.47%,-0.9421
