Naziv proteina,Molska Frakcija Uredjeni,Molska Frakcija Neuredjeni,Procenat uredjeni,Procenat neuredjeni,Frakcijska Razlika
AJY53714.1 |virion spike glycoprotein precursor,0.5859,0.4141,58.59%,41.41%,-0.2932
AMZ00481.1 |virion spike glycoprotein,0.61233,0.38767,61.23%,38.77%,-0.3669
AMZ00488.1 |virion spike glycoprotein,0.60499,0.39501,60.5%,39.5%,-0.3471
AGN52936.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
AHY61337.1 |spike glycoprotein,1.0,0.0,100.0%,0.0%,-1.0
AQZ41285.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
AQZ41311.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
AQZ41322.1 |spike glycoprotein,1.0,0.0,100.0%,0.0%,-1.0
AQZ41332.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
AQZ41343.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
AQZ41354.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
AQZ41365.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
AQZ41376.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ARQ84735.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ARQ84746.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ARQ84757.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ARQ84768.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU45696.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU45708.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU45719.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU45730.1 |spike glycoprotein,0.9963,0.0037,99.63%,0.37%,-0.9963
ASU45741.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU45752.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU45763.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU45774.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU45785.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU45796.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU45807.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU45818.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU45829.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU45840.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU45851.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU45862.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU45873.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU89921.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU89933.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU89944.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU89955.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU89966.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU89977.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU89988.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU89999.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90010.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90021.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90032.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90043.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90054.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90065.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90076.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90087.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90098.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
ASU90109.1 |spike glycoprotein,0.99704,0.00296,99.7%,0.3%,-0.997
