Naziv proteina,Molska Frakcija Uredjeni,Molska Frakcija Neuredjeni,Procenat uredjeni,Procenat neuredjeni,Frakcijska Razlika
AJY53712.1 |VP35 matrix protein,0.99088,0.00912,99.09%,0.91%,-0.9908
AJY53713.1 |matrix protein,0.967,0.033,96.7%,3.3%,-0.9659
AKB09571.1 |matrix protein VP40,0.9604,0.0396,96.04%,3.96%,-0.9588
AKI84282.1 |matrix protein VP40,0.9604,0.0396,96.04%,3.96%,-0.9588
ALS54753.1 |matrix protein VP40,0.9637,0.0363,96.37%,3.63%,-0.9623
QYC62007.1 |matrix protein VP40,0.9604,0.0396,96.04%,3.96%,-0.9588
WKR37931.1 |matrix protein,0.9571,0.0429,95.71%,4.29%,-0.9552
WKR37934.1 |matrix protein,1.0,0.0,100.0%,0.0%,-1.0
YP_001531155.1 |matrix protein,0.9604,0.0396,96.04%,3.96%,-0.9588
YP_001531158.1 |matrix protein,1.0,0.0,100.0%,0.0%,-1.0
YP_009055224.1 |matrix protein,0.9637,0.0363,96.37%,3.63%,-0.9623
AHX71952.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
AKL59407.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
AKN24755.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
AKN24764.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
AKN24773.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
AKN24782.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
AKN24791.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
AKN24800.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
AKN24809.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
AKN24818.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
AKN24827.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
AKN24836.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA49347.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA49358.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA49369.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA49380.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA49391.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA49402.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA49413.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA49424.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA49435.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA49446.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA49457.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA49468.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA49479.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA49490.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA49501.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA49512.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA49523.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA49534.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA49545.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA49556.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA49567.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA49578.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA49589.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA49600.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA49611.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA49622.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA49633.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA49644.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA49655.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA49666.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA49677.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA49688.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA49699.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA49710.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA49721.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA49732.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA49743.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA49754.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA49765.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA49776.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA49787.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA49798.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA49809.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA49820.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA49831.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA49842.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA49853.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA49864.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA49875.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA49886.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA49897.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA49908.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA49919.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA49930.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA49941.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA49952.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA49963.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA49974.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA49985.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA49996.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA50007.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA50018.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA50029.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA50040.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA50051.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA50062.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALA50073.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALR69647.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALT66876.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ALT66886.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ANC28651.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ANC28662.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ANC28673.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ANC28684.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ANC28695.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ANC28706.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ANC28717.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ANI69830.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ANI69841.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ANI69852.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
ANI69863.1 |membrane protein,1.0,0.0,100.0%,0.0%,-1.0
