Naziv_proteina,molska_frakcija_A_uredjen,molska_frakcija_A_neuredjen,frakcijska_razlika_A,molska_frakcija_C_uredjen,molska_frakcija_C_neuredjen,frakcijska_razlika_C,molska_frakcija_D_uredjen,molska_frakcija_D_neuredjen,frakcijska_razlika_D,molska_frakcija_E_uredjen,molska_frakcija_E_neuredjen,frakcijska_razlika_E,molska_frakcija_F_uredjen,molska_frakcija_F_neuredjen,frakcijska_razlika_F,molska_frakcija_G_uredjen,molska_frakcija_G_neuredjen,frakcijska_razlika_G,molska_frakcija_H_uredjen,molska_frakcija_H_neuredjen,frakcijska_razlika_H,molska_frakcija_I_uredjen,molska_frakcija_I_neuredjen,frakcijska_razlika_I,molska_frakcija_K_uredjen,molska_frakcija_K_neuredjen,frakcijska_razlika_K,molska_frakcija_L_uredjen,molska_frakcija_L_neuredjen,frakcijska_razlika_L,molska_frakcija_M_uredjen,molska_frakcija_M_neuredjen,frakcijska_razlika_M,molska_frakcija_N_uredjen,molska_frakcija_N_neuredjen,frakcijska_razlika_N,molska_frakcija_P_uredjen,molska_frakcija_P_neuredjen,frakcijska_razlika_P,molska_frakcija_Q_uredjen,molska_frakcija_Q_neuredjen,frakcijska_razlika_Q,molska_frakcija_R_uredjen,molska_frakcija_R_neuredjen,frakcijska_razlika_R,molska_frakcija_S_uredjen,molska_frakcija_S_neuredjen,frakcijska_razlika_S,molska_frakcija_T_uredjen,molska_frakcija_T_neuredjen,frakcijska_razlika_T,molska_frakcija_V_uredjen,molska_frakcija_V_neuredjen,frakcijska_razlika_V,molska_frakcija_W_uredjen,molska_frakcija_W_neuredjen,frakcijska_razlika_W,molska_frakcija_Y_uredjen,molska_frakcija_Y_neuredjen,frakcijska_razlika_Y
AAD14583.1 |matrix protein,0.0784,0.0492,0.5948,0.0098,0.0,0.0,0.049,0.0574,-0.1457,0.0294,0.0246,0.1961,0.0392,0.0164,1.3922,0.049,0.0902,-0.4563,0.0196,0.0246,-0.2026,0.0882,0.0738,0.1961,0.0441,0.0738,-0.402,0.1225,0.0656,0.8689,0.0294,0.0164,0.7941,0.0294,0.0656,-0.5515,0.1127,0.1148,-0.0175,0.049,0.0082,4.9804,0.0196,0.0574,-0.6583,0.0441,0.1066,-0.586,0.0833,0.0984,-0.1528,0.0735,0.041,0.7941,0.0098,0.0,0.0,0.0196,0.0164,0.1961
AAM76033.1 |membrane-associated matrix protein VP40,0.0784,0.0492,0.5948,0.0098,0.0,0.0,0.049,0.0574,-0.1457,0.0294,0.0246,0.1961,0.0392,0.0164,1.3922,0.049,0.0902,-0.4563,0.0196,0.0246,-0.2026,0.0882,0.0738,0.1961,0.0441,0.0738,-0.402,0.1225,0.0656,0.8689,0.0294,0.0164,0.7941,0.0294,0.0656,-0.5515,0.1127,0.1148,-0.0175,0.049,0.0082,4.9804,0.0196,0.0574,-0.6583,0.0441,0.1066,-0.586,0.0833,0.0984,-0.1528,0.0735,0.041,0.7941,0.0098,0.0,0.0,0.0196,0.0164,0.1961
AAN04450.1 |matrix protein VP40,0.0861,0.041,1.1014,0.0,0.0164,-1.0,0.0478,0.082,-0.4163,0.0239,0.0082,1.9187,0.0335,0.0,0.0,0.0431,0.082,-0.4746,0.0096,0.0574,-0.8332,0.1005,0.0328,2.0646,0.0383,0.082,-0.533,0.1244,0.082,0.5177,0.0191,0.0328,-0.4163,0.0383,0.041,-0.066,0.11,0.1393,-0.2102,0.0478,0.0328,0.4593,0.0335,0.0328,0.0215,0.0383,0.1148,-0.6664,0.0813,0.0492,0.6539,0.0861,0.0574,0.501,0.0096,0.0,0.0,0.0287,0.0164,0.7512
AAQ55047.1 |matrix protein,0.0784,0.0492,0.5948,0.0098,0.0,0.0,0.049,0.0574,-0.1457,0.0294,0.0246,0.1961,0.0392,0.0164,1.3922,0.049,0.0902,-0.4563,0.0196,0.0246,-0.2026,0.0882,0.0738,0.1961,0.0441,0.0738,-0.402,0.1225,0.0656,0.8689,0.0294,0.0164,0.7941,0.0294,0.0656,-0.5515,0.1127,0.1148,-0.0175,0.049,0.0082,4.9804,0.0196,0.0574,-0.6583,0.0441,0.1066,-0.586,0.0833,0.0984,-0.1528,0.0735,0.041,0.7941,0.0098,0.0,0.0,0.0196,0.0164,0.1961
AAU43885.1 |matrix protein,0.0707,0.0547,0.2929,0.0,0.0156,-1.0,0.0556,0.0625,-0.1111,0.0202,0.0234,-0.138,0.0404,0.0078,4.1717,0.0505,0.0781,-0.3535,0.0152,0.0391,-0.6121,0.101,0.0312,2.2323,0.0505,0.0781,-0.3535,0.1313,0.0703,0.8676,0.0253,0.0469,-0.4613,0.0354,0.0312,0.1313,0.1061,0.1172,-0.0949,0.0556,0.0312,0.7778,0.0202,0.0469,-0.569,0.0354,0.125,-0.7172,0.0758,0.0625,0.2121,0.0758,0.0547,0.3853,0.0101,0.0,0.0,0.0253,0.0234,0.0774
AAV48576.1 |matrix protein,0.0822,0.0446,0.8411,0.0046,0.0089,-0.4886,0.0502,0.0804,-0.3749,0.0183,0.0089,1.0457,0.0365,0.0,0.0,0.0502,0.0804,-0.3749,0.0091,0.0625,-0.8539,0.1005,0.0268,2.7504,0.0457,0.0893,-0.4886,0.1187,0.0804,0.4774,0.0228,0.0268,-0.1476,0.032,0.0446,-0.284,0.1187,0.125,-0.0502,0.0365,0.0357,0.0228,0.032,0.0357,-0.105,0.0365,0.125,-0.7078,0.0822,0.0536,0.5342,0.0868,0.0536,0.6195,0.0091,0.0,0.0,0.0274,0.0179,0.5342
ABX75366.1 |matrix protein,0.0784,0.0492,0.5948,0.0098,0.0,0.0,0.049,0.0574,-0.1457,0.0294,0.0246,0.1961,0.0392,0.0164,1.3922,0.049,0.0902,-0.4563,0.0196,0.0246,-0.2026,0.0882,0.0738,0.1961,0.0441,0.0738,-0.402,0.1225,0.0656,0.8689,0.0294,0.0164,0.7941,0.0294,0.0656,-0.5515,0.1127,0.1148,-0.0175,0.049,0.0082,4.9804,0.0196,0.0574,-0.6583,0.0441,0.1066,-0.586,0.0833,0.0984,-0.1528,0.0735,0.041,0.7941,0.0098,0.0,0.0,0.0196,0.0164,0.1961
ABY75323.1 |matrix protein,0.0707,0.0547,0.2929,0.0,0.0156,-1.0,0.0556,0.0625,-0.1111,0.0202,0.0234,-0.138,0.0404,0.0078,4.1717,0.0505,0.0781,-0.3535,0.0152,0.0391,-0.6121,0.101,0.0312,2.2323,0.0505,0.0781,-0.3535,0.1313,0.0703,0.8676,0.0253,0.0469,-0.4613,0.0354,0.0312,0.1313,0.1061,0.1172,-0.0949,0.0556,0.0312,0.7778,0.0202,0.0469,-0.569,0.0354,0.125,-0.7172,0.0758,0.0625,0.2121,0.0758,0.0547,0.3853,0.0101,0.0,0.0,0.0253,0.0234,0.0774
ABY75327.1 |minor matrix protein,0.049,0.1064,-0.5392,0.0049,0.0,0.0,0.0343,0.0426,-0.1936,0.0441,0.0426,0.0368,0.0441,0.0213,1.0735,0.049,0.0213,1.3039,0.0245,0.0213,0.152,0.0686,0.0851,-0.1936,0.0441,0.0851,-0.4816,0.1471,0.0638,1.3039,0.0294,0.0638,-0.5392,0.0735,0.0213,2.4559,0.0441,0.0638,-0.3088,0.0392,0.0426,-0.0784,0.049,0.0213,1.3039,0.0588,0.1702,-0.6544,0.0686,0.0851,-0.1936,0.0784,0.0426,0.8431,0.0245,0.0,0.0,0.0245,0.0,0.0
ACR33189.1 |matrix protein,0.0707,0.0547,0.2929,0.0,0.0156,-1.0,0.0556,0.0625,-0.1111,0.0202,0.0234,-0.138,0.0404,0.0078,4.1717,0.0505,0.0781,-0.3535,0.0152,0.0391,-0.6121,0.101,0.0312,2.2323,0.0505,0.0781,-0.3535,0.1313,0.0703,0.8676,0.0253,0.0469,-0.4613,0.0354,0.0312,0.1313,0.1061,0.1172,-0.0949,0.0556,0.0312,0.7778,0.0202,0.0469,-0.569,0.0354,0.125,-0.7172,0.0758,0.0625,0.2121,0.0758,0.0547,0.3853,0.0101,0.0,0.0,0.0253,0.0234,0.0774
ACT22786.1 |matrix protein VP40,0.0798,0.0424,0.8836,0.0,0.0169,-1.0,0.0423,0.0932,-0.5467,0.0235,0.0085,1.77,0.0376,0.0,0.0,0.0469,0.0763,-0.3845,0.0094,0.0593,-0.8417,0.0939,0.0424,1.216,0.0376,0.0847,-0.5568,0.1268,0.0678,0.8697,0.0188,0.0339,-0.446,0.0329,0.0339,-0.0305,0.1174,0.1271,-0.0767,0.0469,0.0339,0.385,0.0329,0.0339,-0.0305,0.0469,0.1186,-0.6043,0.0751,0.0593,0.2663,0.0939,0.0508,0.8466,0.0094,0.0,0.0,0.0282,0.0169,0.662
ACT22799.1 |truncated matrix protein VP40,0.0702,0.0568,0.2364,0.0041,0.0114,-0.6364,0.0455,0.0909,-0.5,0.0248,0.0,0.0,0.0289,0.0,0.0,0.0455,0.0909,-0.5,0.0124,0.0568,-0.7818,0.0992,0.0341,1.9091,0.0455,0.0909,-0.5,0.1322,0.0455,1.9091,0.0165,0.0341,-0.5152,0.0413,0.0455,-0.0909,0.124,0.1136,0.0909,0.0413,0.0455,-0.0909,0.0289,0.0227,0.2727,0.0413,0.1364,-0.697,0.0785,0.0341,1.303,0.0868,0.0568,0.5273,0.0083,0.0,0.0,0.0248,0.0341,-0.2727
ACT22801.1 |matrix protein VP40,0.0807,0.0463,0.7435,0.0,0.0185,-1.0,0.0448,0.1019,-0.5597,0.0224,0.0093,1.4215,0.0359,0.0,0.0,0.0493,0.0741,-0.3341,0.009,0.0648,-0.8616,0.1031,0.0278,2.713,0.0359,0.0926,-0.6126,0.1166,0.0833,0.3991,0.0224,0.0278,-0.1928,0.0359,0.037,-0.0314,0.1211,0.1111,0.0897,0.0448,0.037,0.2108,0.0314,0.037,-0.1525,0.0448,0.1204,-0.6275,0.0762,0.0463,0.6466,0.0897,0.0463,0.9372,0.009,0.0,0.0,0.0269,0.0185,0.4529
AFP28226.1 |matrix protein,0.0707,0.0547,0.2929,0.0,0.0156,-1.0,0.0556,0.0625,-0.1111,0.0202,0.0234,-0.138,0.0404,0.0078,4.1717,0.0505,0.0781,-0.3535,0.0152,0.0391,-0.6121,0.101,0.0312,2.2323,0.0505,0.0859,-0.4123,0.1313,0.0703,0.8676,0.0303,0.0469,-0.3535,0.0354,0.0312,0.1313,0.1061,0.1172,-0.0949,0.0556,0.0312,0.7778,0.0202,0.0391,-0.4828,0.0354,0.125,-0.7172,0.0707,0.0625,0.1313,0.0758,0.0547,0.3853,0.0101,0.0,0.0,0.0253,0.0234,0.0774
AGB56677.1 |matrix protein,0.0707,0.0547,0.2929,0.0,0.0156,-1.0,0.0556,0.0625,-0.1111,0.0202,0.0234,-0.138,0.0404,0.0078,4.1717,0.0505,0.0781,-0.3535,0.0152,0.0391,-0.6121,0.101,0.0312,2.2323,0.0505,0.0781,-0.3535,0.1313,0.0703,0.8676,0.0253,0.0469,-0.4613,0.0354,0.0312,0.1313,0.1061,0.1172,-0.0949,0.0556,0.0312,0.7778,0.0202,0.0469,-0.569,0.0354,0.125,-0.7172,0.0758,0.0625,0.2121,0.0758,0.0547,0.3853,0.0101,0.0,0.0,0.0253,0.0234,0.0774
AGC02885.1 |matrix protein VP40,0.0798,0.0424,0.8836,0.0,0.0169,-1.0,0.0423,0.0932,-0.5467,0.0235,0.0085,1.77,0.0376,0.0,0.0,0.0469,0.0763,-0.3845,0.0094,0.0593,-0.8417,0.0939,0.0424,1.216,0.0376,0.0847,-0.5568,0.1268,0.0678,0.8697,0.0188,0.0339,-0.446,0.0329,0.0339,-0.0305,0.1174,0.1271,-0.0767,0.0469,0.0339,0.385,0.0329,0.0339,-0.0305,0.0469,0.1186,-0.6043,0.0751,0.0593,0.2663,0.0939,0.0508,0.8466,0.0094,0.0,0.0,0.0282,0.0169,0.662
