Naziv_proteina,molska_frakcija_za_A,molska_frakcija_za_C,molska_frakcija_za_D,molska_frakcija_za_E,molska_frakcija_za_F,molska_frakcija_za_G,molska_frakcija_za_H,molska_frakcija_za_I,molska_frakcija_za_K,molska_frakcija_za_L,molska_frakcija_za_M,molska_frakcija_za_N,molska_frakcija_za_P,molska_frakcija_za_Q,molska_frakcija_za_R,molska_frakcija_za_S,molska_frakcija_za_T,molska_frakcija_za_V,molska_frakcija_za_W,molska_frakcija_za_Y,Klasifikacija
AAD14585.1 ___virion spike glycoprotein precursor,0.0638,0.0247,0.0494,0.0514,0.0576,0.0885,0.0165,0.0782,0.0473,0.0926,0.0021,0.0473,0.0432,0.0391,0.0576,0.0391,0.0885,0.0556,0.0288,0.0288,uređen
AAD14585.1 ___virion spike glycoprotein precursor,0.0895,0,0.0579,0.0579,0.0105,0.0526,0.0526,0.0211,0.0368,0.0316,0.0158,0.0737,0.0737,0.0421,0.0263,0.1526,0.1579,0.0421,0,0.0053,neuređen
AAQ55048.1 ___virion spike glycoprotein precursor,0.0671,0.0252,0.0482,0.0503,0.0566,0.0901,0.0168,0.0776,0.0482,0.0922,0.0021,0.0482,0.044,0.0398,0.0566,0.0356,0.0881,0.0545,0.0294,0.0294,uređen
AAQ55048.1 ___virion spike glycoprotein precursor,0.0905,0,0.0553,0.0653,0.0101,0.0503,0.0503,0.0201,0.0352,0.0352,0.0151,0.0704,0.0854,0.0402,0.0352,0.1407,0.1558,0.0402,0,0.005,neuređen
ABX75367.1 ___virion spike glycoprotein precursor,0.0638,0.0247,0.0494,0.0514,0.0576,0.0885,0.0165,0.0782,0.0473,0.0926,0.0021,0.0473,0.0432,0.0391,0.0576,0.0391,0.0885,0.0556,0.0288,0.0288,uređen
ABX75367.1 ___virion spike glycoprotein precursor,0.0895,0,0.0579,0.0579,0.0105,0.0526,0.0526,0.0211,0.0368,0.0316,0.0158,0.0737,0.0737,0.0421,0.0263,0.1526,0.1579,0.0421,0,0.0053,neuređen
ACI28624.1 ___spike glycoprotein precursor,0.0565,0.0261,0.0478,0.0522,0.0609,0.0739,0.0239,0.0696,0.05,0.0913,0.0043,0.0565,0.05,0.0348,0.0457,0.037,0.0913,0.0674,0.0304,0.0304,uređen
ACI28624.1 ___spike glycoprotein precursor,0.037,0,0.0556,0.0648,0.0046,0.0278,0.0417,0.0324,0.0139,0.0463,0.0185,0.0787,0.1528,0.0463,0.0648,0.088,0.1806,0.0417,0,0.0046,neuređen
ACI28632.1 ___spike glycoprotein precursor,0.0617,0.0286,0.0463,0.0485,0.0639,0.0793,0.0198,0.0749,0.0507,0.0925,0.0044,0.0661,0.0419,0.0308,0.0463,0.0352,0.0903,0.0617,0.0308,0.0264,uređen
ACI28632.1 ___spike glycoprotein precursor,0.0586,0,0.0405,0.0676,0.0135,0.0495,0.0405,0.027,0.036,0.0541,0.0225,0.045,0.1351,0.0495,0.0315,0.1126,0.1622,0.0541,0,0,neuređen
