Naziv_proteina,molska_frakcija_A_uredjen,molska_frakcija_A_neuredjen,frakcijska_razlika_A,molska_frakcija_C_uredjen,molska_frakcija_C_neuredjen,frakcijska_razlika_C,molska_frakcija_D_uredjen,molska_frakcija_D_neuredjen,frakcijska_razlika_D,molska_frakcija_E_uredjen,molska_frakcija_E_neuredjen,frakcijska_razlika_E,molska_frakcija_F_uredjen,molska_frakcija_F_neuredjen,frakcijska_razlika_F,molska_frakcija_G_uredjen,molska_frakcija_G_neuredjen,frakcijska_razlika_G,molska_frakcija_H_uredjen,molska_frakcija_H_neuredjen,frakcijska_razlika_H,molska_frakcija_I_uredjen,molska_frakcija_I_neuredjen,frakcijska_razlika_I,molska_frakcija_K_uredjen,molska_frakcija_K_neuredjen,frakcijska_razlika_K,molska_frakcija_L_uredjen,molska_frakcija_L_neuredjen,frakcijska_razlika_L,molska_frakcija_M_uredjen,molska_frakcija_M_neuredjen,frakcijska_razlika_M,molska_frakcija_N_uredjen,molska_frakcija_N_neuredjen,frakcijska_razlika_N,molska_frakcija_P_uredjen,molska_frakcija_P_neuredjen,frakcijska_razlika_P,molska_frakcija_Q_uredjen,molska_frakcija_Q_neuredjen,frakcijska_razlika_Q,molska_frakcija_R_uredjen,molska_frakcija_R_neuredjen,frakcijska_razlika_R,molska_frakcija_S_uredjen,molska_frakcija_S_neuredjen,frakcijska_razlika_S,molska_frakcija_T_uredjen,molska_frakcija_T_neuredjen,frakcijska_razlika_T,molska_frakcija_V_uredjen,molska_frakcija_V_neuredjen,frakcijska_razlika_V,molska_frakcija_W_uredjen,molska_frakcija_W_neuredjen,frakcijska_razlika_W,molska_frakcija_Y_uredjen,molska_frakcija_Y_neuredjen,frakcijska_razlika_Y
AAD14585.1 ___virion spike glycoprotein precursor,0.0638,0.0895,-0.2871,0.0247,0.0,0.0,0.0494,0.0579,-0.147,0.0514,0.0579,-0.1115,0.0576,0.0105,4.4733,0.0885,0.0526,0.6811,0.0165,0.0526,-0.6872,0.0782,0.0211,2.714,0.0473,0.0368,0.2845,0.0926,0.0316,1.9321,0.0021,0.0158,-0.8697,0.0473,0.0737,-0.3577,0.0432,0.0737,-0.4136,0.0391,0.0421,-0.0715,0.0576,0.0263,1.1893,0.0391,0.1526,-0.7439,0.0885,0.1579,-0.4396,0.0556,0.0421,0.3194,0.0288,0.0,0,0.0288,0.0053,4.4733
AAQ55048.1 ___virion spike glycoprotein precursor,0.0671,0.0905,-0.2583,0.0252,0.0,0.0,0.0482,0.0553,-0.1277,0.0503,0.0653,-0.2298,0.0566,0.0101,4.6321,0.0901,0.0503,0.7939,0.0168,0.0503,-0.6662,0.0776,0.0201,2.859,0.0482,0.0352,0.3708,0.0922,0.0352,1.6223,0.0021,0.0151,-0.8609,0.0482,0.0704,-0.3146,0.044,0.0854,-0.4846,0.0398,0.0402,-0.0092,0.0566,0.0352,0.6092,0.0356,0.1407,-0.7467,0.0881,0.1558,-0.4348,0.0545,0.0402,0.3559,0.0294,0.0,0,0.0294,0.005,4.8407
ABX75367.1 ___virion spike glycoprotein precursor,0.0638,0.0895,-0.2871,0.0247,0.0,0.0,0.0494,0.0579,-0.147,0.0514,0.0579,-0.1115,0.0576,0.0105,4.4733,0.0885,0.0526,0.6811,0.0165,0.0526,-0.6872,0.0782,0.0211,2.714,0.0473,0.0368,0.2845,0.0926,0.0316,1.9321,0.0021,0.0158,-0.8697,0.0473,0.0737,-0.3577,0.0432,0.0737,-0.4136,0.0391,0.0421,-0.0715,0.0576,0.0263,1.1893,0.0391,0.1526,-0.7439,0.0885,0.1579,-0.4396,0.0556,0.0421,0.3194,0.0288,0.0,0,0.0288,0.0053,4.4733
ACI28624.1 ___spike glycoprotein precursor,0.0565,0.037,0.5261,0.0261,0.0,0.0,0.0478,0.0556,-0.1391,0.0522,0.0648,-0.195,0.0609,0.0046,12.1478,0.0739,0.0278,1.6609,0.0239,0.0417,-0.4261,0.0696,0.0324,1.1466,0.05,0.0139,2.6,0.0913,0.0463,0.9722,0.0043,0.0185,-0.7652,0.0565,0.0787,-0.2818,0.05,0.1528,-0.6727,0.0348,0.0463,-0.2487,0.0457,0.0648,-0.2957,0.037,0.088,-0.5799,0.0913,0.1806,-0.4943,0.0674,0.0417,0.6174,0.0304,0.0,0,0.0304,0.0046,5.5739
ACI28632.1 ___spike glycoprotein precursor,0.0617,0.0586,0.0532,0.0286,0.0,0.0,0.0463,0.0405,0.141,0.0485,0.0676,-0.2828,0.0639,0.0135,3.7269,0.0793,0.0495,0.6003,0.0198,0.0405,-0.511,0.0749,0.027,1.7709,0.0507,0.036,0.4058,0.0925,0.0541,0.7115,0.0044,0.0225,-0.8044,0.0661,0.045,0.467,0.0419,0.1351,-0.6903,0.0308,0.0495,-0.3777,0.0463,0.0315,0.467,0.0352,0.1126,-0.687,0.0903,0.1622,-0.4431,0.0617,0.0541,0.141,0.0308,0.0,0,0.0264,0.0,0.0
AGB56686.1 ___virion spike glycoprotein precursor,0.0671,0.0955,-0.2974,0.0252,0.0,0.0,0.0503,0.0553,-0.0898,0.0482,0.0653,-0.2619,0.0566,0.0101,4.6321,0.0901,0.0452,0.9932,0.0168,0.0503,-0.6662,0.0776,0.0101,6.718,0.0482,0.0402,0.1994,0.0922,0.0352,1.6223,0.0021,0.0101,-0.7914,0.0482,0.0704,-0.3146,0.044,0.0854,-0.4846,0.0398,0.0352,0.1324,0.0566,0.0302,0.8774,0.0356,0.1508,-0.7636,0.0881,0.1558,-0.4348,0.0545,0.0452,0.2052,0.0294,0.0,0,0.0294,0.0101,1.9203
AGB56695.1 ___virion spike glycoprotein precursor,0.0671,0.0955,-0.2974,0.0252,0.0,0.0,0.0503,0.0553,-0.0898,0.0482,0.0653,-0.2619,0.0566,0.0101,4.6321,0.0901,0.0452,0.9932,0.0168,0.0503,-0.6662,0.0776,0.0101,6.718,0.0482,0.0402,0.1994,0.0922,0.0352,1.6223,0.0021,0.0101,-0.7914,0.0482,0.0704,-0.3146,0.044,0.0854,-0.4846,0.0398,0.0352,0.1324,0.0566,0.0302,0.8774,0.0356,0.1508,-0.7636,0.0881,0.1558,-0.4348,0.0545,0.0452,0.2052,0.0294,0.0,0,0.0294,0.0101,1.9203
AGB56704.1 ___virion spike glycoprotein precursor,0.0671,0.0955,-0.2974,0.0252,0.0,0.0,0.0503,0.0553,-0.0898,0.0482,0.0653,-0.2619,0.0566,0.0101,4.6321,0.0901,0.0452,0.9932,0.0168,0.0503,-0.6662,0.0776,0.0101,6.718,0.0482,0.0402,0.1994,0.0922,0.0352,1.6223,0.0021,0.0101,-0.7914,0.0482,0.0704,-0.3146,0.044,0.0854,-0.4846,0.0398,0.0352,0.1324,0.0566,0.0302,0.8774,0.0356,0.1508,-0.7636,0.0881,0.1558,-0.4348,0.0545,0.0452,0.2052,0.0294,0.0,0,0.0294,0.0101,1.9203
AGB56713.1 ___virion spike glycoprotein precursor,0.0671,0.0955,-0.2974,0.0252,0.0,0.0,0.0503,0.0553,-0.0898,0.0482,0.0653,-0.2619,0.0566,0.0101,4.6321,0.0901,0.0452,0.9932,0.0168,0.0503,-0.6662,0.0776,0.0101,6.718,0.0482,0.0402,0.1994,0.0922,0.0352,1.6223,0.0021,0.0101,-0.7914,0.0482,0.0704,-0.3146,0.044,0.0854,-0.4846,0.0398,0.0352,0.1324,0.0566,0.0302,0.8774,0.0356,0.1508,-0.7636,0.0881,0.1558,-0.4348,0.0545,0.0452,0.2052,0.0294,0.0,0,0.0294,0.0101,1.9203
AGB56722.1 ___virion spike glycoprotein precursor,0.0671,0.0955,-0.2974,0.0252,0.0,0.0,0.0503,0.0553,-0.0898,0.0482,0.0653,-0.2619,0.0566,0.0101,4.6321,0.0901,0.0452,0.9932,0.0168,0.0503,-0.6662,0.0776,0.0101,6.718,0.0482,0.0402,0.1994,0.0922,0.0352,1.6223,0.0021,0.0101,-0.7914,0.0482,0.0704,-0.3146,0.044,0.0854,-0.4846,0.0398,0.0352,0.1324,0.0566,0.0302,0.8774,0.0356,0.1508,-0.7636,0.0881,0.1558,-0.4348,0.0545,0.0452,0.2052,0.0294,0.0,0,0.0294,0.0101,1.9203
