Naziv_proteina,molska_frakcija_za_A,molska_frakcija_za_C,molska_frakcija_za_D,molska_frakcija_za_E,molska_frakcija_za_F,molska_frakcija_za_G,molska_frakcija_za_H,molska_frakcija_za_I,molska_frakcija_za_K,molska_frakcija_za_L,molska_frakcija_za_M,molska_frakcija_za_N,molska_frakcija_za_P,molska_frakcija_za_Q,molska_frakcija_za_R,molska_frakcija_za_S,molska_frakcija_za_T,molska_frakcija_za_V,molska_frakcija_za_W,molska_frakcija_za_Y,Klasifikacija
AAD14585.1 |virion spike glycoprotein precursor,0.0599,0.024,0.0499,0.0519,0.0579,0.0858,0.018,0.0739,0.0459,0.0898,0.004,0.0479,0.0479,0.0379,0.0539,0.0479,0.0898,0.0579,0.0279,0.0279,uređen
AAD14585.1 |virion spike glycoprotein precursor,0.1029,0.0,0.0571,0.0571,0.0057,0.0571,0.0514,0.0286,0.04,0.0343,0.0114,0.0743,0.0629,0.0457,0.0343,0.1371,0.16,0.0343,0.0,0.0057,neuređen
AAQ55048.1 |virion spike glycoprotein precursor,0.0624,0.0241,0.0483,0.0543,0.0584,0.0865,0.0181,0.0724,0.0463,0.0885,0.004,0.0463,0.0483,0.0382,0.0563,0.0463,0.0905,0.0543,0.0282,0.0282,uređen
AAQ55048.1 |virion spike glycoprotein precursor,0.1061,0.0,0.0559,0.0559,0.0,0.0559,0.0503,0.0279,0.0391,0.0391,0.0112,0.0782,0.0782,0.0447,0.0335,0.1229,0.1564,0.0391,0.0,0.0056,neuređen
ABX75367.1 |virion spike glycoprotein precursor,0.0599,0.024,0.0499,0.0519,0.0579,0.0858,0.018,0.0739,0.0459,0.0898,0.004,0.0479,0.0479,0.0379,0.0539,0.0479,0.0898,0.0579,0.0279,0.0279,uređen
ABX75367.1 |virion spike glycoprotein precursor,0.1029,0.0,0.0571,0.0571,0.0057,0.0571,0.0514,0.0286,0.04,0.0343,0.0114,0.0743,0.0629,0.0457,0.0343,0.1371,0.16,0.0343,0.0,0.0057,neuređen
ACI28624.1 |spike glycoprotein precursor,0.0577,0.0256,0.0491,0.0534,0.0577,0.0748,0.0235,0.0641,0.047,0.0897,0.0085,0.0577,0.0534,0.0385,0.0427,0.0427,0.0919,0.0641,0.0278,0.0299,uređen
ACI28624.1 |spike glycoprotein precursor,0.0337,0.0,0.0529,0.0625,0.0096,0.024,0.0433,0.0433,0.0192,0.0481,0.0096,0.0769,0.149,0.0385,0.0721,0.0769,0.1827,0.0481,0.0048,0.0048,neuređen
ACI28632.1 |spike glycoprotein precursor,0.0638,0.0277,0.0468,0.0511,0.0596,0.0766,0.0213,0.0723,0.0489,0.0915,0.0106,0.0617,0.0511,0.034,0.0426,0.0447,0.083,0.0574,0.0298,0.0255,uređen
ACI28632.1 |spike glycoprotein precursor,0.0534,0.0,0.0388,0.0631,0.0194,0.0534,0.0388,0.0291,0.0388,0.0534,0.0097,0.0534,0.1214,0.0437,0.0388,0.0971,0.1845,0.0631,0.0,0.0,neuređen
AGB56686.1 |virion spike glycoprotein precursor,0.0629,0.0243,0.0507,0.0527,0.0588,0.0852,0.0183,0.073,0.0467,0.0892,0.0041,0.0467,0.0487,0.0365,0.0548,0.0467,0.0892,0.0548,0.0284,0.0284,uređen
AGB56686.1 |virion spike glycoprotein precursor,0.1093,0.0,0.0546,0.0546,0.0,0.0546,0.0492,0.0164,0.0437,0.0383,0.0055,0.0765,0.0765,0.0437,0.0328,0.1311,0.1585,0.0437,0.0,0.0109,neuređen
AGB56695.1 |virion spike glycoprotein precursor,0.0629,0.0243,0.0507,0.0527,0.0588,0.0852,0.0183,0.073,0.0467,0.0892,0.0041,0.0467,0.0487,0.0365,0.0548,0.0467,0.0892,0.0548,0.0284,0.0284,uređen
AGB56695.1 |virion spike glycoprotein precursor,0.1093,0.0,0.0546,0.0546,0.0,0.0546,0.0492,0.0164,0.0437,0.0383,0.0055,0.0765,0.0765,0.0437,0.0328,0.1311,0.1585,0.0437,0.0,0.0109,neuređen
AGB56704.1 |virion spike glycoprotein precursor,0.0629,0.0243,0.0507,0.0527,0.0588,0.0852,0.0183,0.073,0.0467,0.0892,0.0041,0.0467,0.0487,0.0365,0.0548,0.0467,0.0892,0.0548,0.0284,0.0284,uređen
AGB56704.1 |virion spike glycoprotein precursor,0.1093,0.0,0.0546,0.0546,0.0,0.0546,0.0492,0.0164,0.0437,0.0383,0.0055,0.0765,0.0765,0.0437,0.0328,0.1311,0.1585,0.0437,0.0,0.0109,neuređen
AGB56713.1 |virion spike glycoprotein precursor,0.0629,0.0243,0.0507,0.0527,0.0588,0.0852,0.0183,0.073,0.0467,0.0892,0.0041,0.0467,0.0487,0.0365,0.0548,0.0467,0.0892,0.0548,0.0284,0.0284,uređen
AGB56713.1 |virion spike glycoprotein precursor,0.1093,0.0,0.0546,0.0546,0.0,0.0546,0.0492,0.0164,0.0437,0.0383,0.0055,0.0765,0.0765,0.0437,0.0328,0.1311,0.1585,0.0437,0.0,0.0109,neuređen
AGB56722.1 |virion spike glycoprotein precursor,0.0629,0.0243,0.0507,0.0527,0.0588,0.0852,0.0183,0.073,0.0467,0.0892,0.0041,0.0467,0.0487,0.0365,0.0548,0.0467,0.0892,0.0548,0.0284,0.0284,uređen
AGB56722.1 |virion spike glycoprotein precursor,0.1093,0.0,0.0546,0.0546,0.0,0.0546,0.0492,0.0164,0.0437,0.0383,0.0055,0.0765,0.0765,0.0437,0.0328,0.1311,0.1585,0.0437,0.0,0.0109,neuređen
AGB56731.1 |virion spike glycoprotein precursor,0.0629,0.0243,0.0507,0.0527,0.0588,0.0852,0.0183,0.073,0.0467,0.0892,0.0041,0.0467,0.0487,0.0365,0.0548,0.0467,0.0892,0.0548,0.0284,0.0284,uređen
AGB56731.1 |virion spike glycoprotein precursor,0.1093,0.0,0.0546,0.0546,0.0,0.0546,0.0492,0.0164,0.0437,0.0383,0.0055,0.0765,0.0765,0.0437,0.0328,0.1311,0.1585,0.0437,0.0,0.0109,neuređen
AGB56740.1 |virion spike glycoprotein precursor,0.0629,0.0243,0.0507,0.0527,0.0588,0.0852,0.0183,0.073,0.0467,0.0892,0.0041,0.0467,0.0487,0.0365,0.0548,0.0467,0.0892,0.0548,0.0284,0.0284,uređen
AGB56740.1 |virion spike glycoprotein precursor,0.1093,0.0,0.0546,0.0546,0.0,0.0546,0.0492,0.0164,0.0437,0.0383,0.0055,0.0765,0.0765,0.0437,0.0328,0.1311,0.1585,0.0437,0.0,0.0109,neuređen
AGB56749.1 |virion spike glycoprotein precursor,0.0599,0.024,0.0499,0.0519,0.0579,0.0858,0.018,0.0719,0.0459,0.0898,0.004,0.0479,0.0479,0.0379,0.0539,0.0479,0.0918,0.0579,0.0279,0.0279,uređen
AGB56749.1 |virion spike glycoprotein precursor,0.1029,0.0,0.0571,0.0571,0.0057,0.0571,0.0514,0.0286,0.04,0.0343,0.0114,0.0743,0.0629,0.0457,0.0343,0.1371,0.16,0.0343,0.0,0.0057,neuređen
AGB56758.1 |virion spike glycoprotein precursor,0.0622,0.0241,0.0502,0.0522,0.0582,0.0863,0.0181,0.0723,0.0462,0.0904,0.004,0.0462,0.0482,0.0382,0.0542,0.0462,0.0924,0.0542,0.0281,0.0281,uređen
AGB56758.1 |virion spike glycoprotein precursor,0.1011,0.0,0.0506,0.0562,0.0,0.0562,0.0506,0.0337,0.0393,0.0449,0.0112,0.0787,0.0674,0.0393,0.0449,0.1236,0.1573,0.0393,0.0,0.0056,neuređen
AGB56767.1 |virion spike glycoprotein precursor,0.0622,0.0241,0.0502,0.0522,0.0582,0.0863,0.0181,0.0723,0.0462,0.0904,0.004,0.0462,0.0482,0.0382,0.0542,0.0462,0.0924,0.0542,0.0281,0.0281,uređen
AGB56767.1 |virion spike glycoprotein precursor,0.1011,0.0,0.0506,0.0562,0.0,0.0562,0.0506,0.0281,0.0393,0.0449,0.0112,0.0787,0.0674,0.0449,0.0393,0.1236,0.1629,0.0393,0.0,0.0056,neuređen
