Naziv_proteina,molska_frakcija_A_uredjen,molska_frakcija_A_neuredjen,frakcijska_razlika_A,molska_frakcija_C_uredjen,molska_frakcija_C_neuredjen,frakcijska_razlika_C,molska_frakcija_D_uredjen,molska_frakcija_D_neuredjen,frakcijska_razlika_D,molska_frakcija_E_uredjen,molska_frakcija_E_neuredjen,frakcijska_razlika_E,molska_frakcija_F_uredjen,molska_frakcija_F_neuredjen,frakcijska_razlika_F,molska_frakcija_G_uredjen,molska_frakcija_G_neuredjen,frakcijska_razlika_G,molska_frakcija_H_uredjen,molska_frakcija_H_neuredjen,frakcijska_razlika_H,molska_frakcija_I_uredjen,molska_frakcija_I_neuredjen,frakcijska_razlika_I,molska_frakcija_K_uredjen,molska_frakcija_K_neuredjen,frakcijska_razlika_K,molska_frakcija_L_uredjen,molska_frakcija_L_neuredjen,frakcijska_razlika_L,molska_frakcija_M_uredjen,molska_frakcija_M_neuredjen,frakcijska_razlika_M,molska_frakcija_N_uredjen,molska_frakcija_N_neuredjen,frakcijska_razlika_N,molska_frakcija_P_uredjen,molska_frakcija_P_neuredjen,frakcijska_razlika_P,molska_frakcija_Q_uredjen,molska_frakcija_Q_neuredjen,frakcijska_razlika_Q,molska_frakcija_R_uredjen,molska_frakcija_R_neuredjen,frakcijska_razlika_R,molska_frakcija_S_uredjen,molska_frakcija_S_neuredjen,frakcijska_razlika_S,molska_frakcija_T_uredjen,molska_frakcija_T_neuredjen,frakcijska_razlika_T,molska_frakcija_V_uredjen,molska_frakcija_V_neuredjen,frakcijska_razlika_V,molska_frakcija_W_uredjen,molska_frakcija_W_neuredjen,frakcijska_razlika_W,molska_frakcija_Y_uredjen,molska_frakcija_Y_neuredjen,frakcijska_razlika_Y
AAD14585.1 |virion spike glycoprotein precursor,0.0599,0.1029,-0.4178,0.024,0.0,0.0,0.0499,0.0571,-0.1267,0.0519,0.0571,-0.0918,0.0579,0.0057,9.1297,0.0858,0.0571,0.502,0.018,0.0514,-0.6507,0.0739,0.0286,1.5848,0.0459,0.04,0.1477,0.0898,0.0343,1.6198,0.004,0.0114,-0.6507,0.0479,0.0743,-0.3551,0.0479,0.0629,-0.2379,0.0379,0.0457,-0.1704,0.0539,0.0343,0.5719,0.0479,0.1371,-0.6507,0.0898,0.16,-0.4386,0.0579,0.0343,0.6883,0.0279,0.0,0.0,0.0279,0.0057,3.8902
AAQ55048.1 |virion spike glycoprotein precursor,0.0624,0.1061,-0.4124,0.0241,0.0,0.0,0.0483,0.0559,-0.1356,0.0543,0.0559,-0.0276,0.0584,0.0,0.0,0.0865,0.0559,0.5487,0.0181,0.0503,-0.6398,0.0724,0.0279,1.5932,0.0463,0.0391,0.1834,0.0885,0.0391,1.2639,0.004,0.0112,-0.6398,0.0463,0.0782,-0.4083,0.0483,0.0782,-0.3826,0.0382,0.0447,-0.1446,0.0563,0.0335,0.6808,0.0463,0.1229,-0.6235,0.0905,0.1564,-0.4212,0.0543,0.0391,0.3892,0.0282,0.0,0.0,0.0282,0.0056,4.0423
ABX75367.1 |virion spike glycoprotein precursor,0.0599,0.1029,-0.4178,0.024,0.0,0.0,0.0499,0.0571,-0.1267,0.0519,0.0571,-0.0918,0.0579,0.0057,9.1297,0.0858,0.0571,0.502,0.018,0.0514,-0.6507,0.0739,0.0286,1.5848,0.0459,0.04,0.1477,0.0898,0.0343,1.6198,0.004,0.0114,-0.6507,0.0479,0.0743,-0.3551,0.0479,0.0629,-0.2379,0.0379,0.0457,-0.1704,0.0539,0.0343,0.5719,0.0479,0.1371,-0.6507,0.0898,0.16,-0.4386,0.0579,0.0343,0.6883,0.0279,0.0,0.0,0.0279,0.0057,3.8902
ACI28624.1 |spike glycoprotein precursor,0.0577,0.0337,0.7143,0.0256,0.0,0.0,0.0491,0.0529,-0.0707,0.0534,0.0625,-0.1453,0.0577,0.0096,5.0,0.0748,0.024,2.1111,0.0235,0.0433,-0.4568,0.0641,0.0433,0.4815,0.047,0.0192,1.4444,0.0897,0.0481,0.8667,0.0085,0.0096,-0.1111,0.0577,0.0769,-0.25,0.0534,0.149,-0.6416,0.0385,0.0385,0.0,0.0427,0.0721,-0.4074,0.0427,0.0769,-0.4444,0.0919,0.1827,-0.4971,0.0641,0.0481,0.3333,0.0278,0.0048,4.7778,0.0299,0.0048,5.2222
ACI28632.1 |spike glycoprotein precursor,0.0638,0.0534,0.1954,0.0277,0.0,0.0,0.0468,0.0388,0.2053,0.0511,0.0631,-0.1908,0.0596,0.0194,2.0681,0.0766,0.0534,0.4344,0.0213,0.0388,-0.4521,0.0723,0.0291,1.4837,0.0489,0.0388,0.2601,0.0915,0.0534,0.7133,0.0106,0.0097,0.0957,0.0617,0.0534,0.1555,0.0511,0.1214,-0.5792,0.034,0.0437,-0.2208,0.0426,0.0388,0.0957,0.0447,0.0971,-0.5398,0.083,0.1845,-0.5502,0.0574,0.0631,-0.0897,0.0298,0.0,0.0,0.0255,0.0,0.0
AGB56686.1 |virion spike glycoprotein precursor,0.0629,0.1093,-0.4246,0.0243,0.0,0.0,0.0507,0.0546,-0.072,0.0527,0.0546,-0.0349,0.0588,0.0,0.0,0.0852,0.0546,0.559,0.0183,0.0492,-0.6288,0.073,0.0164,3.4544,0.0467,0.0437,0.0672,0.0892,0.0383,1.3332,0.0041,0.0055,-0.2576,0.0467,0.0765,-0.3902,0.0487,0.0765,-0.3637,0.0365,0.0437,-0.1648,0.0548,0.0328,0.6704,0.0467,0.1311,-0.6443,0.0892,0.1585,-0.4368,0.0548,0.0437,0.2528,0.0284,0.0,0.0,0.0284,0.0109,1.5984
AGB56695.1 |virion spike glycoprotein precursor,0.0629,0.1093,-0.4246,0.0243,0.0,0.0,0.0507,0.0546,-0.072,0.0527,0.0546,-0.0349,0.0588,0.0,0.0,0.0852,0.0546,0.559,0.0183,0.0492,-0.6288,0.073,0.0164,3.4544,0.0467,0.0437,0.0672,0.0892,0.0383,1.3332,0.0041,0.0055,-0.2576,0.0467,0.0765,-0.3902,0.0487,0.0765,-0.3637,0.0365,0.0437,-0.1648,0.0548,0.0328,0.6704,0.0467,0.1311,-0.6443,0.0892,0.1585,-0.4368,0.0548,0.0437,0.2528,0.0284,0.0,0.0,0.0284,0.0109,1.5984
AGB56704.1 |virion spike glycoprotein precursor,0.0629,0.1093,-0.4246,0.0243,0.0,0.0,0.0507,0.0546,-0.072,0.0527,0.0546,-0.0349,0.0588,0.0,0.0,0.0852,0.0546,0.559,0.0183,0.0492,-0.6288,0.073,0.0164,3.4544,0.0467,0.0437,0.0672,0.0892,0.0383,1.3332,0.0041,0.0055,-0.2576,0.0467,0.0765,-0.3902,0.0487,0.0765,-0.3637,0.0365,0.0437,-0.1648,0.0548,0.0328,0.6704,0.0467,0.1311,-0.6443,0.0892,0.1585,-0.4368,0.0548,0.0437,0.2528,0.0284,0.0,0.0,0.0284,0.0109,1.5984
AGB56713.1 |virion spike glycoprotein precursor,0.0629,0.1093,-0.4246,0.0243,0.0,0.0,0.0507,0.0546,-0.072,0.0527,0.0546,-0.0349,0.0588,0.0,0.0,0.0852,0.0546,0.559,0.0183,0.0492,-0.6288,0.073,0.0164,3.4544,0.0467,0.0437,0.0672,0.0892,0.0383,1.3332,0.0041,0.0055,-0.2576,0.0467,0.0765,-0.3902,0.0487,0.0765,-0.3637,0.0365,0.0437,-0.1648,0.0548,0.0328,0.6704,0.0467,0.1311,-0.6443,0.0892,0.1585,-0.4368,0.0548,0.0437,0.2528,0.0284,0.0,0.0,0.0284,0.0109,1.5984
AGB56722.1 |virion spike glycoprotein precursor,0.0629,0.1093,-0.4246,0.0243,0.0,0.0,0.0507,0.0546,-0.072,0.0527,0.0546,-0.0349,0.0588,0.0,0.0,0.0852,0.0546,0.559,0.0183,0.0492,-0.6288,0.073,0.0164,3.4544,0.0467,0.0437,0.0672,0.0892,0.0383,1.3332,0.0041,0.0055,-0.2576,0.0467,0.0765,-0.3902,0.0487,0.0765,-0.3637,0.0365,0.0437,-0.1648,0.0548,0.0328,0.6704,0.0467,0.1311,-0.6443,0.0892,0.1585,-0.4368,0.0548,0.0437,0.2528,0.0284,0.0,0.0,0.0284,0.0109,1.5984
