Naziv_proteina,molska_frakcija_za_A,molska_frakcija_za_C,molska_frakcija_za_D,molska_frakcija_za_E,molska_frakcija_za_F,molska_frakcija_za_G,molska_frakcija_za_H,molska_frakcija_za_I,molska_frakcija_za_K,molska_frakcija_za_L,molska_frakcija_za_M,molska_frakcija_za_N,molska_frakcija_za_P,molska_frakcija_za_Q,molska_frakcija_za_R,molska_frakcija_za_S,molska_frakcija_za_T,molska_frakcija_za_V,molska_frakcija_za_W,molska_frakcija_za_Y,Klasifikacija
AAD14590.1 |nucleoprotein,0.0932,0.0085,0.0226,0.0537,0.0593,0.0678,0.0452,0.0508,0.048,0.1271,0.0367,0.0367,0.0282,0.0678,0.0424,0.0537,0.0367,0.0819,0.0085,0.0311,uređen
AAD14590.1 |nucleoprotein,0.0519,0.0,0.1325,0.1039,0.013,0.0442,0.0364,0.0286,0.0545,0.0571,0.0182,0.0519,0.0831,0.0753,0.0468,0.0753,0.0649,0.0338,0.0026,0.026,neuređen
AAG40164.1 |nucleoprotein NP,0.0932,0.0085,0.0226,0.0537,0.0593,0.0678,0.0452,0.0508,0.048,0.1271,0.0367,0.0367,0.0282,0.0678,0.0424,0.0537,0.0367,0.0819,0.0085,0.0311,uređen
AAG40164.1 |nucleoprotein NP,0.0519,0.0,0.1325,0.1039,0.013,0.0442,0.0364,0.0286,0.0545,0.0597,0.0182,0.0519,0.0831,0.0753,0.0468,0.0727,0.0649,0.0338,0.0026,0.026,neuređen
AAM76031.1 |nucleoprotein NP,0.0932,0.0085,0.0226,0.0537,0.0593,0.0706,0.0452,0.0508,0.048,0.1271,0.0367,0.0367,0.0282,0.0678,0.0424,0.0508,0.0367,0.0819,0.0085,0.0311,uređen
AAM76031.1 |nucleoprotein NP,0.0519,0.0,0.1325,0.1039,0.013,0.0442,0.0364,0.0286,0.0545,0.0571,0.0182,0.0519,0.0831,0.0753,0.0468,0.0753,0.0649,0.0338,0.0026,0.026,neuređen
AAN04448.1 |nucleoprotein,0.0944,0.0077,0.0408,0.0536,0.0485,0.0612,0.0408,0.0536,0.0485,0.1276,0.0281,0.0485,0.0306,0.0689,0.0434,0.0408,0.0408,0.074,0.0102,0.0383,uređen
AAN04448.1 |nucleoprotein,0.0663,0.0,0.1239,0.1095,0.0173,0.0519,0.0346,0.0346,0.0346,0.0692,0.0115,0.0605,0.0807,0.072,0.0634,0.0807,0.0461,0.0144,0.0029,0.0259,neuređen
AAN37504.1 |nucleoprotein NP,0.0932,0.0085,0.0226,0.0537,0.0593,0.0678,0.0452,0.0508,0.048,0.1271,0.0367,0.0367,0.0282,0.0678,0.0424,0.0537,0.0367,0.0819,0.0085,0.0311,uređen
AAN37504.1 |nucleoprotein NP,0.0519,0.0,0.1325,0.1039,0.013,0.0442,0.0364,0.0286,0.0545,0.0571,0.0182,0.0519,0.0831,0.0753,0.0468,0.0753,0.0649,0.0338,0.0026,0.026,neuređen
