Naziv_proteina,molska_frakcija_za_A,molska_frakcija_za_C,molska_frakcija_za_D,molska_frakcija_za_E,molska_frakcija_za_F,molska_frakcija_za_G,molska_frakcija_za_H,molska_frakcija_za_I,molska_frakcija_za_K,molska_frakcija_za_L,molska_frakcija_za_M,molska_frakcija_za_N,molska_frakcija_za_P,molska_frakcija_za_Q,molska_frakcija_za_R,molska_frakcija_za_S,molska_frakcija_za_T,molska_frakcija_za_V,molska_frakcija_za_W,molska_frakcija_za_Y,Klasifikacija
AAD14590.1 ___nucleoprotein,0.0823,0.0077,0.0334,0.054,0.0591,0.0668,0.0437,0.0463,0.0566,0.126,0.036,0.0411,0.0283,0.0591,0.0463,0.0488,0.0334,0.0848,0.0077,0.0386,uređen
AAD14590.1 ___nucleoprotein,0.06,0.0,0.1314,0.1086,0.0086,0.0429,0.0371,0.0314,0.0457,0.0514,0.0171,0.0486,0.0886,0.0857,0.0429,0.0829,0.0714,0.0257,0.0029,0.0171,neuređen
AAG40164.1 ___nucleoprotein NP,0.0825,0.0077,0.0335,0.0541,0.0593,0.067,0.0438,0.0464,0.0567,0.1263,0.0335,0.0412,0.0284,0.0593,0.0464,0.049,0.0335,0.0851,0.0077,0.0387,uređen
AAG40164.1 ___nucleoprotein NP,0.0598,0.0,0.1311,0.1083,0.0085,0.0427,0.037,0.0313,0.0456,0.0541,0.0199,0.0484,0.0883,0.0855,0.0427,0.0798,0.0712,0.0256,0.0028,0.0171,neuređen
AAM76031.1 ___nucleoprotein NP,0.0823,0.0077,0.0334,0.054,0.0591,0.0694,0.0437,0.0463,0.0566,0.126,0.036,0.0411,0.0283,0.0591,0.0463,0.0463,0.0334,0.0848,0.0077,0.0386,uređen
AAM76031.1 ___nucleoprotein NP,0.06,0.0,0.1314,0.1086,0.0086,0.0429,0.0371,0.0314,0.0457,0.0514,0.0171,0.0486,0.0886,0.0857,0.0429,0.0829,0.0714,0.0257,0.0029,0.0171,neuređen
AAN04448.1 ___nucleoprotein,0.0875,0.0071,0.0496,0.0544,0.0544,0.0638,0.0426,0.0496,0.0473,0.1277,0.0284,0.0496,0.0284,0.0615,0.0378,0.0402,0.0426,0.0709,0.0095,0.0473,uređen
AAN04448.1 ___nucleoprotein,0.0728,0.0,0.1203,0.1139,0.0063,0.0475,0.0316,0.038,0.0348,0.0633,0.0095,0.0601,0.0886,0.0823,0.0728,0.0854,0.0443,0.0127,0.0032,0.0127,neuređen
AAN37504.1 ___nucleoprotein NP,0.0823,0.0077,0.0334,0.054,0.0591,0.0668,0.0437,0.0463,0.0566,0.126,0.036,0.0411,0.0283,0.0591,0.0463,0.0488,0.0334,0.0848,0.0077,0.0386,uređen
AAN37504.1 ___nucleoprotein NP,0.06,0.0,0.1314,0.1086,0.0086,0.0429,0.0371,0.0314,0.0457,0.0514,0.0171,0.0486,0.0886,0.0857,0.0429,0.0829,0.0714,0.0257,0.0029,0.0171,neuređen
AAN37509.1 ___nucleoprotein VP30,0.0642,0.0374,0.0481,0.0642,0.0374,0.0374,0.0267,0.0481,0.0695,0.1658,0.0107,0.0107,0.0374,0.0642,0.0588,0.0749,0.0695,0.0535,0.016,0.0053,uređen
AAN37509.1 ___nucleoprotein VP30,0.0891,0.0099,0.0693,0.0891,0.0099,0.0594,0.0396,0.0099,0.0198,0.0099,0.0099,0.0396,0.0792,0.0594,0.1386,0.1287,0.0594,0.0396,0.0099,0.0297,neuređen
