Naziv proteina,Molska Frakcija Uredjeni,Molska Frakcija Neuredjeni,Procenat uredjeni,Procenat neuredjeni,Frakcijska Razlika
ABA87124.1 |nucleoprotein,0.53957,0.46043,53.96%,46.04%,-0.1467
ABE27012.1 |nucleoprotein,0.55827,0.44173,55.83%,44.17%,-0.2088
ABE27019.1 |nucleoprotein,0.55827,0.44173,55.83%,44.17%,-0.2088
ABE27026.1 |nucleoprotein,0.55827,0.44173,55.83%,44.17%,-0.2088
ABE27033.1 |nucleoprotein,0.55827,0.44173,55.83%,44.17%,-0.2088
ABE27040.1 |nucleoprotein,0.55827,0.44173,55.83%,44.17%,-0.2088
ABE27047.1 |nucleoprotein,0.55827,0.44173,55.83%,44.17%,-0.2088
ABE27054.1 |nucleoprotein,0.55827,0.44173,55.83%,44.17%,-0.2088
ABE27061.1 |nucleoprotein,0.55827,0.44173,55.83%,44.17%,-0.2088
ABE27068.1 |nucleoprotein,0.55252,0.44748,55.25%,44.75%,-0.1901
ABE27075.1 |nucleoprotein,0.55396,0.44604,55.4%,44.6%,-0.1948
ABE27082.1 |nucleoprotein,0.55396,0.44604,55.4%,44.6%,-0.1948
ABE27089.1 |nucleoprotein,0.54964,0.45036,54.96%,45.04%,-0.1806
ABS17548.1 |nucleoprotein,0.55252,0.44748,55.25%,44.75%,-0.1901
ABS17555.1 |nucleoprotein,0.55971,0.44029,55.97%,44.03%,-0.2134
ACD13002.1 |nucleoprotein,0.55252,0.44748,55.25%,44.75%,-0.1901
ACD13009.1 |nucleoprotein,0.55252,0.44748,55.25%,44.75%,-0.1901
ACD13016.1 |nucleoprotein,0.55252,0.44748,55.25%,44.75%,-0.1901
ACT79198.1 |nucleoprotein,0.55252,0.44748,55.25%,44.75%,-0.1901
ACT79205.1 |nucleoprotein,0.55252,0.44748,55.25%,44.75%,-0.1901
ACT79212.1 |nucleoprotein,0.55252,0.44748,55.25%,44.75%,-0.1901
ACT79219.1 |nucleoprotein,0.55252,0.44748,55.25%,44.75%,-0.1901
ACT79226.1 |nucleoprotein,0.5554,0.4446,55.54%,44.46%,-0.1995
ACT79233.1 |nucleoprotein,0.5554,0.4446,55.54%,44.46%,-0.1995
ACT79240.1 |nucleoprotein,0.5554,0.4446,55.54%,44.46%,-0.1995
ADM72988.1 |nucleoprotein,0.56259,0.43741,56.26%,43.74%,-0.2225
AEW11935.1 |nucleoprotein,0.55971,0.44029,55.97%,44.03%,-0.2134
AFV31137.1 |nucleoprotein,0.5554,0.4446,55.54%,44.46%,-0.1995
AFV31150.1 |nucleoprotein,0.5554,0.4446,55.54%,44.46%,-0.1995
AFV31157.1 |nucleoprotein,0.5554,0.4446,55.54%,44.46%,-0.1995
AFV31164.1 |nucleoprotein,0.54964,0.45036,54.96%,45.04%,-0.1806
AFV31171.1 |nucleoprotein,0.5554,0.4446,55.54%,44.46%,-0.1995
AFV31178.1 |nucleoprotein,0.55396,0.44604,55.4%,44.6%,-0.1948
AFV31185.1 |nucleoprotein,0.55396,0.44604,55.4%,44.6%,-0.1948
AFV31192.1 |nucleoprotein,0.55396,0.44604,55.4%,44.6%,-0.1948
AFV31199.1 |nucleoprotein,0.55396,0.44604,55.4%,44.6%,-0.1948
AFV31206.1 |nucleoprotein,0.55396,0.44604,55.4%,44.6%,-0.1948
AFV31213.1 |nucleoprotein,0.55396,0.44604,55.4%,44.6%,-0.1948
AFV31220.1 |nucleoprotein,0.55396,0.44604,55.4%,44.6%,-0.1948
AFV31227.1 |nucleoprotein,0.55396,0.44604,55.4%,44.6%,-0.1948
AFV31234.1 |nucleoprotein,0.55396,0.44604,55.4%,44.6%,-0.1948
AFV31241.1 |nucleoprotein,0.55396,0.44604,55.4%,44.6%,-0.1948
AFV31248.1 |nucleoprotein,0.55396,0.44604,55.4%,44.6%,-0.1948
AFV31255.1 |nucleoprotein,0.55396,0.44604,55.4%,44.6%,-0.1948
AFV31262.1 |nucleoprotein,0.55396,0.44604,55.4%,44.6%,-0.1948
AFV31269.1 |nucleoprotein,0.55396,0.44604,55.4%,44.6%,-0.1948
AFV31276.1 |nucleoprotein,0.55396,0.44604,55.4%,44.6%,-0.1948
AFV31283.1 |nucleoprotein,0.55396,0.44604,55.4%,44.6%,-0.1948
AFV31290.1 |nucleoprotein,0.55396,0.44604,55.4%,44.6%,-0.1948
AFV31297.1 |nucleoprotein,0.55396,0.44604,55.4%,44.6%,-0.1948
AFV31304.1 |nucleoprotein,0.55396,0.44604,55.4%,44.6%,-0.1948
AFV31311.1 |nucleoprotein,0.55396,0.44604,55.4%,44.6%,-0.1948
AFV31318.1 |nucleoprotein,0.55396,0.44604,55.4%,44.6%,-0.1948
AFV31325.1 |nucleoprotein,0.55971,0.44029,55.97%,44.03%,-0.2134
AFV31332.1 |nucleoprotein,0.55683,0.44317,55.68%,44.32%,-0.2041
AFV31339.1 |nucleoprotein,0.55971,0.44029,55.97%,44.03%,-0.2134
AFV31346.1 |nucleoprotein,0.5554,0.4446,55.54%,44.46%,-0.1995
AFV31353.1 |nucleoprotein,0.5554,0.4446,55.54%,44.46%,-0.1995
AFV31360.1 |nucleoprotein,0.5554,0.4446,55.54%,44.46%,-0.1995
AFV31367.1 |nucleoprotein,0.55683,0.44317,55.68%,44.32%,-0.2041
AFV31374.1 |nucleoprotein,0.55971,0.44029,55.97%,44.03%,-0.2134
AGL73408.1 |nucleoprotein,0.55971,0.44029,55.97%,44.03%,-0.2134
AGL73415.1 |nucleoprotein,0.55971,0.44029,55.97%,44.03%,-0.2134
AIL25247.1 |nucleoprotein,0.55827,0.44173,55.83%,44.17%,-0.2088
AJY53711.1 |nucleoprotein,0.5554,0.4446,55.54%,44.46%,-0.1995
AJY53715.1 |VP30 minor nucleoprotein,0.57651,0.42349,57.65%,42.35%,-0.2654
AKB09569.1 |nucleoprotein,0.55827,0.44173,55.83%,44.17%,-0.2088
AKB09573.1 |minor nucleoprotein VP30,0.47687,0.52313,47.69%,52.31%,0.097
AKI84280.1 |nucleoprotein,0.55827,0.44173,55.83%,44.17%,-0.2088
AKI84284.1 |minor nucleoprotein VP30,0.47687,0.52313,47.69%,52.31%,0.097
ALS54751.1 |nucleoprotein,0.55252,0.44748,55.25%,44.75%,-0.1901
ALS54755.1 |minor nucleoprotein VP30,0.55872,0.44128,55.87%,44.13%,-0.2102
AMZ00478.1 |nucleocapsid protein,0.55827,0.44173,55.83%,44.17%,-0.2088
AMZ00491.1 |nucleocapsid protein,0.55252,0.44748,55.25%,44.75%,-0.1901
APQ46228.1 |nucleoprotein,0.55827,0.44173,55.83%,44.17%,-0.2088
APQ46229.1 |nucleoprotein,0.55827,0.44173,55.83%,44.17%,-0.2088
AWO14194.1 |nucleoprotein,0.55827,0.44173,55.83%,44.17%,-0.2088
QGX74968.1 |nucleoprotein,0.55827,0.44173,55.83%,44.17%,-0.2088
QGX74975.1 |nucleoprotein,0.55827,0.44173,55.83%,44.17%,-0.2088
QGX74982.1 |nucleoprotein,0.55827,0.44173,55.83%,44.17%,-0.2088
QGX74989.1 |nucleoprotein,0.55827,0.44173,55.83%,44.17%,-0.2088
QIC36345.1 |nucleoprotein,0.56115,0.43885,56.12%,43.88%,-0.2179
QYC62005.1 |nucleoprotein,0.55827,0.44173,55.83%,44.17%,-0.2088
QYC62009.1 |minor nucleoprotein VP30,0.47687,0.52313,47.69%,52.31%,0.097
UFZ14317.1 |nucleoprotein,0.55252,0.44748,55.25%,44.75%,-0.1901
WKR37929.1 |nucleoprotein,0.55252,0.44748,55.25%,44.75%,-0.1901
WKR37933.1 |minor nucleoprotein,0.47687,0.52313,47.69%,52.31%,0.097
YP_001531153.1 |nucleoprotein,0.53957,0.46043,53.96%,46.04%,-0.1467
YP_001531157.1 |minor nucleoprotein,0.45907,0.54093,45.91%,54.09%,0.1783
YP_009055222.1 |nucleoprotein,0.55252,0.44748,55.25%,44.75%,-0.1901
YP_009055226.1 |minor nucleoprotein,0.55872,0.44128,55.87%,44.13%,-0.2102
AHX00718.1 |nucleocapsid,0.28571,0.71429,28.57%,71.43%,1.5
AHX00728.1 |nucleocapsid,0.28571,0.71429,28.57%,71.43%,1.5
