Naziv_proteina,molska_frakcija_za_A,molska_frakcija_za_C,molska_frakcija_za_D,molska_frakcija_za_E,molska_frakcija_za_F,molska_frakcija_za_G,molska_frakcija_za_H,molska_frakcija_za_I,molska_frakcija_za_K,molska_frakcija_za_L,molska_frakcija_za_M,molska_frakcija_za_N,molska_frakcija_za_P,molska_frakcija_za_Q,molska_frakcija_za_R,molska_frakcija_za_S,molska_frakcija_za_T,molska_frakcija_za_V,molska_frakcija_za_W,molska_frakcija_za_Y,Klasifikacija
AAD14585.1|virion spike glycoprotein precursor,0.0677,0.0262,0.0502,0.0524,0.0611,0.0852,0.0197,0.0786,0.0459,0.0895,0.0022,0.0459,0.0459,0.0371,0.0568,0.0328,0.0873,0.0568,0.0306,0.0284,uređen
AAD14585.1|virion spike glycoprotein precursor,0.078,0.0,0.055,0.055,0.0092,0.0642,0.0413,0.0275,0.0413,0.0459,0.0138,0.0734,0.0642,0.0459,0.0321,0.1514,0.1514,0.0413,0.0,0.0092,neuređen
AAQ55048.1|virion spike glycoprotein precursor,0.07,0.0263,0.0481,0.0525,0.0613,0.0853,0.0197,0.0788,0.046,0.0897,0.0022,0.046,0.046,0.0372,0.0547,0.0328,0.0875,0.0569,0.0306,0.0284,uređen
AAQ55048.1|virion spike glycoprotein precursor,0.0822,0.0,0.0548,0.0594,0.0046,0.0639,0.0411,0.0228,0.0411,0.0457,0.0137,0.0731,0.0776,0.0457,0.0411,0.137,0.1507,0.0365,0.0,0.0091,neuređen
ABX75367.1|virion spike glycoprotein precursor,0.0677,0.0262,0.0502,0.0524,0.0611,0.0852,0.0197,0.0786,0.0459,0.0895,0.0022,0.0459,0.0459,0.0371,0.0568,0.0328,0.0873,0.0568,0.0306,0.0284,uređen
ABX75367.1|virion spike glycoprotein precursor,0.078,0.0,0.055,0.055,0.0092,0.0642,0.0413,0.0275,0.0413,0.0459,0.0138,0.0734,0.0642,0.0459,0.0321,0.1514,0.1514,0.0413,0.0,0.0092,neuređen
ACI28624.1|spike glycoprotein precursor,0.0579,0.0278,0.0486,0.0532,0.0602,0.0764,0.0255,0.0741,0.0486,0.0903,0.0046,0.0579,0.0463,0.0347,0.044,0.0231,0.0926,0.0694,0.0324,0.0324,uređen
ACI28624.1|spike glycoprotein precursor,0.0369,0.0,0.0533,0.0615,0.0123,0.0287,0.0369,0.0287,0.0205,0.0533,0.0164,0.0738,0.1475,0.0451,0.0656,0.1066,0.168,0.041,0.0,0.0041,neuređen
ACI28632.1|spike glycoprotein precursor,0.0641,0.0309,0.0475,0.0499,0.0641,0.0831,0.0214,0.0784,0.0499,0.0974,0.0071,0.057,0.0451,0.0309,0.0451,0.0214,0.0831,0.0641,0.0333,0.0261,uređen
ACI28632.1|spike glycoprotein precursor,0.0549,0.0,0.0392,0.0627,0.0196,0.0471,0.0353,0.0275,0.0392,0.051,0.0157,0.0627,0.1176,0.0471,0.0353,0.1255,0.1647,0.051,0.0,0.0039,neuređen
AGB56686.1|virion spike glycoprotein precursor,0.07,0.0263,0.0503,0.0503,0.0613,0.0853,0.0197,0.0766,0.046,0.0897,0.0022,0.046,0.046,0.0372,0.0547,0.0328,0.0897,0.0569,0.0306,0.0284,uređen
AGB56686.1|virion spike glycoprotein precursor,0.0868,0.0,0.0548,0.0594,0.0046,0.0594,0.0411,0.0183,0.0457,0.0457,0.0091,0.0731,0.0776,0.0411,0.0365,0.1461,0.1461,0.0411,0.0,0.0137,neuređen
AGB56695.1|virion spike glycoprotein precursor,0.07,0.0263,0.0503,0.0503,0.0613,0.0853,0.0197,0.0766,0.046,0.0897,0.0022,0.046,0.046,0.0372,0.0547,0.0328,0.0897,0.0569,0.0306,0.0284,uređen
AGB56695.1|virion spike glycoprotein precursor,0.0868,0.0,0.0548,0.0594,0.0046,0.0594,0.0411,0.0183,0.0457,0.0457,0.0091,0.0731,0.0776,0.0411,0.0365,0.1461,0.1461,0.0411,0.0,0.0137,neuređen
AGB56704.1|virion spike glycoprotein precursor,0.07,0.0263,0.0503,0.0503,0.0613,0.0853,0.0197,0.0766,0.046,0.0897,0.0022,0.046,0.046,0.0372,0.0547,0.0328,0.0897,0.0569,0.0306,0.0284,uređen
AGB56704.1|virion spike glycoprotein precursor,0.0868,0.0,0.0548,0.0594,0.0046,0.0594,0.0411,0.0183,0.0457,0.0457,0.0091,0.0731,0.0776,0.0411,0.0365,0.1461,0.1461,0.0411,0.0,0.0137,neuređen
AGB56713.1|virion spike glycoprotein precursor,0.07,0.0263,0.0503,0.0503,0.0613,0.0853,0.0197,0.0766,0.046,0.0897,0.0022,0.046,0.046,0.0372,0.0547,0.0328,0.0897,0.0569,0.0306,0.0284,uređen
AGB56713.1|virion spike glycoprotein precursor,0.0868,0.0,0.0548,0.0594,0.0046,0.0594,0.0411,0.0183,0.0457,0.0457,0.0091,0.0731,0.0776,0.0411,0.0365,0.1461,0.1461,0.0411,0.0,0.0137,neuređen
AGB56722.1|virion spike glycoprotein precursor,0.07,0.0263,0.0503,0.0503,0.0613,0.0853,0.0197,0.0766,0.046,0.0897,0.0022,0.046,0.046,0.0372,0.0547,0.0328,0.0897,0.0569,0.0306,0.0284,uređen
AGB56722.1|virion spike glycoprotein precursor,0.0868,0.0,0.0548,0.0594,0.0046,0.0594,0.0411,0.0183,0.0457,0.0457,0.0091,0.0731,0.0776,0.0411,0.0365,0.1461,0.1461,0.0411,0.0,0.0137,neuređen
AGB56731.1|virion spike glycoprotein precursor,0.07,0.0263,0.0503,0.0503,0.0613,0.0853,0.0197,0.0766,0.046,0.0897,0.0022,0.046,0.046,0.0372,0.0547,0.0328,0.0897,0.0569,0.0306,0.0284,uređen
AGB56731.1|virion spike glycoprotein precursor,0.0868,0.0,0.0548,0.0594,0.0046,0.0594,0.0411,0.0183,0.0457,0.0457,0.0091,0.0731,0.0776,0.0411,0.0365,0.1461,0.1461,0.0411,0.0,0.0137,neuređen
AGB56740.1|virion spike glycoprotein precursor,0.07,0.0263,0.0503,0.0503,0.0613,0.0853,0.0197,0.0766,0.046,0.0897,0.0022,0.046,0.046,0.0372,0.0547,0.0328,0.0897,0.0569,0.0306,0.0284,uređen
AGB56740.1|virion spike glycoprotein precursor,0.0868,0.0,0.0548,0.0594,0.0046,0.0594,0.0411,0.0183,0.0457,0.0457,0.0091,0.0731,0.0776,0.0411,0.0365,0.1461,0.1461,0.0411,0.0,0.0137,neuređen
AGB56749.1|virion spike glycoprotein precursor,0.0677,0.0262,0.0502,0.0524,0.0611,0.0852,0.0197,0.0764,0.0459,0.0895,0.0022,0.0459,0.0459,0.0371,0.0568,0.0328,0.0895,0.0568,0.0306,0.0284,uređen
AGB56749.1|virion spike glycoprotein precursor,0.078,0.0,0.055,0.055,0.0092,0.0642,0.0413,0.0275,0.0413,0.0459,0.0138,0.0734,0.0642,0.0459,0.0321,0.1514,0.1514,0.0413,0.0,0.0092,neuređen
AGB56758.1|virion spike glycoprotein precursor,0.068,0.0263,0.0504,0.0504,0.0614,0.0855,0.0197,0.0768,0.0461,0.0899,0.0022,0.0461,0.0461,0.0373,0.0548,0.0329,0.0899,0.057,0.0307,0.0285,uređen
AGB56758.1|virion spike glycoprotein precursor,0.0818,0.0,0.05,0.0591,0.0045,0.0636,0.0409,0.0318,0.0409,0.0545,0.0136,0.0727,0.0682,0.0409,0.0455,0.1364,0.15,0.0364,0.0,0.0091,neuređen
AGB56767.1|virion spike glycoprotein precursor,0.068,0.0263,0.0504,0.0504,0.0614,0.0855,0.0197,0.0768,0.0461,0.0899,0.0022,0.0461,0.0461,0.0373,0.0548,0.0329,0.0899,0.057,0.0307,0.0285,uređen
AGB56767.1|virion spike glycoprotein precursor,0.0818,0.0,0.05,0.0591,0.0045,0.0636,0.0409,0.0273,0.0409,0.0545,0.0136,0.0727,0.0682,0.0455,0.0409,0.1364,0.1545,0.0364,0.0,0.0091,neuređen
AGB56776.1|virion spike glycoprotein precursor,0.0681,0.0264,0.0505,0.0505,0.0615,0.0857,0.0198,0.0769,0.0484,0.0901,0.0022,0.0462,0.0462,0.0374,0.0527,0.033,0.0879,0.0571,0.0308,0.0286,uređen
AGB56776.1|virion spike glycoprotein precursor,0.0769,0.0,0.0498,0.0588,0.0045,0.0633,0.0407,0.0271,0.0407,0.0498,0.0136,0.0724,0.0724,0.0452,0.0407,0.1357,0.1629,0.0362,0.0,0.009,neuređen
AGB56785.1|virion spike glycoprotein precursor,0.068,0.0263,0.0504,0.0504,0.0614,0.0855,0.0197,0.0768,0.0461,0.0899,0.0022,0.0461,0.0461,0.0373,0.0548,0.0329,0.0899,0.057,0.0307,0.0285,uređen
AGB56785.1|virion spike glycoprotein precursor,0.0818,0.0,0.05,0.0591,0.0045,0.0636,0.0409,0.0273,0.0409,0.0545,0.0136,0.0727,0.0682,0.0455,0.0409,0.1364,0.1545,0.0364,0.0,0.0091,neuređen
AGB56794.1|virion spike glycoprotein precursor,0.07,0.0263,0.0503,0.0503,0.0613,0.0853,0.0197,0.0788,0.046,0.0897,0.0022,0.046,0.046,0.0372,0.0547,0.0328,0.0875,0.0569,0.0306,0.0284,uređen
AGB56794.1|virion spike glycoprotein precursor,0.0822,0.0,0.0548,0.0594,0.0046,0.0639,0.0411,0.0228,0.0411,0.0502,0.0137,0.0731,0.0731,0.0457,0.0411,0.137,0.1507,0.0365,0.0,0.0091,neuređen
AGB56803.1|virion spike glycoprotein precursor,0.068,0.0263,0.0504,0.0504,0.0614,0.0855,0.0197,0.0768,0.0461,0.0899,0.0022,0.0461,0.0461,0.0373,0.0548,0.0329,0.0899,0.057,0.0307,0.0285,uređen
AGB56803.1|virion spike glycoprotein precursor,0.0818,0.0,0.05,0.0591,0.0045,0.0636,0.0409,0.0273,0.0409,0.0545,0.0136,0.0727,0.0682,0.0455,0.0409,0.1364,0.1545,0.0364,0.0,0.0091,neuređen
AGB56812.1|virion spike glycoprotein precursor,0.0681,0.0264,0.0505,0.0505,0.0615,0.0857,0.0198,0.0769,0.0484,0.0901,0.0022,0.0462,0.0462,0.0374,0.0527,0.033,0.0879,0.0571,0.0308,0.0286,uređen
AGB56812.1|virion spike glycoprotein precursor,0.0769,0.0,0.0498,0.0588,0.0045,0.0633,0.0407,0.0271,0.0407,0.0498,0.0136,0.0724,0.0724,0.0452,0.0407,0.1357,0.1629,0.0362,0.0,0.009,neuređen
AGB56821.1|virion spike glycoprotein precursor,0.07,0.0263,0.0503,0.0503,0.0613,0.0853,0.0197,0.0788,0.046,0.0897,0.0022,0.046,0.046,0.0372,0.0547,0.0328,0.0875,0.0569,0.0306,0.0284,uređen
AGB56821.1|virion spike glycoprotein precursor,0.0822,0.0,0.0548,0.0594,0.0046,0.0639,0.0411,0.0228,0.0411,0.0502,0.0137,0.0731,0.0731,0.0457,0.0411,0.137,0.1507,0.0365,0.0,0.0091,neuređen
AGB56830.1|virion spike glycoprotein precursor,0.0716,0.026,0.0499,0.0499,0.0607,0.0868,0.0195,0.0781,0.0456,0.0911,0.0022,0.0456,0.0456,0.0369,0.0564,0.0325,0.0868,0.0564,0.0304,0.0282,uređen
AGB56830.1|virion spike glycoprotein precursor,0.0884,0.0,0.0605,0.0651,0.0047,0.0605,0.0372,0.0372,0.0419,0.0372,0.014,0.0698,0.0698,0.0512,0.0326,0.1442,0.1349,0.0326,0.0,0.0186,neuređen
AGB56839.1|virion spike glycoprotein precursor,0.0677,0.0262,0.0502,0.0524,0.0611,0.0852,0.0197,0.0764,0.0459,0.0895,0.0022,0.0459,0.0459,0.0371,0.0568,0.0328,0.0895,0.0568,0.0306,0.0284,uređen
AGB56839.1|virion spike glycoprotein precursor,0.078,0.0,0.055,0.055,0.0092,0.0642,0.0413,0.0275,0.0413,0.0459,0.0138,0.0734,0.0642,0.0459,0.0321,0.1514,0.1514,0.0413,0.0,0.0092,neuređen
