Naziv_proteina,molska_frakcija_A_uredjen,molska_frakcija_A_neuredjen,frakcijska_razlika_A,molska_frakcija_C_uredjen,molska_frakcija_C_neuredjen,frakcijska_razlika_C,molska_frakcija_D_uredjen,molska_frakcija_D_neuredjen,frakcijska_razlika_D,molska_frakcija_E_uredjen,molska_frakcija_E_neuredjen,frakcijska_razlika_E,molska_frakcija_F_uredjen,molska_frakcija_F_neuredjen,frakcijska_razlika_F,molska_frakcija_G_uredjen,molska_frakcija_G_neuredjen,frakcijska_razlika_G,molska_frakcija_H_uredjen,molska_frakcija_H_neuredjen,frakcijska_razlika_H,molska_frakcija_I_uredjen,molska_frakcija_I_neuredjen,frakcijska_razlika_I,molska_frakcija_K_uredjen,molska_frakcija_K_neuredjen,frakcijska_razlika_K,molska_frakcija_L_uredjen,molska_frakcija_L_neuredjen,frakcijska_razlika_L,molska_frakcija_M_uredjen,molska_frakcija_M_neuredjen,frakcijska_razlika_M,molska_frakcija_N_uredjen,molska_frakcija_N_neuredjen,frakcijska_razlika_N,molska_frakcija_P_uredjen,molska_frakcija_P_neuredjen,frakcijska_razlika_P,molska_frakcija_Q_uredjen,molska_frakcija_Q_neuredjen,frakcijska_razlika_Q,molska_frakcija_R_uredjen,molska_frakcija_R_neuredjen,frakcijska_razlika_R,molska_frakcija_S_uredjen,molska_frakcija_S_neuredjen,frakcijska_razlika_S,molska_frakcija_T_uredjen,molska_frakcija_T_neuredjen,frakcijska_razlika_T,molska_frakcija_V_uredjen,molska_frakcija_V_neuredjen,frakcijska_razlika_V,molska_frakcija_W_uredjen,molska_frakcija_W_neuredjen,frakcijska_razlika_W,molska_frakcija_Y_uredjen,molska_frakcija_Y_neuredjen,frakcijska_razlika_Y
AAD14590.1 |nucleoprotein,0.0839,0.0548,0.5302,0.007,0.0,0.0,0.035,0.1419,-0.7537,0.0629,0.1032,-0.3903,0.0513,0.0129,2.9744,0.0629,0.0452,0.3936,0.0443,0.0355,0.2481,0.0466,0.029,0.6058,0.0653,0.0323,1.0233,0.1166,0.0548,1.1253,0.035,0.0161,1.1678,0.042,0.0484,-0.1329,0.028,0.0968,-0.711,0.0723,0.071,0.0182,0.0443,0.0452,-0.0193,0.0536,0.0806,-0.3352,0.0373,0.071,-0.4745,0.0793,0.0258,2.0711,0.007,0.0032,1.1678,0.0256,0.0323,-0.2051
AAG40164.1 |nucleoprotein NP,0.0841,0.0547,0.5388,0.007,0.0,0.0,0.035,0.1415,-0.7523,0.0631,0.1029,-0.3869,0.0514,0.0129,2.9965,0.0631,0.045,0.4014,0.0444,0.0354,0.2551,0.0467,0.0289,0.6147,0.0654,0.0322,1.0346,0.1168,0.0579,1.0184,0.035,0.0161,1.1799,0.0421,0.0482,-0.128,0.028,0.0965,-0.7093,0.0724,0.0707,0.0239,0.0444,0.045,-0.0139,0.0537,0.0772,-0.3036,0.0374,0.0707,-0.4715,0.0771,0.0289,1.6643,0.007,0.0032,1.1799,0.0257,0.0322,-0.2007
AAM76031.1 |nucleoprotein NP,0.0839,0.0548,0.5302,0.007,0.0,0.0,0.035,0.1419,-0.7537,0.0629,0.1032,-0.3903,0.0513,0.0129,2.9744,0.0653,0.0452,0.4452,0.0443,0.0355,0.2481,0.0466,0.029,0.6058,0.0653,0.0323,1.0233,0.1166,0.0548,1.1253,0.035,0.0161,1.1678,0.042,0.0484,-0.1329,0.028,0.0968,-0.711,0.0723,0.071,0.0182,0.0443,0.0452,-0.0193,0.0513,0.0806,-0.3641,0.0373,0.071,-0.4745,0.0793,0.0258,2.0711,0.007,0.0032,1.1678,0.0256,0.0323,-0.2051
AAN04448.1 |nucleoprotein,0.0895,0.0685,0.3065,0.0067,0.0,0.0,0.0403,0.1404,-0.7132,0.0671,0.0993,-0.3242,0.0447,0.0171,1.613,0.0604,0.0514,0.1758,0.0403,0.0342,0.1758,0.0559,0.0274,1.0414,0.0537,0.024,1.2397,0.1208,0.0685,0.7638,0.0291,0.0068,3.2461,0.0515,0.0582,-0.1162,0.0246,0.0993,-0.7522,0.0761,0.0616,0.2339,0.0537,0.0514,0.0452,0.038,0.0925,-0.5887,0.0425,0.0445,-0.0453,0.0649,0.0171,2.7888,0.0067,0.0068,-0.0201,0.0336,0.0308,0.0887
AAN37504.1 |nucleoprotein NP,0.0839,0.0548,0.5302,0.007,0.0,0.0,0.035,0.1419,-0.7537,0.0629,0.1032,-0.3903,0.0513,0.0129,2.9744,0.0629,0.0452,0.3936,0.0443,0.0355,0.2481,0.0466,0.029,0.6058,0.0653,0.0323,1.0233,0.1166,0.0548,1.1253,0.035,0.0161,1.1678,0.042,0.0484,-0.1329,0.028,0.0968,-0.711,0.0723,0.071,0.0182,0.0443,0.0452,-0.0193,0.0536,0.0806,-0.3352,0.0373,0.071,-0.4745,0.0793,0.0258,2.0711,0.007,0.0032,1.1678,0.0256,0.0323,-0.2051
AAN37505.1 |second nucleoprotein VP35,0.0868,0.0661,0.3122,0.032,0.0083,2.8676,0.0639,0.0248,1.5784,0.032,0.1074,-0.7025,0.032,0.0165,0.9338,0.0548,0.0661,-0.1712,0.0183,0.0248,-0.2633,0.0822,0.0413,0.989,0.0457,0.0496,-0.0791,0.0959,0.0331,1.9007,0.0228,0.0248,-0.0791,0.032,0.0579,-0.4475,0.0639,0.0826,-0.2265,0.0594,0.0826,-0.2817,0.0411,0.0744,-0.4475,0.0731,0.0826,-0.116,0.0685,0.1074,-0.3625,0.0731,0.0165,3.4201,0.0046,0.0165,-0.7237,0.0183,0.0165,0.105
AAN37509.1 |nucleoprotein VP30,0.0608,0.0935,-0.3497,0.0387,0.0093,3.1381,0.0497,0.0654,-0.2399,0.0718,0.0748,-0.0394,0.0331,0.0187,0.7735,0.0442,0.0467,-0.0541,0.0221,0.0467,-0.5271,0.0497,0.0093,4.3204,0.0663,0.028,1.3646,0.1657,0.0187,7.8674,0.011,0.0093,0.1823,0.011,0.0374,-0.7044,0.0276,0.0935,-0.7044,0.0773,0.0374,1.0691,0.0608,0.1308,-0.5355,0.0773,0.1215,-0.3634,0.0663,0.0654,0.0134,0.0442,0.0561,-0.2118,0.0166,0.0093,0.7735,0.0055,0.028,-0.8029
AAQ55045.1 |nucleoprotein,0.0816,0.0548,0.4877,0.007,0.0,0.0,0.035,0.1419,-0.7537,0.0629,0.1032,-0.3903,0.0513,0.0129,2.9744,0.0629,0.0452,0.3936,0.0443,0.0355,0.2481,0.0443,0.0226,0.9614,0.0653,0.029,1.2481,0.1166,0.0548,1.1253,0.035,0.0161,1.1678,0.042,0.0484,-0.1329,0.028,0.1,-0.7203,0.0723,0.071,0.0182,0.0443,0.0484,-0.0847,0.0536,0.0774,-0.3075,0.0396,0.0774,-0.4882,0.0816,0.0258,2.1614,0.007,0.0032,1.1678,0.0256,0.0323,-0.2051
AAU43883.1 |major nucleoprotein,0.0779,0.058,0.3442,0.0065,0.0,0.0,0.0433,0.1413,-0.6936,0.0714,0.0906,-0.2114,0.0476,0.0072,5.5714,0.0693,0.0761,-0.0897,0.0455,0.0145,2.1364,0.0476,0.0254,0.8776,0.0563,0.0362,0.5532,0.1299,0.0616,1.1085,0.0216,0.0109,0.9913,0.0368,0.0616,-0.4026,0.0281,0.1051,-0.7322,0.0671,0.058,0.1575,0.0433,0.0254,0.7069,0.0584,0.0797,-0.2668,0.039,0.0761,-0.4879,0.0758,0.0362,1.0909,0.0065,0.0036,0.7922,0.0281,0.0326,-0.1371
AAU43888.1 |minor nucleoprotein,0.0812,0.044,0.8477,0.0305,0.0,0.0,0.0609,0.0659,-0.0761,0.0609,0.044,0.3858,0.0406,0.022,0.8477,0.0406,0.0659,-0.3841,0.0203,0.011,0.8477,0.0254,0.011,1.3096,0.0609,0.044,0.3858,0.1726,0.022,6.8528,0.0051,0.011,-0.5381,0.0355,0.033,0.0778,0.0254,0.0989,-0.7434,0.0609,0.044,0.3858,0.0558,0.1319,-0.5766,0.1015,0.1209,-0.1601,0.0457,0.1538,-0.703,0.0558,0.044,0.2703,0.0152,0.011,0.3858,0.0051,0.022,-0.769
