Naziv_proteina,molska_frakcija_A_uredjen,molska_frakcija_A_neuredjen,frakcijska_razlika_A,molska_frakcija_C_uredjen,molska_frakcija_C_neuredjen,frakcijska_razlika_C,molska_frakcija_D_uredjen,molska_frakcija_D_neuredjen,frakcijska_razlika_D,molska_frakcija_E_uredjen,molska_frakcija_E_neuredjen,frakcijska_razlika_E,molska_frakcija_F_uredjen,molska_frakcija_F_neuredjen,frakcijska_razlika_F,molska_frakcija_G_uredjen,molska_frakcija_G_neuredjen,frakcijska_razlika_G,molska_frakcija_H_uredjen,molska_frakcija_H_neuredjen,frakcijska_razlika_H,molska_frakcija_I_uredjen,molska_frakcija_I_neuredjen,frakcijska_razlika_I,molska_frakcija_K_uredjen,molska_frakcija_K_neuredjen,frakcijska_razlika_K,molska_frakcija_L_uredjen,molska_frakcija_L_neuredjen,frakcijska_razlika_L,molska_frakcija_M_uredjen,molska_frakcija_M_neuredjen,frakcijska_razlika_M,molska_frakcija_N_uredjen,molska_frakcija_N_neuredjen,frakcijska_razlika_N,molska_frakcija_P_uredjen,molska_frakcija_P_neuredjen,frakcijska_razlika_P,molska_frakcija_Q_uredjen,molska_frakcija_Q_neuredjen,frakcijska_razlika_Q,molska_frakcija_R_uredjen,molska_frakcija_R_neuredjen,frakcijska_razlika_R,molska_frakcija_S_uredjen,molska_frakcija_S_neuredjen,frakcijska_razlika_S,molska_frakcija_T_uredjen,molska_frakcija_T_neuredjen,frakcijska_razlika_T,molska_frakcija_V_uredjen,molska_frakcija_V_neuredjen,frakcijska_razlika_V,molska_frakcija_W_uredjen,molska_frakcija_W_neuredjen,frakcijska_razlika_W,molska_frakcija_Y_uredjen,molska_frakcija_Y_neuredjen,frakcijska_razlika_Y
AAD14590.1 |nucleoprotein,0.0932,0.0519,0.7945,0.0085,0.0,0.0,0.0226,0.1325,-0.8294,0.0537,0.1039,-0.4834,0.0593,0.013,3.5678,0.0678,0.0442,0.5354,0.0452,0.0364,0.2429,0.0508,0.0286,0.7797,0.048,0.0545,-0.1196,0.1271,0.0571,1.2246,0.0367,0.0182,1.0198,0.0367,0.0519,-0.2931,0.0282,0.0831,-0.6601,0.0678,0.0753,-0.0999,0.0424,0.0468,-0.0937,0.0537,0.0753,-0.2875,0.0367,0.0649,-0.4345,0.0819,0.0338,1.4261,0.0085,0.0026,2.2627,0.0311,0.026,0.1963
AAG40164.1 |nucleoprotein NP,0.0932,0.0519,0.7945,0.0085,0.0,0.0,0.0226,0.1325,-0.8294,0.0537,0.1039,-0.4834,0.0593,0.013,3.5678,0.0678,0.0442,0.5354,0.0452,0.0364,0.2429,0.0508,0.0286,0.7797,0.048,0.0545,-0.1196,0.1271,0.0597,1.1279,0.0367,0.0182,1.0198,0.0367,0.0519,-0.2931,0.0282,0.0831,-0.6601,0.0678,0.0753,-0.0999,0.0424,0.0468,-0.0937,0.0537,0.0727,-0.262,0.0367,0.0649,-0.4345,0.0819,0.0338,1.4261,0.0085,0.0026,2.2627,0.0311,0.026,0.1963
AAM76031.1 |nucleoprotein NP,0.0932,0.0519,0.7945,0.0085,0.0,0.0,0.0226,0.1325,-0.8294,0.0537,0.1039,-0.4834,0.0593,0.013,3.5678,0.0706,0.0442,0.5994,0.0452,0.0364,0.2429,0.0508,0.0286,0.7797,0.048,0.0545,-0.1196,0.1271,0.0571,1.2246,0.0367,0.0182,1.0198,0.0367,0.0519,-0.2931,0.0282,0.0831,-0.6601,0.0678,0.0753,-0.0999,0.0424,0.0468,-0.0937,0.0508,0.0753,-0.325,0.0367,0.0649,-0.4345,0.0819,0.0338,1.4261,0.0085,0.0026,2.2627,0.0311,0.026,0.1963
AAN04448.1 |nucleoprotein,0.0944,0.0663,0.424,0.0077,0.0,0.0,0.0408,0.1239,-0.6706,0.0536,0.1095,-0.5108,0.0485,0.0173,1.8031,0.0612,0.0519,0.1803,0.0408,0.0346,0.1803,0.0536,0.0346,0.5491,0.0485,0.0346,0.4016,0.1276,0.0692,0.8442,0.0281,0.0115,1.4343,0.0485,0.0605,-0.1991,0.0306,0.0807,-0.6206,0.0689,0.072,-0.044,0.0434,0.0634,-0.316,0.0408,0.0807,-0.4942,0.0408,0.0461,-0.1148,0.074,0.0144,4.1342,0.0102,0.0029,2.5408,0.0383,0.0259,0.4753
AAN37504.1 |nucleoprotein NP,0.0932,0.0519,0.7945,0.0085,0.0,0.0,0.0226,0.1325,-0.8294,0.0537,0.1039,-0.4834,0.0593,0.013,3.5678,0.0678,0.0442,0.5354,0.0452,0.0364,0.2429,0.0508,0.0286,0.7797,0.048,0.0545,-0.1196,0.1271,0.0571,1.2246,0.0367,0.0182,1.0198,0.0367,0.0519,-0.2931,0.0282,0.0831,-0.6601,0.0678,0.0753,-0.0999,0.0424,0.0468,-0.0937,0.0537,0.0753,-0.2875,0.0367,0.0649,-0.4345,0.0819,0.0338,1.4261,0.0085,0.0026,2.2627,0.0311,0.026,0.1963
AAN37505.1 |second nucleoprotein VP35,0.1033,0.0513,1.0136,0.0326,0.0128,1.5435,0.0652,0.0321,1.0348,0.0326,0.0897,-0.6366,0.0326,0.0192,0.6957,0.0598,0.0577,0.0362,0.0163,0.0256,-0.3641,0.0924,0.0385,1.4022,0.0489,0.0449,0.0901,0.0815,0.0641,0.2717,0.0272,0.0192,0.413,0.0326,0.0513,-0.3641,0.0326,0.1154,-0.7174,0.0652,0.0705,-0.0751,0.0326,0.0769,-0.5761,0.0652,0.0897,-0.2733,0.0707,0.0962,-0.2652,0.0652,0.0385,0.6957,0.0163,0.0,0.0,0.0272,0.0064,3.2391
AAN37509.1 |nucleoprotein VP30,0.0797,0.0667,0.1957,0.029,0.0267,0.087,0.029,0.08,-0.6377,0.0652,0.08,-0.1848,0.029,0.0267,0.087,0.0145,0.0733,-0.8024,0.0217,0.04,-0.4565,0.0652,0.0067,8.7826,0.0435,0.06,-0.2754,0.1957,0.0333,4.8696,0.0145,0.0067,1.1739,0.0145,0.0267,-0.4565,0.0217,0.08,-0.7283,0.0652,0.06,0.087,0.0797,0.0933,-0.146,0.0725,0.1133,-0.3606,0.0725,0.06,0.2077,0.058,0.04,0.4493,0.0217,0.0067,2.2609,0.0072,0.02,-0.6377
AAQ55045.1 |nucleoprotein,0.0912,0.0515,0.7687,0.0085,0.0,0.0,0.0228,0.1314,-0.8266,0.0541,0.1031,-0.4749,0.0598,0.0129,3.6427,0.0684,0.0438,0.5606,0.0456,0.0361,0.2633,0.0484,0.0232,1.088,0.0484,0.0515,-0.0604,0.1282,0.0567,1.2611,0.0342,0.0206,0.6581,0.037,0.0515,-0.2815,0.0285,0.0851,-0.665,0.0684,0.0747,-0.0852,0.0427,0.049,-0.1273,0.0541,0.0722,-0.2499,0.037,0.0722,-0.4868,0.0826,0.0361,1.2898,0.0085,0.0026,2.3162,0.0313,0.0258,0.216
AAU43883.1 |major nucleoprotein,0.0861,0.0525,0.6402,0.0076,0.0,0.0,0.038,0.1283,-0.704,0.0557,0.105,-0.4693,0.0506,0.0117,3.3418,0.0709,0.0729,-0.0274,0.0456,0.0204,1.2329,0.0506,0.0262,0.9297,0.0405,0.0583,-0.3053,0.1392,0.0641,1.1709,0.0203,0.0146,0.3894,0.0278,0.0671,-0.5847,0.0329,0.0845,-0.6107,0.0658,0.0612,0.0751,0.038,0.035,0.0854,0.0633,0.07,-0.0955,0.043,0.0641,-0.329,0.0759,0.0437,0.7367,0.0101,0.0,0.0,0.038,0.0204,0.8608
AAU43888.1 |minor nucleoprotein,0.096,0.0491,0.956,0.016,0.0245,-0.348,0.048,0.0736,-0.348,0.056,0.0552,0.0142,0.048,0.0245,0.956,0.032,0.0613,-0.4784,0.016,0.0184,-0.1307,0.032,0.0123,1.608,0.048,0.0613,-0.2176,0.2,0.0675,1.9636,0.008,0.0061,0.304,0.032,0.0368,-0.1307,0.024,0.0675,-0.6444,0.048,0.0613,-0.2176,0.064,0.092,-0.3045,0.08,0.1288,-0.379,0.048,0.1043,-0.5398,0.072,0.0368,0.956,0.024,0.0061,2.912,0.008,0.0123,-0.348
