Naziv_proteina
YP_009513274.1 |nucleoprotein
YP_009513276.1 |matrix protein
YP_009513277.1 |spike glycoprotein
YP_009513280.1 |minor nucleoprotein
YP_003815432.1 |nucleoprotein
YP_003815434.1 |matrix protein
YP_003815435.1 |spike glycoprotein
YP_003815438.1 |minor nucleoprotein
YP_003815423.1 |nucleoprotein
YP_003815425.1 |matrix protein
YP_003815426.1 |spike glycoprotein
YP_003815429.1 |minor nucleoprotein
YP_138520.1 |nucleoprotein
YP_138522.1 |matrix protein
YP_138523.1 |spike glycoprotein
YP_138525.1 |minor nucleoprotein
NP_690580.1 |nucleoprotein
NP_690582.1 |matrix protein
NP_690583.1 |spike glycoprotein
NP_690585.1 |minor nucleoprotein
NP_066243.1 |nucleoprotein
NP_066245.1 |matrix protein
NP_066246.1 |spike glycoprotein
NP_066249.1 |minor nucleoprotein
WGV39662.1 |nucleoprotein
WGV39664.1 |matrix protein
WGV39666.1 |minor nucleoprotein
WGV39670.1 |virion spike glycoprotein precursor
WGV39671.1 |nucleoprotein
WGV39673.1 |matrix protein
WGV39675.1 |minor nucleoprotein
WGV39679.1 |virion spike glycoprotein precursor
WGV39680.1 |nucleoprotein
WGV39682.1 |matrix protein
WGV39684.1 |minor nucleoprotein
WGV39688.1 |virion spike glycoprotein precursor
WGV39689.1 |nucleoprotein
WGV39691.1 |matrix protein
WGV39693.1 |minor nucleoprotein
WGV39697.1 |virion spike glycoprotein precursor
WGV39698.1 |nucleoprotein
WGV39700.1 |matrix protein
WGV39702.1 |minor nucleoprotein
WGV39706.1 |virion spike glycoprotein precursor
WGV39707.1 |nucleoprotein
WGV39709.1 |matrix protein
WGV39711.1 |minor nucleoprotein
WGV39715.1 |virion spike glycoprotein precursor
WGV39716.1 |nucleoprotein
WGV39718.1 |matrix protein
WGV39720.1 |minor nucleoprotein
WGV39724.1 |virion spike glycoprotein precursor
WGV39725.1 |nucleoprotein
WGV39727.1 |matrix protein
WGV39729.1 |minor nucleoprotein
WGV39733.1 |virion spike glycoprotein precursor
WGV39734.1 |nucleoprotein
WGV39736.1 |matrix protein
WGV39738.1 |minor nucleoprotein
WGV39742.1 |virion spike glycoprotein precursor
WGV39743.1 |nucleoprotein
WGV39745.1 |matrix protein
WGV39747.1 |minor nucleoprotein
WGV39751.1 |virion spike glycoprotein precursor
WGV39752.1 |nucleoprotein
WGV39754.1 |matrix protein
WGV39756.1 |minor nucleoprotein
WGV39760.1 |virion spike glycoprotein precursor
WGV39761.1 |nucleoprotein
WGV39763.1 |matrix protein
WGV39765.1 |minor nucleoprotein
WGV39769.1 |virion spike glycoprotein precursor
WGV39770.1 |nucleoprotein
WGV39772.1 |matrix protein
WGV39774.1 |minor nucleoprotein
WGV39778.1 |virion spike glycoprotein precursor
WGV39779.1 |nucleoprotein
WGV39781.1 |matrix protein
WGV39783.1 |minor nucleoprotein
WGV39787.1 |virion spike glycoprotein precursor
WGV39788.1 |nucleoprotein
WGV39790.1 |matrix protein
WGV39792.1 |minor nucleoprotein
WGV39796.1 |virion spike glycoprotein precursor
WGV39797.1 |nucleoprotein
WGV39799.1 |matrix protein
WGV39801.1 |minor nucleoprotein
WGV39805.1 |virion spike glycoprotein precursor
WGV39806.1 |nucleoprotein
WGV39808.1 |matrix protein
WGV39810.1 |minor nucleoprotein
WGV39814.1 |virion spike glycoprotein precursor
WGV39815.1 |nucleoprotein
WGV39817.1 |matrix protein
WGV39819.1 |minor nucleoprotein
WGV39823.1 |virion spike glycoprotein precursor
WGV39824.1 |nucleoprotein
WGV39826.1 |matrix protein
WGV39828.1 |minor nucleoprotein
WGV39832.1 |virion spike glycoprotein precursor
WGV39833.1 |nucleoprotein
WGV39835.1 |matrix protein
WGV39837.1 |minor nucleoprotein
WGV39841.1 |virion spike glycoprotein precursor
WGV39842.1 |nucleoprotein
WGV39844.1 |matrix protein
WGV39846.1 |minor nucleoprotein
WGV39850.1 |virion spike glycoprotein precursor
WGV39851.1 |nucleoprotein
WGV39853.1 |matrix protein
WGV39855.1 |minor nucleoprotein
WGV39859.1 |virion spike glycoprotein precursor
WGV39860.1 |nucleoprotein
WGV39862.1 |matrix protein
WGV39864.1 |minor nucleoprotein
WGV39868.1 |virion spike glycoprotein precursor
WDG39713.1 |nucleoprotein
WDG39715.1 |matrix protein
WDG39716.1 |virion spike glycoprotein precursor
WDG39722.1 |nucleoprotein
WDG39724.1 |matrix protein
WDG39725.1 |virion spike glycoprotein precursor
WDG39731.1 |nucleoprotein
WDG39733.1 |matrix protein
WDG39734.1 |virion spike glycoprotein precursor
WBH05257.1 |nucleoprotein
WBH05259.1 |matrix protein
WBH05260.1 |spike glycoprotein
WBH05262.1 |minor nucleoprotein
URC21815.1 |nucleoprotein
URC21823.1 |nucleoprotein
URC21825.1 |virus protein 40 matrix protein
QMS54659.1 |nucleoprotein
QMS54661.1 |matrix protein
QMS54662.1 |virion spike glycoprotein precursor
QXV44981.1 |nucleoprotein
QXV44983.1 |matrix protein
QXV44984.1 |virion spike glycoprotein precursor
QXV44990.1 |nucleoprotein
QXV44992.1 |matrix protein
QXV44993.1 |virion spike glycoprotein precursor
QYU59235.1 |nucleoprotein
QYU59237.1 |matrix protein
QYU59238.1 |spike glycoprotein
QYU59241.1 |minor nucleoprotein
QYU59244.1 |nucleoprotein
QYU59246.1 |matrix protein
QYU59247.1 |spike glycoprotein
QYU59250.1 |minor nucleoprotein
QYU59255.1 |matrix protein
QYU59256.1 |spike glycoprotein
