Naziv proteina,Molska Frakcija Uredjeni,Molska Frakcija Neuredjeni,Procenat uredjeni,Procenat neuredjeni,Frakcijska Razlika
AJY53713.1 ___matrix protein,0.84818,0.15182,84.82%,15.18%,-0.821
AKB09571.1 ___matrix protein VP40,0.81518,0.18482,81.52%,18.48%,-0.7733
AKI84282.1 ___matrix protein VP40,0.81518,0.18482,81.52%,18.48%,-0.7733
ALS54753.1 ___matrix protein VP40,0.85149,0.14851,85.15%,14.85%,-0.8256
QYC62007.1 ___matrix protein VP40,0.81518,0.18482,81.52%,18.48%,-0.7733
WKR37931.1 ___matrix protein,0.81848,0.18152,81.85%,18.15%,-0.7782
WKR37934.1 ___matrix protein,0.85375,0.14625,85.38%,14.62%,-0.8287
YP_001531155.1 ___matrix protein,0.81848,0.18152,81.85%,18.15%,-0.7782
YP_001531158.1 ___matrix protein,0.85771,0.14229,85.77%,14.23%,-0.8341
YP_009055224.1 ___matrix protein,0.85149,0.14851,85.15%,14.85%,-0.8256
AHX71952.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
AKL59407.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
AKN24755.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
AKN24764.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
AKN24773.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
AKN24782.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
AKN24791.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
AKN24800.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
AKN24809.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
AKN24818.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
AKN24827.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
AKN24836.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA49347.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA49358.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA49369.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA49380.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA49391.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA49402.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA49413.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA49424.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA49435.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA49446.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA49457.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA49468.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA49479.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ALA49490.1 ___membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
