Naziv_proteina,molska_frakcija_A_uredjen,molska_frakcija_A_neuredjen,frakcijska_razlika_A,molska_frakcija_C_uredjen,molska_frakcija_C_neuredjen,frakcijska_razlika_C,molska_frakcija_D_uredjen,molska_frakcija_D_neuredjen,frakcijska_razlika_D,molska_frakcija_E_uredjen,molska_frakcija_E_neuredjen,frakcijska_razlika_E,molska_frakcija_F_uredjen,molska_frakcija_F_neuredjen,frakcijska_razlika_F,molska_frakcija_G_uredjen,molska_frakcija_G_neuredjen,frakcijska_razlika_G,molska_frakcija_H_uredjen,molska_frakcija_H_neuredjen,frakcijska_razlika_H,molska_frakcija_I_uredjen,molska_frakcija_I_neuredjen,frakcijska_razlika_I,molska_frakcija_K_uredjen,molska_frakcija_K_neuredjen,frakcijska_razlika_K,molska_frakcija_L_uredjen,molska_frakcija_L_neuredjen,frakcijska_razlika_L,molska_frakcija_M_uredjen,molska_frakcija_M_neuredjen,frakcijska_razlika_M,molska_frakcija_N_uredjen,molska_frakcija_N_neuredjen,frakcijska_razlika_N,molska_frakcija_P_uredjen,molska_frakcija_P_neuredjen,frakcijska_razlika_P,molska_frakcija_Q_uredjen,molska_frakcija_Q_neuredjen,frakcijska_razlika_Q,molska_frakcija_R_uredjen,molska_frakcija_R_neuredjen,frakcijska_razlika_R,molska_frakcija_S_uredjen,molska_frakcija_S_neuredjen,frakcijska_razlika_S,molska_frakcija_T_uredjen,molska_frakcija_T_neuredjen,frakcijska_razlika_T,molska_frakcija_V_uredjen,molska_frakcija_V_neuredjen,frakcijska_razlika_V,molska_frakcija_W_uredjen,molska_frakcija_W_neuredjen,frakcijska_razlika_W,molska_frakcija_Y_uredjen,molska_frakcija_Y_neuredjen,frakcijska_razlika_Y
AAD14585.1|virion spike glycoprotein precursor,0.0459,0.0251,0.8235,0.0178,0.0,0.0,0.034,0.0178,0.9167,0.0355,0.0178,1.0,0.0414,0.003,13.0,0.0577,0.0207,1.7857,0.0133,0.0133,0.0,0.0533,0.0089,5.0,0.0311,0.0133,1.3333,0.0607,0.0148,3.1,0.0015,0.0044,-0.6667,0.0311,0.0237,0.3125,0.0311,0.0207,0.5,0.0251,0.0148,0.7,0.0385,0.0104,2.7143,0.0222,0.0488,-0.5455,0.0592,0.0488,0.2121,0.0385,0.0133,1.8889,0.0207,0.0,0.0,0.0192,0.003,5.5
AAQ55048.1|virion spike glycoprotein precursor,0.0473,0.0266,0.7778,0.0178,0.0,0.0,0.0325,0.0178,0.8333,0.0355,0.0192,0.8462,0.0414,0.0015,27.0,0.0577,0.0207,1.7857,0.0133,0.0133,0.0,0.0533,0.0074,6.2,0.0311,0.0133,1.3333,0.0607,0.0148,3.1,0.0015,0.0044,-0.6667,0.0311,0.0237,0.3125,0.0311,0.0251,0.2353,0.0251,0.0148,0.7,0.037,0.0133,1.7778,0.0222,0.0444,-0.5,0.0592,0.0488,0.2121,0.0385,0.0118,2.25,0.0207,0.0,0.0,0.0192,0.003,5.5
ABX75367.1|virion spike glycoprotein precursor,0.0459,0.0251,0.8235,0.0178,0.0,0.0,0.034,0.0178,0.9167,0.0355,0.0178,1.0,0.0414,0.003,13.0,0.0577,0.0207,1.7857,0.0133,0.0133,0.0,0.0533,0.0089,5.0,0.0311,0.0133,1.3333,0.0607,0.0148,3.1,0.0015,0.0044,-0.6667,0.0311,0.0237,0.3125,0.0311,0.0207,0.5,0.0251,0.0148,0.7,0.0385,0.0104,2.7143,0.0222,0.0488,-0.5455,0.0592,0.0488,0.2121,0.0385,0.0133,1.8889,0.0207,0.0,0.0,0.0192,0.003,5.5
ACI28624.1|spike glycoprotein precursor,0.037,0.0133,1.7778,0.0178,0.0,0.0,0.0311,0.0192,0.6154,0.034,0.0222,0.5333,0.0385,0.0044,7.6667,0.0488,0.0104,3.7143,0.0163,0.0133,0.2222,0.0473,0.0104,3.5714,0.0311,0.0074,3.2,0.0577,0.0192,2.0,0.003,0.0059,-0.5,0.037,0.0266,0.3889,0.0296,0.0533,-0.4444,0.0222,0.0163,0.3636,0.0281,0.0237,0.1875,0.0148,0.0385,-0.6154,0.0592,0.0607,-0.0244,0.0444,0.0148,2.0,0.0207,0.0,0.0,0.0207,0.0015,13.0
ACI28632.1|spike glycoprotein precursor,0.0399,0.0207,0.9286,0.0192,0.0,0.0,0.0296,0.0148,1.0,0.0311,0.0237,0.3125,0.0399,0.0074,4.4,0.0518,0.0178,1.9167,0.0133,0.0133,0.0,0.0488,0.0104,3.7143,0.0311,0.0148,1.1,0.0607,0.0192,2.1538,0.0044,0.0059,-0.25,0.0355,0.0237,0.5,0.0281,0.0444,-0.3667,0.0192,0.0178,0.0833,0.0281,0.0133,1.1111,0.0133,0.0473,-0.7188,0.0518,0.0621,-0.1667,0.0399,0.0192,1.0769,0.0207,0.0,0.0,0.0163,0.0015,10.0
AGB56686.1|virion spike glycoprotein precursor,0.0473,0.0281,0.6842,0.0178,0.0,0.0,0.034,0.0178,0.9167,0.034,0.0192,0.7692,0.0414,0.0015,27.0,0.0577,0.0192,2.0,0.0133,0.0133,0.0,0.0518,0.0059,7.75,0.0311,0.0148,1.1,0.0607,0.0148,3.1,0.0015,0.003,-0.5,0.0311,0.0237,0.3125,0.0311,0.0251,0.2353,0.0251,0.0133,0.8889,0.037,0.0118,2.125,0.0222,0.0473,-0.5312,0.0607,0.0473,0.2812,0.0385,0.0133,1.8889,0.0207,0.0,0.0,0.0192,0.0044,3.3333
AGB56695.1|virion spike glycoprotein precursor,0.0473,0.0281,0.6842,0.0178,0.0,0.0,0.034,0.0178,0.9167,0.034,0.0192,0.7692,0.0414,0.0015,27.0,0.0577,0.0192,2.0,0.0133,0.0133,0.0,0.0518,0.0059,7.75,0.0311,0.0148,1.1,0.0607,0.0148,3.1,0.0015,0.003,-0.5,0.0311,0.0237,0.3125,0.0311,0.0251,0.2353,0.0251,0.0133,0.8889,0.037,0.0118,2.125,0.0222,0.0473,-0.5312,0.0607,0.0473,0.2812,0.0385,0.0133,1.8889,0.0207,0.0,0.0,0.0192,0.0044,3.3333
AGB56704.1|virion spike glycoprotein precursor,0.0473,0.0281,0.6842,0.0178,0.0,0.0,0.034,0.0178,0.9167,0.034,0.0192,0.7692,0.0414,0.0015,27.0,0.0577,0.0192,2.0,0.0133,0.0133,0.0,0.0518,0.0059,7.75,0.0311,0.0148,1.1,0.0607,0.0148,3.1,0.0015,0.003,-0.5,0.0311,0.0237,0.3125,0.0311,0.0251,0.2353,0.0251,0.0133,0.8889,0.037,0.0118,2.125,0.0222,0.0473,-0.5312,0.0607,0.0473,0.2812,0.0385,0.0133,1.8889,0.0207,0.0,0.0,0.0192,0.0044,3.3333
AGB56713.1|virion spike glycoprotein precursor,0.0473,0.0281,0.6842,0.0178,0.0,0.0,0.034,0.0178,0.9167,0.034,0.0192,0.7692,0.0414,0.0015,27.0,0.0577,0.0192,2.0,0.0133,0.0133,0.0,0.0518,0.0059,7.75,0.0311,0.0148,1.1,0.0607,0.0148,3.1,0.0015,0.003,-0.5,0.0311,0.0237,0.3125,0.0311,0.0251,0.2353,0.0251,0.0133,0.8889,0.037,0.0118,2.125,0.0222,0.0473,-0.5312,0.0607,0.0473,0.2812,0.0385,0.0133,1.8889,0.0207,0.0,0.0,0.0192,0.0044,3.3333
AGB56722.1|virion spike glycoprotein precursor,0.0473,0.0281,0.6842,0.0178,0.0,0.0,0.034,0.0178,0.9167,0.034,0.0192,0.7692,0.0414,0.0015,27.0,0.0577,0.0192,2.0,0.0133,0.0133,0.0,0.0518,0.0059,7.75,0.0311,0.0148,1.1,0.0607,0.0148,3.1,0.0015,0.003,-0.5,0.0311,0.0237,0.3125,0.0311,0.0251,0.2353,0.0251,0.0133,0.8889,0.037,0.0118,2.125,0.0222,0.0473,-0.5312,0.0607,0.0473,0.2812,0.0385,0.0133,1.8889,0.0207,0.0,0.0,0.0192,0.0044,3.3333
