Naziv_proteina,molska_frakcija_za_A,molska_frakcija_za_C,molska_frakcija_za_D,molska_frakcija_za_E,molska_frakcija_za_F,molska_frakcija_za_G,molska_frakcija_za_H,molska_frakcija_za_I,molska_frakcija_za_K,molska_frakcija_za_L,molska_frakcija_za_M,molska_frakcija_za_N,molska_frakcija_za_P,molska_frakcija_za_Q,molska_frakcija_za_R,molska_frakcija_za_S,molska_frakcija_za_T,molska_frakcija_za_V,molska_frakcija_za_W,molska_frakcija_za_Y,Klasifikacija
AAD14590.1 |nucleoprotein,0.0839,0.007,0.035,0.0629,0.0513,0.0629,0.0443,0.0466,0.0653,0.1166,0.035,0.042,0.028,0.0723,0.0443,0.0536,0.0373,0.0793,0.007,0.0256,uređen
AAD14590.1 |nucleoprotein,0.0548,0.0,0.1419,0.1032,0.0129,0.0452,0.0355,0.029,0.0323,0.0548,0.0161,0.0484,0.0968,0.071,0.0452,0.0806,0.071,0.0258,0.0032,0.0323,neuređen
AAG40164.1 |nucleoprotein NP,0.0841,0.007,0.035,0.0631,0.0514,0.0631,0.0444,0.0467,0.0654,0.1168,0.035,0.0421,0.028,0.0724,0.0444,0.0537,0.0374,0.0771,0.007,0.0257,uređen
AAG40164.1 |nucleoprotein NP,0.0547,0.0,0.1415,0.1029,0.0129,0.045,0.0354,0.0289,0.0322,0.0579,0.0161,0.0482,0.0965,0.0707,0.045,0.0772,0.0707,0.0289,0.0032,0.0322,neuređen
AAM76031.1 |nucleoprotein NP,0.0839,0.007,0.035,0.0629,0.0513,0.0653,0.0443,0.0466,0.0653,0.1166,0.035,0.042,0.028,0.0723,0.0443,0.0513,0.0373,0.0793,0.007,0.0256,uređen
AAM76031.1 |nucleoprotein NP,0.0548,0.0,0.1419,0.1032,0.0129,0.0452,0.0355,0.029,0.0323,0.0548,0.0161,0.0484,0.0968,0.071,0.0452,0.0806,0.071,0.0258,0.0032,0.0323,neuređen
AAN04448.1 |nucleoprotein,0.0895,0.0067,0.0403,0.0671,0.0447,0.0604,0.0403,0.0559,0.0537,0.1208,0.0291,0.0515,0.0246,0.0761,0.0537,0.038,0.0425,0.0649,0.0067,0.0336,uređen
AAN04448.1 |nucleoprotein,0.0685,0.0,0.1404,0.0993,0.0171,0.0514,0.0342,0.0274,0.024,0.0685,0.0068,0.0582,0.0993,0.0616,0.0514,0.0925,0.0445,0.0171,0.0068,0.0308,neuređen
AAN37504.1 |nucleoprotein NP,0.0839,0.007,0.035,0.0629,0.0513,0.0629,0.0443,0.0466,0.0653,0.1166,0.035,0.042,0.028,0.0723,0.0443,0.0536,0.0373,0.0793,0.007,0.0256,uređen
AAN37504.1 |nucleoprotein NP,0.0548,0.0,0.1419,0.1032,0.0129,0.0452,0.0355,0.029,0.0323,0.0548,0.0161,0.0484,0.0968,0.071,0.0452,0.0806,0.071,0.0258,0.0032,0.0323,neuređen
