Naziv proteina,Molska Frakcija Uredjeni,Molska Frakcija Neuredjeni,Procenat uredjeni,Procenat neuredjeni,Frakcijska Razlika
AJY53712.1|VP35 matrix protein,0.79027,0.20973,79.03%,20.97%,-0.7346
AJY53713.1|matrix protein,0.82838,0.17162,82.84%,17.16%,-0.7928
AKB09571.1|matrix protein VP40,0.80858,0.19142,80.86%,19.14%,-0.7633
AKI84282.1|matrix protein VP40,0.80858,0.19142,80.86%,19.14%,-0.7633
ALS54753.1|matrix protein VP40,0.82838,0.17162,82.84%,17.16%,-0.7928
QYC62007.1|matrix protein VP40,0.80858,0.19142,80.86%,19.14%,-0.7633
WKR37931.1|matrix protein,0.80858,0.19142,80.86%,19.14%,-0.7633
WKR37934.1|matrix protein,0.88142,0.11858,88.14%,11.86%,-0.8655
YP_001531155.1|matrix protein,0.80858,0.19142,80.86%,19.14%,-0.7633
YP_001531158.1|matrix protein,0.87747,0.12253,87.75%,12.25%,-0.8604
YP_009055224.1|matrix protein,0.82838,0.17162,82.84%,17.16%,-0.7928
AHX71952.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
AKL59407.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
AKN24755.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
AKN24764.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
AKN24773.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
AKN24782.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
AKN24791.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
AKN24800.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
AKN24809.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
AKN24818.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
AKN24827.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
AKN24836.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA49347.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA49358.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA49369.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA49380.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA49391.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA49402.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA49413.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA49424.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA49435.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA49446.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA49457.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA49468.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA49479.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA49490.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA49501.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA49512.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA49523.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA49534.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA49545.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA49556.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA49567.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA49578.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA49589.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA49600.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA49611.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA49622.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA49633.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA49644.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA49655.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA49666.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA49677.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA49688.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA49699.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA49710.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA49721.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA49732.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA49743.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA49754.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA49765.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA49776.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA49787.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA49798.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA49809.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA49820.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA49831.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA49842.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA49853.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA49864.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA49875.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA49886.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA49897.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA49908.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA49919.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA49930.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA49941.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA49952.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA49963.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA49974.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA49985.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA49996.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA50007.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA50018.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA50029.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA50040.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA50051.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA50062.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALA50073.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALR69647.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ALT66876.1|membrane protein,0.80488,0.19512,80.49%,19.51%,-0.7576
ALT66886.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ANC28651.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ANC28662.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ANC28673.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ANC28684.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ANC28695.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ANC28706.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ANC28717.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ANI69830.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ANI69841.1|membrane protein,0.9589,0.0411,95.89%,4.11%,-0.9571
ANI69852.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ANI69863.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ANI69873.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ANI69884.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ANI69895.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ANI69906.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ANI69917.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ANI69928.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
AQZ41291.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
AQZ41302.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
AQZ41317.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
AQZ41327.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
AQZ41338.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
AQZ41349.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
AQZ41360.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
AQZ41371.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
AQZ41382.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ARQ84741.1|membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ARQ84752.1|membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ARQ84763.1|membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ARQ84774.1|membrane protein,0.94977,0.05023,94.98%,5.02%,-0.9471
ASU45702.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU45714.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU45725.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU45736.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU45747.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU45758.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU45769.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU45780.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU45791.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU45802.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU45813.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU45824.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU45835.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU45846.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU45857.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU45868.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU45879.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU89927.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU89939.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU89950.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU89961.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU89972.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU89983.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU89994.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90005.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90016.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90027.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90038.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90049.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90060.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90071.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90082.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90093.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90104.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90115.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90126.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90137.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90148.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90159.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90170.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90181.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90192.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90203.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90214.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90225.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90236.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90247.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90258.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90269.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90280.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90291.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90301.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90313.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90324.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90346.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90357.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90368.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90379.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90390.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90401.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90412.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90423.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90434.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90445.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90467.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90478.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90489.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90500.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90511.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90522.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90533.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90544.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90555.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90566.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90577.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90588.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90599.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90610.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90621.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90632.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90643.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90654.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90665.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
ASU90676.1|membrane protein,0.95434,0.04566,95.43%,4.57%,-0.9522
