molska_frakcija_za_A,molska_frakcija_za_C,molska_frakcija_za_D,molska_frakcija_za_E,molska_frakcija_za_F,molska_frakcija_za_G,molska_frakcija_za_H,molska_frakcija_za_I,molska_frakcija_za_K,molska_frakcija_za_L,molska_frakcija_za_M,molska_frakcija_za_N,molska_frakcija_za_P,molska_frakcija_za_Q,molska_frakcija_za_R,molska_frakcija_za_S,molska_frakcija_za_T,molska_frakcija_za_V,molska_frakcija_za_W,molska_frakcija_za_Y,Klasifikacija
0.095,0.0,0.055,0.06,0.01,0.05,0.045,0.025,0.04,0.04,0.015,0.075,0.075,0.04,0.03,0.15,0.145,0.04,0.0,0.01,0
0.095,0.0,0.055,0.06,0.01,0.05,0.045,0.025,0.04,0.04,0.015,0.075,0.075,0.04,0.03,0.15,0.145,0.04,0.0,0.01,0
0.027,0.0,0.0405,0.0541,0.0,0.0405,0.0405,0.0135,0.0541,0.027,0.0405,0.0,0.0811,0.027,0.0946,0.2703,0.0811,0.0946,0.0,0.0135,0
0.027,0.0,0.0405,0.0541,0.0,0.0405,0.0405,0.0135,0.0541,0.027,0.0405,0.0,0.0811,0.027,0.0946,0.2703,0.0811,0.0946,0.0,0.0135,0
0.064,0.0269,0.0496,0.0496,0.0579,0.0888,0.0165,0.0744,0.0496,0.093,0.0021,0.0455,0.0434,0.0393,0.0537,0.0413,0.0868,0.0599,0.0289,0.0289,1
0.0672,0.0328,0.0493,0.0328,0.0563,0.0696,0.0133,0.0563,0.0367,0.0923,0.0141,0.0602,0.0438,0.0539,0.0297,0.0891,0.0672,0.0688,0.0078,0.0586,1
0.0927,0.0,0.0537,0.0585,0.0098,0.0488,0.0439,0.0244,0.0439,0.0439,0.0146,0.078,0.0732,0.039,0.0341,0.1463,0.1463,0.039,0.0,0.0098,0
0.0969,0.0,0.0561,0.0612,0.0102,0.051,0.0459,0.0204,0.0357,0.0408,0.0153,0.0765,0.0714,0.0408,0.0306,0.1531,0.148,0.0408,0.0,0.0051,0
0.027,0.0,0.0405,0.0541,0.0,0.0405,0.0405,0.0135,0.0541,0.027,0.0405,0.0,0.0811,0.027,0.0946,0.2703,0.0811,0.0946,0.0,0.0135,0
0.095,0.0,0.055,0.06,0.01,0.055,0.05,0.02,0.035,0.035,0.015,0.07,0.08,0.04,0.035,0.145,0.16,0.035,0.0,0.005,0
0.095,0.0,0.055,0.06,0.01,0.05,0.045,0.025,0.04,0.04,0.015,0.075,0.075,0.04,0.03,0.15,0.145,0.04,0.0,0.01,0
0.0672,0.0328,0.0493,0.0328,0.0555,0.0696,0.0133,0.0563,0.0367,0.0923,0.0141,0.0602,0.0438,0.0539,0.0297,0.0884,0.068,0.0696,0.0078,0.0586,1
0.095,0.0,0.055,0.06,0.01,0.05,0.045,0.02,0.04,0.04,0.015,0.075,0.075,0.04,0.03,0.15,0.145,0.045,0.0,0.01,0
0.063,0.0252,0.0504,0.0483,0.0567,0.0903,0.0168,0.0735,0.0483,0.0924,0.0021,0.0483,0.0441,0.0399,0.0567,0.0357,0.0882,0.0609,0.0294,0.0294,1
0.0485,0.0097,0.0388,0.0825,0.0049,0.0631,0.0097,0.034,0.0388,0.0728,0.0146,0.0388,0.1262,0.0388,0.0631,0.1311,0.1456,0.034,0.0,0.0049,0
0.0323,0.0,0.0323,0.0323,0.0215,0.0323,0.0323,0.0215,0.0645,0.0215,0.0323,0.0215,0.0753,0.043,0.0753,0.3011,0.0538,0.086,0.0,0.0215,0
0.063,0.0252,0.0504,0.0483,0.0567,0.0903,0.0168,0.0756,0.0483,0.0924,0.0021,0.0483,0.0441,0.0399,0.0567,0.0357,0.0882,0.0588,0.0294,0.0294,1
0.0651,0.0252,0.0546,0.0483,0.0567,0.0882,0.0168,0.0756,0.0483,0.0924,0.0021,0.0462,0.0441,0.0399,0.0567,0.0357,0.0882,0.0567,0.0294,0.0294,1
0.063,0.0252,0.0504,0.0483,0.0567,0.0903,0.0168,0.0756,0.0483,0.0924,0.0021,0.0483,0.0441,0.0399,0.0567,0.0357,0.0882,0.0588,0.0294,0.0294,1
0.063,0.0252,0.0504,0.0483,0.0567,0.0903,0.0168,0.0756,0.0483,0.0924,0.0021,0.0483,0.0441,0.0399,0.0567,0.0357,0.0882,0.0588,0.0294,0.0294,1
0.027,0.0,0.0405,0.0541,0.0,0.0405,0.0405,0.0135,0.0541,0.027,0.0405,0.0,0.0811,0.027,0.0946,0.2703,0.0811,0.0946,0.0,0.0135,0
0.0,0.0,0.0392,0.0392,0.0,0.0196,0.0588,0.0196,0.0588,0.0392,0.0588,0.0,0.098,0.0392,0.098,0.2157,0.1176,0.0784,0.0,0.0196,0
