molska_frakcija_za_A,molska_frakcija_za_C,molska_frakcija_za_D,molska_frakcija_za_E,molska_frakcija_za_F,molska_frakcija_za_G,molska_frakcija_za_H,molska_frakcija_za_I,molska_frakcija_za_K,molska_frakcija_za_L,molska_frakcija_za_M,molska_frakcija_za_N,molska_frakcija_za_P,molska_frakcija_za_Q,molska_frakcija_za_R,molska_frakcija_za_S,molska_frakcija_za_T,molska_frakcija_za_V,molska_frakcija_za_W,molska_frakcija_za_Y,Klasifikacija
0.0989,0.0,0.0549,0.0604,0.0055,0.0495,0.044,0.0275,0.044,0.044,0.011,0.0824,0.0659,0.044,0.0275,0.1374,0.1484,0.044,0.0,0.011,0
0.0989,0.0,0.0549,0.0604,0.0055,0.0495,0.044,0.0275,0.044,0.044,0.011,0.0824,0.0659,0.044,0.0275,0.1374,0.1484,0.044,0.0,0.011,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0
0.0656,0.0258,0.0497,0.0497,0.0577,0.0875,0.0179,0.0696,0.0477,0.0895,0.004,0.0437,0.0477,0.0378,0.0517,0.0497,0.0895,0.0596,0.0278,0.0278,1
0.0652,0.0311,0.0489,0.0341,0.0534,0.0682,0.0148,0.0541,0.0378,0.089,0.0156,0.0571,0.0452,0.0526,0.0326,0.0986,0.0682,0.0697,0.0074,0.0563,1
0.0984,0.0,0.0546,0.0601,0.0055,0.0492,0.0437,0.0273,0.0437,0.0437,0.0109,0.082,0.0656,0.0437,0.0273,0.1421,0.1475,0.0437,0.0,0.0109,0
0.0994,0.0,0.0552,0.0552,0.0055,0.0497,0.0442,0.0221,0.0442,0.0497,0.011,0.0829,0.0608,0.0442,0.0276,0.1381,0.1492,0.0497,0.0,0.011,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0
0.1056,0.0,0.0556,0.05,0.0,0.0556,0.05,0.0278,0.0389,0.0333,0.0111,0.0778,0.0722,0.05,0.0389,0.1278,0.1611,0.0389,0.0,0.0056,0
0.0989,0.0,0.0549,0.0604,0.0055,0.0495,0.044,0.0275,0.044,0.044,0.011,0.0824,0.0659,0.044,0.0275,0.1374,0.1484,0.044,0.0,0.011,0
0.0652,0.0311,0.0489,0.0341,0.0526,0.0682,0.0148,0.0541,0.0378,0.089,0.0156,0.0571,0.0452,0.0526,0.0326,0.0979,0.0689,0.0704,0.0074,0.0563,1
