Naziv_proteina,molska_frakcija_A_uredjen,molska_frakcija_A_neuredjen,frakcijska_razlika_A,molska_frakcija_C_uredjen,molska_frakcija_C_neuredjen,frakcijska_razlika_C,molska_frakcija_D_uredjen,molska_frakcija_D_neuredjen,frakcijska_razlika_D,molska_frakcija_E_uredjen,molska_frakcija_E_neuredjen,frakcijska_razlika_E,molska_frakcija_F_uredjen,molska_frakcija_F_neuredjen,frakcijska_razlika_F,molska_frakcija_G_uredjen,molska_frakcija_G_neuredjen,frakcijska_razlika_G,molska_frakcija_H_uredjen,molska_frakcija_H_neuredjen,frakcijska_razlika_H,molska_frakcija_I_uredjen,molska_frakcija_I_neuredjen,frakcijska_razlika_I,molska_frakcija_K_uredjen,molska_frakcija_K_neuredjen,frakcijska_razlika_K,molska_frakcija_L_uredjen,molska_frakcija_L_neuredjen,frakcijska_razlika_L,molska_frakcija_M_uredjen,molska_frakcija_M_neuredjen,frakcijska_razlika_M,molska_frakcija_N_uredjen,molska_frakcija_N_neuredjen,frakcijska_razlika_N,molska_frakcija_P_uredjen,molska_frakcija_P_neuredjen,frakcijska_razlika_P,molska_frakcija_Q_uredjen,molska_frakcija_Q_neuredjen,frakcijska_razlika_Q,molska_frakcija_R_uredjen,molska_frakcija_R_neuredjen,frakcijska_razlika_R,molska_frakcija_S_uredjen,molska_frakcija_S_neuredjen,frakcijska_razlika_S,molska_frakcija_T_uredjen,molska_frakcija_T_neuredjen,frakcijska_razlika_T,molska_frakcija_V_uredjen,molska_frakcija_V_neuredjen,frakcijska_razlika_V,molska_frakcija_W_uredjen,molska_frakcija_W_neuredjen,frakcijska_razlika_W,molska_frakcija_Y_uredjen,molska_frakcija_Y_neuredjen,frakcijska_razlika_Y
AAD14585.1 ___virion spike glycoprotein precursor,0.0459,0.0251,0.8235,0.0178,0.0,0.0,0.0355,0.0163,1.1818,0.037,0.0163,1.2727,0.0414,0.003,13.0,0.0636,0.0148,3.3,0.0118,0.0148,-0.2,0.0562,0.0059,8.5,0.034,0.0104,2.2857,0.0666,0.0089,6.5,0.0015,0.0044,-0.6667,0.034,0.0207,0.6429,0.0311,0.0207,0.5,0.0281,0.0118,1.375,0.0414,0.0074,4.6,0.0281,0.0429,-0.3448,0.0636,0.0444,0.4333,0.0399,0.0118,2.375,0.0207,0.0,0,0.0207,0.0015,13.0
AAQ55048.1 ___virion spike glycoprotein precursor,0.0473,0.0266,0.7778,0.0178,0.0,0.0,0.034,0.0163,1.0909,0.0355,0.0192,0.8462,0.0399,0.003,12.5,0.0636,0.0148,3.3,0.0118,0.0148,-0.2,0.0547,0.0059,8.25,0.034,0.0104,2.2857,0.0651,0.0104,5.2857,0.0015,0.0044,-0.6667,0.034,0.0207,0.6429,0.0311,0.0251,0.2353,0.0281,0.0118,1.375,0.0399,0.0104,2.8571,0.0251,0.0414,-0.3929,0.0621,0.0459,0.3548,0.0385,0.0118,2.25,0.0207,0.0,0,0.0207,0.0015,13.0
ABX75367.1 ___virion spike glycoprotein precursor,0.0459,0.0251,0.8235,0.0178,0.0,0.0,0.0355,0.0163,1.1818,0.037,0.0163,1.2727,0.0414,0.003,13.0,0.0636,0.0148,3.3,0.0118,0.0148,-0.2,0.0562,0.0059,8.5,0.034,0.0104,2.2857,0.0666,0.0089,6.5,0.0015,0.0044,-0.6667,0.034,0.0207,0.6429,0.0311,0.0207,0.5,0.0281,0.0118,1.375,0.0414,0.0074,4.6,0.0281,0.0429,-0.3448,0.0636,0.0444,0.4333,0.0399,0.0118,2.375,0.0207,0.0,0,0.0207,0.0015,13.0
ACI28624.1 ___spike glycoprotein precursor,0.0385,0.0118,2.25,0.0178,0.0,0.0,0.0325,0.0178,0.8333,0.0355,0.0207,0.7143,0.0414,0.0015,27.0,0.0503,0.0089,4.6667,0.0163,0.0133,0.2222,0.0473,0.0104,3.5714,0.034,0.0044,6.6667,0.0621,0.0148,3.2,0.003,0.0059,-0.5,0.0385,0.0251,0.5294,0.034,0.0488,-0.303,0.0237,0.0148,0.6,0.0311,0.0207,0.5,0.0251,0.0281,-0.1053,0.0621,0.0577,0.0769,0.0459,0.0133,2.4444,0.0207,0.0,0,0.0207,0.0015,13.0
ACI28632.1 ___spike glycoprotein precursor,0.0414,0.0192,1.1538,0.0192,0.0,0.0,0.0311,0.0133,1.3333,0.0325,0.0222,0.4667,0.0429,0.0044,8.6667,0.0533,0.0163,2.2727,0.0133,0.0133,0.0,0.0503,0.0089,4.6667,0.034,0.0118,1.875,0.0621,0.0178,2.5,0.003,0.0074,-0.6,0.0444,0.0148,2.0,0.0281,0.0444,-0.3667,0.0207,0.0163,0.2727,0.0311,0.0104,2.0,0.0237,0.037,-0.36,0.0607,0.0533,0.1389,0.0414,0.0178,1.3333,0.0207,0.0,0,0.0178,0.0,0.0
AGB56686.1 ___virion spike glycoprotein precursor,0.0473,0.0281,0.6842,0.0178,0.0,0.0,0.0355,0.0163,1.1818,0.034,0.0192,0.7692,0.0399,0.003,12.5,0.0636,0.0133,3.7778,0.0118,0.0148,-0.2,0.0547,0.003,17.5,0.034,0.0118,1.875,0.0651,0.0104,5.2857,0.0015,0.003,-0.5,0.034,0.0207,0.6429,0.0311,0.0251,0.2353,0.0281,0.0104,1.7143,0.0399,0.0089,3.5,0.0251,0.0444,-0.4333,0.0621,0.0459,0.3548,0.0385,0.0133,1.8889,0.0207,0.0,0,0.0207,0.003,6.0
AGB56695.1 ___virion spike glycoprotein precursor,0.0473,0.0281,0.6842,0.0178,0.0,0.0,0.0355,0.0163,1.1818,0.034,0.0192,0.7692,0.0399,0.003,12.5,0.0636,0.0133,3.7778,0.0118,0.0148,-0.2,0.0547,0.003,17.5,0.034,0.0118,1.875,0.0651,0.0104,5.2857,0.0015,0.003,-0.5,0.034,0.0207,0.6429,0.0311,0.0251,0.2353,0.0281,0.0104,1.7143,0.0399,0.0089,3.5,0.0251,0.0444,-0.4333,0.0621,0.0459,0.3548,0.0385,0.0133,1.8889,0.0207,0.0,0,0.0207,0.003,6.0
AGB56704.1 ___virion spike glycoprotein precursor,0.0473,0.0281,0.6842,0.0178,0.0,0.0,0.0355,0.0163,1.1818,0.034,0.0192,0.7692,0.0399,0.003,12.5,0.0636,0.0133,3.7778,0.0118,0.0148,-0.2,0.0547,0.003,17.5,0.034,0.0118,1.875,0.0651,0.0104,5.2857,0.0015,0.003,-0.5,0.034,0.0207,0.6429,0.0311,0.0251,0.2353,0.0281,0.0104,1.7143,0.0399,0.0089,3.5,0.0251,0.0444,-0.4333,0.0621,0.0459,0.3548,0.0385,0.0133,1.8889,0.0207,0.0,0,0.0207,0.003,6.0
AGB56713.1 ___virion spike glycoprotein precursor,0.0473,0.0281,0.6842,0.0178,0.0,0.0,0.0355,0.0163,1.1818,0.034,0.0192,0.7692,0.0399,0.003,12.5,0.0636,0.0133,3.7778,0.0118,0.0148,-0.2,0.0547,0.003,17.5,0.034,0.0118,1.875,0.0651,0.0104,5.2857,0.0015,0.003,-0.5,0.034,0.0207,0.6429,0.0311,0.0251,0.2353,0.0281,0.0104,1.7143,0.0399,0.0089,3.5,0.0251,0.0444,-0.4333,0.0621,0.0459,0.3548,0.0385,0.0133,1.8889,0.0207,0.0,0,0.0207,0.003,6.0
AGB56722.1 ___virion spike glycoprotein precursor,0.0473,0.0281,0.6842,0.0178,0.0,0.0,0.0355,0.0163,1.1818,0.034,0.0192,0.7692,0.0399,0.003,12.5,0.0636,0.0133,3.7778,0.0118,0.0148,-0.2,0.0547,0.003,17.5,0.034,0.0118,1.875,0.0651,0.0104,5.2857,0.0015,0.003,-0.5,0.034,0.0207,0.6429,0.0311,0.0251,0.2353,0.0281,0.0104,1.7143,0.0399,0.0089,3.5,0.0251,0.0444,-0.4333,0.0621,0.0459,0.3548,0.0385,0.0133,1.8889,0.0207,0.0,0,0.0207,0.003,6.0
AGB56731.1 ___virion spike glycoprotein precursor,0.0473,0.0281,0.6842,0.0178,0.0,0.0,0.0355,0.0163,1.1818,0.034,0.0192,0.7692,0.0399,0.003,12.5,0.0636,0.0133,3.7778,0.0118,0.0148,-0.2,0.0547,0.003,17.5,0.034,0.0118,1.875,0.0651,0.0104,5.2857,0.0015,0.003,-0.5,0.034,0.0207,0.6429,0.0311,0.0251,0.2353,0.0281,0.0104,1.7143,0.0399,0.0089,3.5,0.0251,0.0444,-0.4333,0.0621,0.0459,0.3548,0.0385,0.0133,1.8889,0.0207,0.0,0,0.0207,0.003,6.0
AGB56740.1 ___virion spike glycoprotein precursor,0.0473,0.0281,0.6842,0.0178,0.0,0.0,0.0355,0.0163,1.1818,0.034,0.0192,0.7692,0.0399,0.003,12.5,0.0636,0.0133,3.7778,0.0118,0.0148,-0.2,0.0547,0.003,17.5,0.034,0.0118,1.875,0.0651,0.0104,5.2857,0.0015,0.003,-0.5,0.034,0.0207,0.6429,0.0311,0.0251,0.2353,0.0281,0.0104,1.7143,0.0399,0.0089,3.5,0.0251,0.0444,-0.4333,0.0621,0.0459,0.3548,0.0385,0.0133,1.8889,0.0207,0.0,0,0.0207,0.003,6.0
AGB56749.1 ___virion spike glycoprotein precursor,0.0459,0.0251,0.8235,0.0178,0.0,0.0,0.0355,0.0163,1.1818,0.037,0.0163,1.2727,0.0414,0.003,13.0,0.0636,0.0148,3.3,0.0118,0.0148,-0.2,0.0547,0.0059,8.25,0.034,0.0104,2.2857,0.0666,0.0089,6.5,0.0015,0.0044,-0.6667,0.034,0.0207,0.6429,0.0311,0.0207,0.5,0.0281,0.0118,1.375,0.0414,0.0074,4.6,0.0281,0.0429,-0.3448,0.0651,0.0444,0.4667,0.0399,0.0118,2.375,0.0207,0.0,0,0.0207,0.0015,13.0
AGB56758.1 ___virion spike glycoprotein precursor,0.0459,0.0266,0.7222,0.0178,0.0,0.0,0.0355,0.0148,1.4,0.034,0.0192,0.7692,0.0399,0.003,12.5,0.0636,0.0148,3.3,0.0118,0.0148,-0.2,0.0547,0.0074,6.4,0.034,0.0104,2.2857,0.0651,0.0133,3.8889,0.0015,0.0044,-0.6667,0.034,0.0207,0.6429,0.0311,0.0222,0.4,0.0281,0.0104,1.7143,0.0399,0.0118,2.375,0.0251,0.0414,-0.3929,0.0636,0.0459,0.3871,0.0385,0.0118,2.25,0.0207,0.0,0,0.0207,0.0015,13.0
AGB56767.1 ___virion spike glycoprotein precursor,0.0459,0.0266,0.7222,0.0178,0.0,0.0,0.0355,0.0148,1.4,0.034,0.0192,0.7692,0.0399,0.003,12.5,0.0636,0.0148,3.3,0.0118,0.0148,-0.2,0.0547,0.0059,8.25,0.034,0.0104,2.2857,0.0651,0.0133,3.8889,0.0015,0.0044,-0.6667,0.034,0.0207,0.6429,0.0311,0.0222,0.4,0.0281,0.0118,1.375,0.0399,0.0104,2.8571,0.0251,0.0414,-0.3929,0.0636,0.0473,0.3438,0.0385,0.0118,2.25,0.0207,0.0,0,0.0207,0.0015,13.0
AGB56776.1 ___virion spike glycoprotein precursor,0.0459,0.0251,0.8235,0.0178,0.0,0.0,0.0355,0.0148,1.4,0.034,0.0192,0.7692,0.0399,0.003,12.5,0.0636,0.0148,3.3,0.0118,0.0148,-0.2,0.0547,0.0059,8.25,0.0355,0.0104,2.4286,0.0651,0.0118,4.5,0.0015,0.0044,-0.6667,0.034,0.0207,0.6429,0.0311,0.0237,0.3125,0.0281,0.0118,1.375,0.0385,0.0104,2.7143,0.0251,0.0414,-0.3929,0.0636,0.0488,0.303,0.0385,0.0118,2.25,0.0207,0.0,0,0.0207,0.0015,13.0
AGB56785.1 ___virion spike glycoprotein precursor,0.0459,0.0266,0.7222,0.0178,0.0,0.0,0.0355,0.0148,1.4,0.034,0.0192,0.7692,0.0399,0.003,12.5,0.0636,0.0148,3.3,0.0118,0.0148,-0.2,0.0547,0.0059,8.25,0.034,0.0104,2.2857,0.0651,0.0133,3.8889,0.0015,0.0044,-0.6667,0.034,0.0207,0.6429,0.0311,0.0222,0.4,0.0281,0.0118,1.375,0.0399,0.0104,2.8571,0.0251,0.0414,-0.3929,0.0636,0.0473,0.3438,0.0385,0.0118,2.25,0.0207,0.0,0,0.0207,0.0015,13.0
AGB56794.1 ___virion spike glycoprotein precursor,0.0473,0.0266,0.7778,0.0178,0.0,0.0,0.0355,0.0163,1.1818,0.034,0.0192,0.7692,0.0399,0.003,12.5,0.0636,0.0148,3.3,0.0118,0.0148,-0.2,0.0547,0.0059,8.25,0.034,0.0104,2.2857,0.0651,0.0118,4.5,0.0015,0.0044,-0.6667,0.034,0.0207,0.6429,0.0311,0.0237,0.3125,0.0281,0.0118,1.375,0.0399,0.0104,2.8571,0.0251,0.0414,-0.3929,0.0621,0.0459,0.3548,0.0385,0.0118,2.25,0.0207,0.0,0,0.0207,0.0015,13.0
