molska_frakcija_za_A,molska_frakcija_za_C,molska_frakcija_za_D,molska_frakcija_za_E,molska_frakcija_za_F,molska_frakcija_za_G,molska_frakcija_za_H,molska_frakcija_za_I,molska_frakcija_za_K,molska_frakcija_za_L,molska_frakcija_za_M,molska_frakcija_za_N,molska_frakcija_za_P,molska_frakcija_za_Q,molska_frakcija_za_R,molska_frakcija_za_S,molska_frakcija_za_T,molska_frakcija_za_V,molska_frakcija_za_W,molska_frakcija_za_Y,Klasifikacija
0.529,0.7609,0.4164,0.3129,0.9485,0.9321,0.4182,0.8056,0.6216,0.6323,0.0047,0.216,0.1473,0.3385,0.8308,0.0557,0.3618,0.6624,0.8543,0.4122,
0.843,0.0,0.5589,0.3907,0.0116,0.5927,0.882,0.063,0.629,0.1774,0.5493,0.736,0.3173,0.6185,0.5625,0.6018,0.6931,0.2749,0.0,0.1672,0.0
0.529,0.7609,0.4164,0.3129,0.9485,0.9321,0.4182,0.8056,0.6216,0.6323,0.0047,0.216,0.1473,0.3385,0.8308,0.0557,0.3618,0.6624,0.8543,0.4122,1.0
0.529,0.7609,0.4164,0.3129,0.9485,0.9321,0.4182,0.8056,0.6216,0.6323,0.0047,0.216,0.1473,0.3385,0.8308,0.0557,0.3618,0.6624,0.8543,0.4122,
0.843,0.0,0.5589,0.3907,0.0116,0.5927,0.882,0.063,0.629,0.1774,0.5493,0.736,0.3173,0.6185,0.5625,0.6018,0.6931,0.2749,0.0,0.1672,
0.529,0.7609,0.4164,0.3129,0.9485,0.9321,0.4182,0.8056,0.6216,0.6323,0.0047,0.216,0.1473,0.3385,0.8308,0.0557,0.3618,0.6624,0.8543,0.4122,0.0
0.843,0.0,0.5589,0.3907,0.0116,0.5927,0.882,0.063,0.629,0.1774,0.5493,0.736,0.3173,0.6185,0.5625,0.6018,0.6931,0.2749,0.0,0.1672,1.0
0.6747,0.4723,0.3753,0.1287,0.294,0.5099,0.4718,0.2614,0.8256,0.0942,0.9155,0.088,0.326,0.5292,0.8247,0.9543,0.0495,0.7251,0.0,0.4814,0.0
0.529,0.7609,0.4164,0.3129,0.9485,0.9321,0.4182,0.8056,0.6216,0.6323,0.0047,0.216,0.1473,0.3385,0.8308,0.0557,0.3618,0.6624,0.8543,0.4122,
0.826,0.0,0.537,0.3787,0.01,0.654,0.9893,0.1206,0.5012,0.1713,0.5399,0.6464,0.3435,0.6,0.5549,0.5704,0.8035,0.1929,0.0,0.0878,
0.4979,0.9708,0.3781,0.0749,0.887,0.6573,0.2601,0.5107,0.3563,0.6834,0.5822,0.44,0.1247,0.8554,0.4558,0.2821,0.2432,0.8215,0.2381,0.9595,1.0
0.843,0.0,0.5589,0.3907,0.0116,0.5927,0.882,0.063,0.516,0.1774,0.5493,0.736,0.3173,0.6185,0.5625,0.6018,0.6931,0.3489,0.0,0.1672,0.0
0.6337,0.8222,0.2658,0.265,0.8322,0.6904,0.6488,0.8566,0.6486,0.7505,0.1221,0.4976,0.1554,0.5723,0.6448,0.079,0.25,0.3617,0.9216,0.5287,
0.843,0.0,0.5589,0.3907,0.0116,0.5927,0.882,0.063,0.629,0.1774,0.5493,0.736,0.3173,0.6185,0.5625,0.6018,0.6931,0.2749,0.0,0.1672,0.0
0.5134,0.9738,0.3589,0.0763,0.8605,0.6738,0.2601,0.5134,0.3587,0.6944,0.5869,0.456,0.132,0.8338,0.4573,0.2712,0.2446,0.8248,0.2409,0.9476,
0.4328,0.1137,0.2219,0.3817,0.0648,0.5596,0.4155,0.2265,0.3612,0.1463,1.0,0.92,0.5543,0.7631,0.4162,0.6808,0.6301,0.373,0.0,0.0659,0.0
0.8317,0.0,0.5452,0.4521,0.0116,0.5083,0.9946,0.0,0.6192,0.1733,0.3286,0.6528,0.3793,0.4646,0.5564,0.5951,0.7466,0.3424,0.0,0.1655,1.0
0.529,0.7609,0.4164,0.3129,0.9485,0.9321,0.4182,0.8056,0.5676,0.6323,0.0047,0.216,0.1473,0.3385,0.8628,0.0557,0.3618,0.6624,0.8543,0.4122,0.0
0.529,0.7609,0.4164,0.3129,0.9485,0.9321,0.4182,0.7775,0.6216,0.6323,0.0047,0.216,0.1473,0.3385,0.8308,0.0557,0.3618,0.6977,0.8543,0.4122,
0.826,0.0,0.537,0.3787,0.01,0.654,0.9893,0.1206,0.5012,0.1713,0.5399,0.6464,0.3435,0.6,0.5549,0.5704,0.8035,0.1929,0.0,0.0878,0.0
0.843,0.0,0.5589,0.3907,0.0116,0.5927,0.882,0.063,0.629,0.1774,0.5493,0.736,0.3173,0.6185,0.5625,0.6018,0.6931,0.2749,0.0,0.1672,1.0
0.6337,0.8222,0.2658,0.265,0.8322,0.6904,0.6488,0.8566,0.6486,0.7505,0.1221,0.4976,0.1554,0.5723,0.6448,0.079,0.25,0.3617,0.9216,0.5287,0.0
0.843,0.0,0.5589,0.3907,0.0116,0.5927,0.882,0.0013,0.629,0.1774,0.5493,0.736,0.3173,0.6185,0.5625,0.6018,0.6931,0.3489,0.0,0.1672,
0.4229,0.8105,0.3753,0.3593,0.9352,0.7897,0.5764,0.748,0.6904,0.6202,0.1174,0.4096,0.151,0.2677,0.6707,0.01,0.3841,0.7974,0.9076,0.4814,0.0
0.8317,0.0,0.5452,0.4521,0.0116,0.5083,0.9946,0.0,0.6192,0.1733,0.3286,0.6528,0.3793,0.4646,0.5564,0.5951,0.7466,0.3424,0.0,0.1655,1.0
0.843,0.0,0.5589,0.3907,0.0116,0.5927,0.882,0.063,0.629,0.1774,0.5493,0.736,0.3173,0.6185,0.5625,0.6018,0.6931,0.2749,0.0,0.1672,0.0
0.6789,0.5102,0.4849,0.0883,0.2259,0.5894,0.5201,0.2252,0.7887,0.1253,0.723,0.0448,0.2823,0.4585,0.8918,0.9015,0.1131,0.9035,0.0,0.4274,
0.826,0.0,0.537,0.3787,0.01,0.654,0.9893,0.1206,0.3907,0.1713,0.5399,0.6464,0.3435,0.7385,0.5549,0.5704,0.8035,0.1929,0.0,0.0878,
0.843,0.0,0.5589,0.3907,0.0116,0.5927,0.882,0.063,0.629,0.1774,0.5493,0.736,0.3173,0.6185,0.5625,0.6018,0.6931,0.2749,0.0,0.1672,1.0
0.843,0.0,0.5589,0.3907,0.0116,0.5927,0.882,0.063,0.629,0.1774,0.5493,0.736,0.3173,0.6185,0.5625,0.6018,0.6931,0.2749,0.0,0.1672,
0.843,0.0,0.5589,0.3907,0.0116,0.5927,0.882,0.063,0.629,0.1774,0.5493,0.736,0.3173,0.6185,0.5625,0.6018,0.6931,0.2749,0.0,0.1672,1.0
0.529,0.7609,0.4164,0.3129,0.9485,0.9321,0.4182,0.8056,0.6216,0.6323,0.0047,0.216,0.1473,0.3385,0.8308,0.0557,0.3618,0.6624,0.8543,0.4122,0.0
0.6917,0.519,0.5041,0.0943,0.2309,0.505,0.5282,0.2306,0.8059,0.1303,0.7371,0.0512,0.2881,0.4738,0.9024,0.9134,0.1179,0.8232,0.0,0.4341,1.0
0.6634,0.4665,0.3616,0.1228,0.2907,0.5877,0.4665,0.256,0.8108,0.0902,0.9061,0.0816,0.3202,0.5169,0.8963,0.9434,0.0467,0.7138,0.0,0.4764,0.0
0.5035,0.965,0.3452,0.0704,0.892,0.6606,0.2574,0.5161,0.371,0.6754,0.6197,0.4464,0.116,0.8677,0.4527,0.2954,0.2392,0.8119,0.2381,0.951,1.0
0.5884,0.7609,0.3534,0.3114,0.9468,0.9288,0.4182,0.8043,0.6192,0.6523,0.0047,0.2144,0.1466,0.3385,0.8277,0.0552,0.3462,0.6608,0.8515,0.4122,0.0
0.529,0.7609,0.4164,0.3129,0.9485,0.9321,0.4182,0.8056,0.6216,0.6323,0.0047,0.216,0.1473,0.3385,0.8308,0.0557,0.3618,0.6624,0.8543,0.4122,1.0
0.843,0.0,0.5589,0.3907,0.0116,0.5927,0.882,0.0013,0.629,0.1774,0.5493,0.736,0.3173,0.6185,0.5625,0.6018,0.6931,0.3489,0.0,0.1672,0.0
0.529,0.7609,0.4164,0.3129,0.9485,0.9321,0.4182,0.8056,0.6216,0.6323,0.0047,0.216,0.1473,0.3385,0.8308,0.0557,0.3618,0.6624,0.8543,0.4122,1.0
0.529,0.7609,0.4164,0.3129,0.9485,0.9321,0.4182,0.8056,0.6216,0.6323,0.0047,0.216,0.1473,0.3385,0.8308,0.0557,0.3618,0.6624,0.8543,0.4122,0.0
0.7072,0.0,0.5507,0.3862,0.088,0.5877,1.0,0.1233,0.5111,0.1754,0.5493,0.6576,0.2815,0.6123,0.4893,0.6204,0.7825,0.3457,0.0,0.0895,1.0
0.843,0.0,0.5589,0.3907,0.0116,0.5927,0.882,0.063,0.629,0.1774,0.5493,0.736,0.3173,0.6185,0.5625,0.6018,0.6931,0.2749,0.0,0.1672,
0.5035,0.965,0.3452,0.0704,0.892,0.6606,0.2574,0.5161,0.371,0.6754,0.6197,0.4464,0.116,0.8677,0.4527,0.2954,0.2392,0.8119,0.2381,0.951,
0.843,0.0,0.5589,0.3907,0.0116,0.5927,0.882,0.063,0.629,0.1774,0.5493,0.736,0.3173,0.6185,0.5625,0.6018,0.6931,0.2749,0.0,0.1672,
0.5573,0.7609,0.4137,0.3114,0.9468,0.9288,0.4182,0.8043,0.6192,0.6523,0.0047,0.2144,0.1466,0.3385,0.8277,0.0552,0.3462,0.6608,0.8515,0.4122,
0.826,0.0,0.537,0.3787,0.01,0.654,0.9893,0.1206,0.5012,0.1713,0.5399,0.6464,0.3435,0.6,0.5549,0.5704,0.8035,0.1929,0.0,0.0878,0.0
0.4993,0.9592,0.3616,0.0689,0.9037,0.6722,0.2547,0.5134,0.3686,0.6713,0.615,0.4432,0.1211,0.8646,0.4512,0.294,0.2371,0.8087,0.2353,0.9476,1.0
0.529,0.7609,0.4164,0.3129,0.9485,0.9321,0.4182,0.8056,0.6216,0.6323,0.0047,0.216,0.1473,0.3385,0.8308,0.0557,0.3618,0.6624,0.8543,0.4122,0.0
0.843,0.0,0.5589,0.3907,0.0116,0.5927,0.882,0.063,0.629,0.1774,0.5493,0.736,0.3173,0.6185,0.5625,0.6018,0.6931,0.2749,0.0,0.1672,1.0
0.843,0.0,0.5589,0.3907,0.0116,0.5927,0.882,0.063,0.516,0.1774,0.5493,0.736,0.3173,0.6185,0.5625,0.6018,0.6931,0.3489,0.0,0.1672,0.0
0.8373,0.0,0.6767,0.3862,0.0116,0.5877,0.8767,0.0617,0.6241,0.1754,0.5493,0.7312,0.2815,0.6123,0.5595,0.6204,0.689,0.2717,0.0,0.1672,
0.5615,0.7638,0.4795,0.3144,0.9502,0.899,0.4209,0.8083,0.6241,0.6343,0.0047,0.1824,0.1481,0.3415,0.8323,0.0561,0.3631,0.6302,0.8571,0.4139,0.0
0.843,0.0,0.5589,0.3907,0.0116,0.5927,0.882,0.063,0.629,0.1774,0.5493,0.736,0.3173,0.6185,0.5625,0.6018,0.6931,0.2749,0.0,0.1672,1.0
0.529,0.7609,0.4164,0.3129,0.9485,0.9321,0.4182,0.8056,0.6216,0.6323,0.0047,0.216,0.1473,0.3385,0.8308,0.0557,0.3618,0.6624,0.8543,0.4122,0.0
0.529,0.7609,0.4164,0.3129,0.9485,0.9321,0.4182,0.8056,0.6732,0.6323,0.0047,0.1808,0.1473,0.3385,0.8308,0.0557,0.3618,0.6624,0.8543,0.4122,
0.529,0.7609,0.4164,0.3129,0.9485,0.9321,0.4182,0.8056,0.6216,0.6323,0.0047,0.216,0.1473,0.3385,0.8308,0.0557,0.3618,0.6624,0.8543,0.4122,
0.529,0.7609,0.4164,0.3129,0.9485,0.9321,0.4182,0.8056,0.6216,0.6323,0.0047,0.216,0.1473,0.3385,0.8308,0.0557,0.3618,0.6624,0.8543,0.4122,1.0
0.843,0.0,0.5589,0.3907,0.0116,0.5927,0.882,0.063,0.629,0.1774,0.5493,0.736,0.3173,0.6185,0.5625,0.6018,0.6931,0.2749,0.0,0.1672,0.0
0.6803,0.4752,0.5315,0.0509,0.2957,0.6043,0.4745,0.2641,0.8305,0.0962,0.9202,0.0912,0.2888,0.5385,0.8277,0.9343,0.0515,0.8183,0.0,0.3936,1.0
0.7638,0.3178,0.6904,0.0539,0.299,0.3394,0.3324,0.1944,0.7052,0.0992,0.9296,0.1824,0.2516,0.88,0.8323,0.8882,0.1267,1.0,0.0,0.3953,0.0
0.843,0.0,0.5589,0.3907,0.0116,0.5927,0.882,0.0013,0.629,0.1774,0.5493,0.736,0.3173,0.6185,0.5625,0.6018,0.6931,0.3489,0.0,0.1672,1.0
0.6747,0.4723,0.3753,0.1287,0.294,0.5099,0.4718,0.2614,0.8256,0.0942,0.9155,0.088,0.326,0.5292,0.8247,0.9543,0.0495,0.7251,0.0,0.4814,0.0
0.5403,0.7726,0.4356,0.2575,0.9618,0.9503,0.4263,0.7909,0.6904,0.6222,0.0047,0.1904,0.1517,0.3538,0.875,0.0576,0.3699,0.5691,0.8655,0.4189,1.0
0.6803,0.4752,0.5315,0.0509,0.2957,0.6043,0.4745,0.2641,0.8305,0.0962,0.9202,0.0912,0.2888,0.5385,0.8277,0.9343,0.0515,0.8183,0.0,0.3936,0.0
0.5587,0.7609,0.4164,0.3129,0.9485,0.9321,0.4182,0.8351,0.6216,0.6323,0.0047,0.216,0.1473,0.3385,0.8308,0.0557,0.3469,0.627,0.8543,0.4122,1.0
0.6337,0.8222,0.2658,0.265,0.8322,0.6904,0.6488,0.8566,0.6486,0.7505,0.1221,0.4976,0.1554,0.5723,0.6448,0.079,0.25,0.3617,0.9216,0.5287,
0.4979,0.9708,0.3562,0.0749,0.9003,0.6573,0.2601,0.5107,0.3563,0.6834,0.5822,0.44,0.1247,0.8308,0.4695,0.2821,0.2432,0.8215,0.2381,0.9595,
0.529,0.7609,0.4164,0.3129,0.9485,0.9321,0.4182,0.8056,0.6216,0.6323,0.0047,0.216,0.1473,0.3385,0.8308,0.0557,0.3618,0.6624,0.8543,0.4122,0.0
0.843,0.0,0.5589,0.3907,0.0116,0.5927,0.882,0.063,0.629,0.1774,0.5493,0.736,0.3173,0.6185,0.5625,0.6018,0.6931,0.2749,0.0,0.1672,1.0
0.843,0.0,0.5589,0.3907,0.0116,0.5927,0.882,0.063,0.629,0.1774,0.5493,0.736,0.3173,0.6185,0.5625,0.6018,0.6931,0.2749,0.0,0.1672,
0.628,0.0,0.4082,0.4431,0.01,0.649,0.9839,0.118,0.4963,0.2144,0.7512,0.6416,0.3414,0.5908,0.6204,0.5457,0.8299,0.2637,0.0,0.0861,1.0
0.843,0.0,0.5589,0.3907,0.0116,0.5927,0.882,0.063,0.629,0.1774,0.5493,0.736,0.3173,0.6185,0.5625,0.6018,0.6931,0.2749,0.0,0.1672,
0.826,0.0,0.537,0.3787,0.01,0.654,0.9893,0.1206,0.5012,0.1713,0.5399,0.6464,0.3435,0.6,0.5549,0.5704,0.8035,0.1929,0.0,0.0878,1.0
0.843,0.0,0.5589,0.4596,0.0116,0.5927,0.882,0.063,0.516,0.1774,0.5493,0.736,0.3173,0.6185,0.4924,0.6237,0.6931,0.2749,0.0,0.1672,0.0
0.529,0.7609,0.4164,0.3129,0.9485,0.9321,0.4182,0.8056,0.6216,0.6323,0.0047,0.216,0.1473,0.3385,0.8308,0.0557,0.3618,0.6624,0.8543,0.4122,1.0
0.5007,0.9738,0.3589,0.0629,0.8887,0.6308,0.2601,0.5241,0.3587,0.6683,0.5869,0.4432,0.1196,0.8615,0.4695,0.2873,0.25,0.8248,0.2157,0.9764,0.0
0.843,0.0,0.4329,0.4596,0.0116,0.5927,0.882,0.063,0.629,0.1774,0.5493,0.736,0.3173,0.6185,0.5625,0.6018,0.6931,0.2749,0.0,0.1672,1.0
0.8487,0.0,0.5671,0.3952,0.0116,0.5977,0.8847,0.0643,0.6339,0.1333,0.554,0.7424,0.3195,0.6246,0.564,0.6047,0.6978,0.2765,0.0,0.1689,0.0
0.843,0.0,0.5589,0.3907,0.0116,0.5927,0.882,0.063,0.629,0.1774,0.5493,0.736,0.3173,0.6185,0.5625,0.6018,0.6931,0.2749,0.0,0.1672,1.0
0.843,0.0,0.5589,0.3907,0.0116,0.5927,0.882,0.063,0.629,0.1774,0.5493,0.736,0.3173,0.6185,0.5625,0.6018,0.6931,0.2749,0.0,0.1672,0.0
0.5021,0.9621,0.3644,0.0689,0.8904,0.6589,0.2547,0.5147,0.3686,0.6733,0.615,0.4448,0.1276,0.8646,0.4512,0.2907,0.2385,0.8103,0.2381,0.9493,
0.4908,0.9767,0.3616,0.0644,0.892,0.6623,0.2601,0.5147,0.3612,0.6884,0.5869,0.4448,0.1138,0.8646,0.4588,0.2845,0.2459,0.828,0.2409,0.9493,
0.6789,0.5102,0.4849,0.0883,0.2259,0.5894,0.5201,0.2252,0.7887,0.1253,0.723,0.0448,0.2823,0.4585,0.8918,0.9015,0.1131,0.9035,0.0,0.4274,1.0
0.529,0.7609,0.4164,0.3129,0.9485,0.9321,0.4182,0.8056,0.6216,0.6323,0.0047,0.216,0.1473,0.3385,0.8308,0.0557,0.3618,0.6624,0.8543,0.4122,0.0
0.4965,0.9942,0.3288,0.0734,0.8987,0.6689,0.2601,0.5322,0.3759,0.6904,0.5822,0.4112,0.1371,0.8554,0.4558,0.2859,0.2249,0.7653,0.2381,1.0,
0.5573,0.7609,0.4137,0.3114,0.9468,0.9288,0.4182,0.8043,0.6192,0.6523,0.0047,0.2144,0.1466,0.3385,0.8277,0.0552,0.3462,0.6608,0.8515,0.4122,0.0
0.6096,0.7405,0.4356,0.0943,0.2724,0.4487,0.437,0.2306,0.8673,0.3257,0.8545,0.1328,0.2947,0.4492,0.7744,0.9144,0.0318,0.8248,0.0,0.3632,1.0
0.529,0.7609,0.4164,0.3129,0.9485,0.9321,0.4182,0.8056,0.6216,0.6323,0.0047,0.216,0.1473,0.3385,0.8308,0.0557,0.3618,0.6624,0.8543,0.4122,
0.843,0.0,0.5589,0.3907,0.0116,0.5927,0.882,0.0013,0.629,0.2234,0.5493,0.736,0.3173,0.6185,0.5625,0.6018,0.6931,0.2749,0.0,0.1672,1.0
0.843,0.0,0.5589,0.3907,0.0116,0.5927,0.882,0.063,0.629,0.1774,0.5493,0.736,0.3173,0.6185,0.5625,0.6018,0.6931,0.2749,0.0,0.1672,0.0
0.669,0.4694,0.3699,0.1257,0.2924,0.5033,0.4692,0.2587,0.8182,0.0922,0.9108,0.0848,0.3231,0.5231,0.9009,0.9486,0.0481,0.7186,0.0,0.4797,
0.529,0.7609,0.4164,0.3129,0.9485,0.9321,0.4182,0.8056,0.6216,0.6323,0.0047,0.216,0.1473,0.3385,0.8308,0.0557,0.3618,0.6624,0.8543,0.4122,0.0
0.843,0.0,0.5589,0.3907,0.0116,0.5927,0.882,0.063,0.629,0.1774,0.5493,0.736,0.3173,0.6185,0.5625,0.6018,0.6931,0.2749,0.0,0.1672,
