Naziv_proteina
YP_009055222.1|nucleoprotein
YP_009055224.1|matrix protein
YP_009055226.1|minor nucleoprotein
YP_001531153.1|nucleoprotein
YP_001531155.1|matrix protein
YP_001531157.1|minor nucleoprotein
YP_001531158.1|matrix protein
WKR37929.1|nucleoprotein
WKR37931.1|matrix protein
WKR37933.1|minor nucleoprotein
WKR37934.1|matrix protein
UFZ14317.1|nucleoprotein
QYC62005.1|nucleoprotein
QYC62007.1|matrix protein VP40
QYC62009.1|minor nucleoprotein VP30
QIC36345.1|nucleoprotein
QGX74968.1|nucleoprotein
QGX74975.1|nucleoprotein
QGX74982.1|nucleoprotein
QGX74989.1|nucleoprotein
AWO14194.1|nucleoprotein
AJY53711.1|nucleoprotein
AJY53712.1|VP35 matrix protein
AJY53713.1|matrix protein
AJY53714.1|virion spike glycoprotein precursor
AJY53715.1|VP30 minor nucleoprotein
AMZ00478.1|nucleocapsid protein
AMZ00481.1|virion spike glycoprotein
AMZ00488.1|virion spike glycoprotein
AMZ00491.1|nucleocapsid protein
APQ46228.1|nucleoprotein
APQ46229.1|nucleoprotein
ALS54751.1|nucleoprotein
ALS54753.1|matrix protein VP40
ALS54755.1|minor nucleoprotein VP30
AKI84280.1|nucleoprotein
AKI84282.1|matrix protein VP40
AKI84284.1|minor nucleoprotein VP30
AKB09569.1|nucleoprotein
AKB09571.1|matrix protein VP40
AKB09573.1|minor nucleoprotein VP30
AIL25247.1|nucleoprotein
AGL73408.1|nucleoprotein
AGL73415.1|nucleoprotein
AFV31137.1|nucleoprotein
AFV31150.1|nucleoprotein
AFV31157.1|nucleoprotein
AFV31164.1|nucleoprotein
AFV31171.1|nucleoprotein
AFV31178.1|nucleoprotein
AFV31185.1|nucleoprotein
AFV31192.1|nucleoprotein
AFV31199.1|nucleoprotein
AFV31206.1|nucleoprotein
AFV31213.1|nucleoprotein
AFV31220.1|nucleoprotein
AFV31227.1|nucleoprotein
AFV31234.1|nucleoprotein
AFV31241.1|nucleoprotein
AFV31248.1|nucleoprotein
AFV31255.1|nucleoprotein
AFV31262.1|nucleoprotein
AFV31269.1|nucleoprotein
AFV31276.1|nucleoprotein
AFV31283.1|nucleoprotein
AFV31290.1|nucleoprotein
AFV31297.1|nucleoprotein
AFV31304.1|nucleoprotein
AFV31311.1|nucleoprotein
AFV31318.1|nucleoprotein
AFV31325.1|nucleoprotein
AFV31332.1|nucleoprotein
AFV31339.1|nucleoprotein
AFV31346.1|nucleoprotein
AFV31353.1|nucleoprotein
AFV31360.1|nucleoprotein
AFV31367.1|nucleoprotein
AFV31374.1|nucleoprotein
AEW11935.1|nucleoprotein
ADM72988.1|nucleoprotein
ACT79198.1|nucleoprotein
ACT79205.1|nucleoprotein
ACT79212.1|nucleoprotein
ACT79219.1|nucleoprotein
ACT79226.1|nucleoprotein
ACT79233.1|nucleoprotein
ACT79240.1|nucleoprotein
ACD13002.1|nucleoprotein
ACD13009.1|nucleoprotein
ACD13016.1|nucleoprotein
ABS17548.1|nucleoprotein
ABS17555.1|nucleoprotein
ABE27012.1|nucleoprotein
ABE27019.1|nucleoprotein
ABE27026.1|nucleoprotein
ABE27033.1|nucleoprotein
ABE27040.1|nucleoprotein
ABE27047.1|nucleoprotein
ABE27054.1|nucleoprotein
ABE27061.1|nucleoprotein
ABE27068.1|nucleoprotein
ABE27075.1|nucleoprotein
ABE27082.1|nucleoprotein
ABE27089.1|nucleoprotein
ABA87124.1|nucleoprotein
