Naziv_proteina,molska_frakcija_A_uredjen,molska_frakcija_A_neuredjen,frakcijska_razlika_A,molska_frakcija_C_uredjen,molska_frakcija_C_neuredjen,frakcijska_razlika_C,molska_frakcija_D_uredjen,molska_frakcija_D_neuredjen,frakcijska_razlika_D,molska_frakcija_E_uredjen,molska_frakcija_E_neuredjen,frakcijska_razlika_E,molska_frakcija_F_uredjen,molska_frakcija_F_neuredjen,frakcijska_razlika_F,molska_frakcija_G_uredjen,molska_frakcija_G_neuredjen,frakcijska_razlika_G,molska_frakcija_H_uredjen,molska_frakcija_H_neuredjen,frakcijska_razlika_H,molska_frakcija_I_uredjen,molska_frakcija_I_neuredjen,frakcijska_razlika_I,molska_frakcija_K_uredjen,molska_frakcija_K_neuredjen,frakcijska_razlika_K,molska_frakcija_L_uredjen,molska_frakcija_L_neuredjen,frakcijska_razlika_L,molska_frakcija_M_uredjen,molska_frakcija_M_neuredjen,frakcijska_razlika_M,molska_frakcija_N_uredjen,molska_frakcija_N_neuredjen,frakcijska_razlika_N,molska_frakcija_P_uredjen,molska_frakcija_P_neuredjen,frakcijska_razlika_P,molska_frakcija_Q_uredjen,molska_frakcija_Q_neuredjen,frakcijska_razlika_Q,molska_frakcija_R_uredjen,molska_frakcija_R_neuredjen,frakcijska_razlika_R,molska_frakcija_S_uredjen,molska_frakcija_S_neuredjen,frakcijska_razlika_S,molska_frakcija_T_uredjen,molska_frakcija_T_neuredjen,frakcijska_razlika_T,molska_frakcija_V_uredjen,molska_frakcija_V_neuredjen,frakcijska_razlika_V,molska_frakcija_W_uredjen,molska_frakcija_W_neuredjen,frakcijska_razlika_W,molska_frakcija_Y_uredjen,molska_frakcija_Y_neuredjen,frakcijska_razlika_Y
AAD14585.1 |virion spike glycoprotein precursor,0.0444,0.0266,0.6667,0.0178,0.0,0.0,0.037,0.0148,1.5,0.0385,0.0148,1.6,0.0429,0.0015,28.0,0.0636,0.0148,3.3,0.0133,0.0133,0.0,0.0547,0.0074,6.4,0.034,0.0104,2.2857,0.0666,0.0089,6.5,0.003,0.003,0.0,0.0355,0.0192,0.8462,0.0355,0.0163,1.1818,0.0281,0.0118,1.375,0.0399,0.0089,3.5,0.0355,0.0355,0.0,0.0666,0.0414,0.6071,0.0429,0.0089,3.8333,0.0207,0.0,0.0,0.0207,0.0015,13.0
AAQ55048.1 |virion spike glycoprotein precursor,0.0459,0.0281,0.6316,0.0178,0.0,0.0,0.0355,0.0148,1.4,0.0399,0.0148,1.7,0.0429,0.0,0.0,0.0636,0.0148,3.3,0.0133,0.0133,0.0,0.0533,0.0074,6.2,0.034,0.0104,2.2857,0.0651,0.0104,5.2857,0.003,0.003,0.0,0.034,0.0207,0.6429,0.0355,0.0207,0.7143,0.0281,0.0118,1.375,0.0414,0.0089,3.6667,0.034,0.0325,0.0455,0.0666,0.0414,0.6071,0.0399,0.0104,2.8571,0.0207,0.0,0.0,0.0207,0.0015,13.0
ABX75367.1 |virion spike glycoprotein precursor,0.0444,0.0266,0.6667,0.0178,0.0,0.0,0.037,0.0148,1.5,0.0385,0.0148,1.6,0.0429,0.0015,28.0,0.0636,0.0148,3.3,0.0133,0.0133,0.0,0.0547,0.0074,6.4,0.034,0.0104,2.2857,0.0666,0.0089,6.5,0.003,0.003,0.0,0.0355,0.0192,0.8462,0.0355,0.0163,1.1818,0.0281,0.0118,1.375,0.0399,0.0089,3.5,0.0355,0.0355,0.0,0.0666,0.0414,0.6071,0.0429,0.0089,3.8333,0.0207,0.0,0.0,0.0207,0.0015,13.0
ACI28624.1 |spike glycoprotein precursor,0.0399,0.0104,2.8571,0.0178,0.0,0.0,0.034,0.0163,1.0909,0.037,0.0192,0.9231,0.0399,0.003,12.5,0.0518,0.0074,6.0,0.0163,0.0133,0.2222,0.0444,0.0133,2.3333,0.0325,0.0059,4.5,0.0621,0.0148,3.2,0.0059,0.003,1.0,0.0399,0.0237,0.6875,0.037,0.0459,-0.1935,0.0266,0.0118,1.25,0.0296,0.0222,0.3333,0.0296,0.0237,0.25,0.0636,0.0562,0.1316,0.0444,0.0148,2.0,0.0192,0.0015,12.0,0.0207,0.0015,13.0
ACI28632.1 |spike glycoprotein precursor,0.0444,0.0163,1.7273,0.0192,0.0,0.0,0.0325,0.0118,1.75,0.0355,0.0192,0.8462,0.0414,0.0059,6.0,0.0533,0.0163,2.2727,0.0148,0.0118,0.25,0.0503,0.0089,4.6667,0.034,0.0118,1.875,0.0636,0.0163,2.9091,0.0074,0.003,1.5,0.0429,0.0163,1.6364,0.0355,0.037,-0.04,0.0237,0.0133,0.7778,0.0296,0.0118,1.5,0.0311,0.0296,0.05,0.0577,0.0562,0.0263,0.0399,0.0192,1.0769,0.0207,0.0,0.0,0.0178,0.0,0.0
AGB56686.1 |virion spike glycoprotein precursor,0.0459,0.0296,0.55,0.0178,0.0,0.0,0.037,0.0148,1.5,0.0385,0.0148,1.6,0.0429,0.0,0.0,0.0621,0.0148,3.2,0.0133,0.0133,0.0,0.0533,0.0044,11.0,0.034,0.0118,1.875,0.0651,0.0104,5.2857,0.003,0.0015,1.0,0.034,0.0207,0.6429,0.0355,0.0207,0.7143,0.0266,0.0118,1.25,0.0399,0.0089,3.5,0.034,0.0355,-0.0417,0.0651,0.0429,0.5172,0.0399,0.0118,2.375,0.0207,0.0,0.0,0.0207,0.003,6.0
AGB56695.1 |virion spike glycoprotein precursor,0.0459,0.0296,0.55,0.0178,0.0,0.0,0.037,0.0148,1.5,0.0385,0.0148,1.6,0.0429,0.0,0.0,0.0621,0.0148,3.2,0.0133,0.0133,0.0,0.0533,0.0044,11.0,0.034,0.0118,1.875,0.0651,0.0104,5.2857,0.003,0.0015,1.0,0.034,0.0207,0.6429,0.0355,0.0207,0.7143,0.0266,0.0118,1.25,0.0399,0.0089,3.5,0.034,0.0355,-0.0417,0.0651,0.0429,0.5172,0.0399,0.0118,2.375,0.0207,0.0,0.0,0.0207,0.003,6.0
AGB56704.1 |virion spike glycoprotein precursor,0.0459,0.0296,0.55,0.0178,0.0,0.0,0.037,0.0148,1.5,0.0385,0.0148,1.6,0.0429,0.0,0.0,0.0621,0.0148,3.2,0.0133,0.0133,0.0,0.0533,0.0044,11.0,0.034,0.0118,1.875,0.0651,0.0104,5.2857,0.003,0.0015,1.0,0.034,0.0207,0.6429,0.0355,0.0207,0.7143,0.0266,0.0118,1.25,0.0399,0.0089,3.5,0.034,0.0355,-0.0417,0.0651,0.0429,0.5172,0.0399,0.0118,2.375,0.0207,0.0,0.0,0.0207,0.003,6.0
AGB56713.1 |virion spike glycoprotein precursor,0.0459,0.0296,0.55,0.0178,0.0,0.0,0.037,0.0148,1.5,0.0385,0.0148,1.6,0.0429,0.0,0.0,0.0621,0.0148,3.2,0.0133,0.0133,0.0,0.0533,0.0044,11.0,0.034,0.0118,1.875,0.0651,0.0104,5.2857,0.003,0.0015,1.0,0.034,0.0207,0.6429,0.0355,0.0207,0.7143,0.0266,0.0118,1.25,0.0399,0.0089,3.5,0.034,0.0355,-0.0417,0.0651,0.0429,0.5172,0.0399,0.0118,2.375,0.0207,0.0,0.0,0.0207,0.003,6.0
AGB56722.1 |virion spike glycoprotein precursor,0.0459,0.0296,0.55,0.0178,0.0,0.0,0.037,0.0148,1.5,0.0385,0.0148,1.6,0.0429,0.0,0.0,0.0621,0.0148,3.2,0.0133,0.0133,0.0,0.0533,0.0044,11.0,0.034,0.0118,1.875,0.0651,0.0104,5.2857,0.003,0.0015,1.0,0.034,0.0207,0.6429,0.0355,0.0207,0.7143,0.0266,0.0118,1.25,0.0399,0.0089,3.5,0.034,0.0355,-0.0417,0.0651,0.0429,0.5172,0.0399,0.0118,2.375,0.0207,0.0,0.0,0.0207,0.003,6.0
