Naziv proteina,Molska Frakcija Uredjeni,Molska Frakcija Neuredjeni,Procenat uredjeni,Procenat neuredjeni,Frakcijska Razlika
ABA87124.1 ___nucleoprotein,0.50935,0.49065,50.94%,49.06%,-0.0367
ABE27012.1 ___nucleoprotein,0.51799,0.48201,51.8%,48.2%,-0.0694
ABE27019.1 ___nucleoprotein,0.51799,0.48201,51.8%,48.2%,-0.0694
ABE27026.1 ___nucleoprotein,0.51799,0.48201,51.8%,48.2%,-0.0694
ABE27033.1 ___nucleoprotein,0.51799,0.48201,51.8%,48.2%,-0.0694
ABE27040.1 ___nucleoprotein,0.51799,0.48201,51.8%,48.2%,-0.0694
ABE27047.1 ___nucleoprotein,0.51799,0.48201,51.8%,48.2%,-0.0694
ABE27054.1 ___nucleoprotein,0.51799,0.48201,51.8%,48.2%,-0.0694
ABE27061.1 ___nucleoprotein,0.51799,0.48201,51.8%,48.2%,-0.0694
ABE27068.1 ___nucleoprotein,0.49209,0.50791,49.21%,50.79%,0.0322
ABE27075.1 ___nucleoprotein,0.50504,0.49496,50.5%,49.5%,-0.0199
ABE27082.1 ___nucleoprotein,0.50504,0.49496,50.5%,49.5%,-0.0199
ABE27089.1 ___nucleoprotein,0.49209,0.50791,49.21%,50.79%,0.0322
ABS17548.1 ___nucleoprotein,0.49065,0.50935,49.06%,50.94%,0.0381
ABS17555.1 ___nucleoprotein,0.52086,0.47914,52.09%,47.91%,-0.0801
ACD13002.1 ___nucleoprotein,0.49209,0.50791,49.21%,50.79%,0.0322
ACD13009.1 ___nucleoprotein,0.49209,0.50791,49.21%,50.79%,0.0322
ACD13016.1 ___nucleoprotein,0.49209,0.50791,49.21%,50.79%,0.0322
ACT79198.1 ___nucleoprotein,0.49209,0.50791,49.21%,50.79%,0.0322
ACT79205.1 ___nucleoprotein,0.49209,0.50791,49.21%,50.79%,0.0322
ACT79212.1 ___nucleoprotein,0.49209,0.50791,49.21%,50.79%,0.0322
ACT79219.1 ___nucleoprotein,0.49209,0.50791,49.21%,50.79%,0.0322
ACT79226.1 ___nucleoprotein,0.50504,0.49496,50.5%,49.5%,-0.0199
ACT79233.1 ___nucleoprotein,0.50504,0.49496,50.5%,49.5%,-0.0199
ACT79240.1 ___nucleoprotein,0.50504,0.49496,50.5%,49.5%,-0.0199
ADM72988.1 ___nucleoprotein,0.52086,0.47914,52.09%,47.91%,-0.0801
AEW11935.1 ___nucleoprotein,0.52086,0.47914,52.09%,47.91%,-0.0801
AFV31137.1 ___nucleoprotein,0.50935,0.49065,50.94%,49.06%,-0.0367
AFV31150.1 ___nucleoprotein,0.50935,0.49065,50.94%,49.06%,-0.0367
AFV31157.1 ___nucleoprotein,0.50935,0.49065,50.94%,49.06%,-0.0367
AFV31164.1 ___nucleoprotein,0.50935,0.49065,50.94%,49.06%,-0.0367
AFV31171.1 ___nucleoprotein,0.50935,0.49065,50.94%,49.06%,-0.0367
AFV31178.1 ___nucleoprotein,0.50504,0.49496,50.5%,49.5%,-0.0199
AFV31185.1 ___nucleoprotein,0.50504,0.49496,50.5%,49.5%,-0.0199
AFV31192.1 ___nucleoprotein,0.50504,0.49496,50.5%,49.5%,-0.0199
AFV31199.1 ___nucleoprotein,0.50504,0.49496,50.5%,49.5%,-0.0199
AFV31206.1 ___nucleoprotein,0.50791,0.49209,50.79%,49.21%,-0.0312
AFV31213.1 ___nucleoprotein,0.50791,0.49209,50.79%,49.21%,-0.0312
AFV31220.1 ___nucleoprotein,0.50504,0.49496,50.5%,49.5%,-0.0199
AFV31227.1 ___nucleoprotein,0.50504,0.49496,50.5%,49.5%,-0.0199
AFV31234.1 ___nucleoprotein,0.50504,0.49496,50.5%,49.5%,-0.0199
AFV31241.1 ___nucleoprotein,0.50504,0.49496,50.5%,49.5%,-0.0199
AFV31248.1 ___nucleoprotein,0.50504,0.49496,50.5%,49.5%,-0.0199
AFV31255.1 ___nucleoprotein,0.50504,0.49496,50.5%,49.5%,-0.0199
AFV31262.1 ___nucleoprotein,0.50504,0.49496,50.5%,49.5%,-0.0199
AFV31269.1 ___nucleoprotein,0.50504,0.49496,50.5%,49.5%,-0.0199
AFV31276.1 ___nucleoprotein,0.50504,0.49496,50.5%,49.5%,-0.0199
AFV31283.1 ___nucleoprotein,0.50504,0.49496,50.5%,49.5%,-0.0199
AFV31290.1 ___nucleoprotein,0.50504,0.49496,50.5%,49.5%,-0.0199
AFV31297.1 ___nucleoprotein,0.50504,0.49496,50.5%,49.5%,-0.0199
AFV31304.1 ___nucleoprotein,0.50504,0.49496,50.5%,49.5%,-0.0199
AFV31311.1 ___nucleoprotein,0.50504,0.49496,50.5%,49.5%,-0.0199
AFV31318.1 ___nucleoprotein,0.50504,0.49496,50.5%,49.5%,-0.0199
AFV31325.1 ___nucleoprotein,0.5223,0.4777,52.23%,47.77%,-0.0854
AFV31332.1 ___nucleoprotein,0.50935,0.49065,50.94%,49.06%,-0.0367
AFV31339.1 ___nucleoprotein,0.5223,0.4777,52.23%,47.77%,-0.0854
AFV31346.1 ___nucleoprotein,0.50504,0.49496,50.5%,49.5%,-0.0199
AFV31353.1 ___nucleoprotein,0.50504,0.49496,50.5%,49.5%,-0.0199
AFV31360.1 ___nucleoprotein,0.50504,0.49496,50.5%,49.5%,-0.0199
AFV31367.1 ___nucleoprotein,0.49496,0.50504,49.5%,50.5%,0.0203
AFV31374.1 ___nucleoprotein,0.52086,0.47914,52.09%,47.91%,-0.0801
AGL73408.1 ___nucleoprotein,0.52086,0.47914,52.09%,47.91%,-0.0801
AGL73415.1 ___nucleoprotein,0.52086,0.47914,52.09%,47.91%,-0.0801
AIL25247.1 ___nucleoprotein,0.51799,0.48201,51.8%,48.2%,-0.0694
AJY53711.1 ___nucleoprotein,0.50504,0.49496,50.5%,49.5%,-0.0199
AKB09569.1 ___nucleoprotein,0.51799,0.48201,51.8%,48.2%,-0.0694
AKI84280.1 ___nucleoprotein,0.51799,0.48201,51.8%,48.2%,-0.0694
ALS54751.1 ___nucleoprotein,0.49209,0.50791,49.21%,50.79%,0.0322
AMZ00478.1 ___nucleocapsid protein,0.51799,0.48201,51.8%,48.2%,-0.0694
AMZ00491.1 ___nucleocapsid protein,0.49209,0.50791,49.21%,50.79%,0.0322
APQ46228.1 ___nucleoprotein,0.51799,0.48201,51.8%,48.2%,-0.0694
APQ46229.1 ___nucleoprotein,0.51799,0.48201,51.8%,48.2%,-0.0694
