Naziv_proteina,molska_frakcija_A_uredjen,molska_frakcija_A_neuredjen,frakcijska_razlika_A,molska_frakcija_C_uredjen,molska_frakcija_C_neuredjen,frakcijska_razlika_C,molska_frakcija_D_uredjen,molska_frakcija_D_neuredjen,frakcijska_razlika_D,molska_frakcija_E_uredjen,molska_frakcija_E_neuredjen,frakcijska_razlika_E,molska_frakcija_F_uredjen,molska_frakcija_F_neuredjen,frakcijska_razlika_F,molska_frakcija_G_uredjen,molska_frakcija_G_neuredjen,frakcijska_razlika_G,molska_frakcija_H_uredjen,molska_frakcija_H_neuredjen,frakcijska_razlika_H,molska_frakcija_I_uredjen,molska_frakcija_I_neuredjen,frakcijska_razlika_I,molska_frakcija_K_uredjen,molska_frakcija_K_neuredjen,frakcijska_razlika_K,molska_frakcija_L_uredjen,molska_frakcija_L_neuredjen,frakcijska_razlika_L,molska_frakcija_M_uredjen,molska_frakcija_M_neuredjen,frakcijska_razlika_M,molska_frakcija_N_uredjen,molska_frakcija_N_neuredjen,frakcijska_razlika_N,molska_frakcija_P_uredjen,molska_frakcija_P_neuredjen,frakcijska_razlika_P,molska_frakcija_Q_uredjen,molska_frakcija_Q_neuredjen,frakcijska_razlika_Q,molska_frakcija_R_uredjen,molska_frakcija_R_neuredjen,frakcijska_razlika_R,molska_frakcija_S_uredjen,molska_frakcija_S_neuredjen,frakcijska_razlika_S,molska_frakcija_T_uredjen,molska_frakcija_T_neuredjen,frakcijska_razlika_T,molska_frakcija_V_uredjen,molska_frakcija_V_neuredjen,frakcijska_razlika_V,molska_frakcija_W_uredjen,molska_frakcija_W_neuredjen,frakcijska_razlika_W,molska_frakcija_Y_uredjen,molska_frakcija_Y_neuredjen,frakcijska_razlika_Y
AAD14590.1 ___nucleoprotein,0.0823,0.06,0.371,0.0077,0.0,0.0,0.0334,0.1314,-0.7457,0.054,0.1086,-0.5028,0.0591,0.0086,5.898,0.0668,0.0429,0.5596,0.0437,0.0371,0.1766,0.0463,0.0314,0.4723,0.0566,0.0457,0.2371,0.126,0.0514,1.4493,0.036,0.0171,1.0994,0.0411,0.0486,-0.1532,0.0283,0.0886,-0.6807,0.0591,0.0857,-0.3102,0.0463,0.0429,0.0797,0.0488,0.0829,-0.4105,0.0334,0.0714,-0.5321,0.0848,0.0257,2.2991,0.0077,0.0029,1.6992,0.0386,0.0171,1.2494
AAG40164.1 ___nucleoprotein NP,0.0825,0.0598,0.3785,0.0077,0.0,0.0,0.0335,0.1311,-0.7443,0.0541,0.1083,-0.5001,0.0593,0.0085,5.9356,0.067,0.0427,0.568,0.0438,0.037,0.183,0.0464,0.0313,0.4803,0.0567,0.0456,0.2439,0.1263,0.0541,1.333,0.0335,0.0199,0.68,0.0412,0.0484,-0.1486,0.0284,0.0883,-0.679,0.0593,0.0855,-0.3064,0.0464,0.0427,0.0856,0.049,0.0798,-0.3861,0.0335,0.0712,-0.5296,0.0851,0.0256,2.317,0.0077,0.0028,1.7139,0.0387,0.0171,1.2616
AAM76031.1 ___nucleoprotein NP,0.0823,0.06,0.371,0.0077,0.0,0.0,0.0334,0.1314,-0.7457,0.054,0.1086,-0.5028,0.0591,0.0086,5.898,0.0694,0.0429,0.6195,0.0437,0.0371,0.1766,0.0463,0.0314,0.4723,0.0566,0.0457,0.2371,0.126,0.0514,1.4493,0.036,0.0171,1.0994,0.0411,0.0486,-0.1532,0.0283,0.0886,-0.6807,0.0591,0.0857,-0.3102,0.0463,0.0429,0.0797,0.0463,0.0829,-0.4415,0.0334,0.0714,-0.5321,0.0848,0.0257,2.2991,0.0077,0.0029,1.6992,0.0386,0.0171,1.2494
AAN04448.1 ___nucleoprotein,0.0875,0.0728,0.2018,0.0071,0.0,0.0,0.0496,0.1203,-0.5872,0.0544,0.1139,-0.5227,0.0544,0.0063,7.591,0.0638,0.0475,0.3447,0.0426,0.0316,0.3447,0.0496,0.038,0.3073,0.0473,0.0348,0.3583,0.1277,0.0633,1.017,0.0284,0.0095,1.9882,0.0496,0.0601,-0.1743,0.0284,0.0886,-0.6798,0.0615,0.0823,-0.253,0.0378,0.0728,-0.4803,0.0402,0.0854,-0.5296,0.0426,0.0443,-0.0395,0.0709,0.0127,4.6028,0.0095,0.0032,1.9882,0.0473,0.0127,2.7352
AAN37504.1 ___nucleoprotein NP,0.0823,0.06,0.371,0.0077,0.0,0.0,0.0334,0.1314,-0.7457,0.054,0.1086,-0.5028,0.0591,0.0086,5.898,0.0668,0.0429,0.5596,0.0437,0.0371,0.1766,0.0463,0.0314,0.4723,0.0566,0.0457,0.2371,0.126,0.0514,1.4493,0.036,0.0171,1.0994,0.0411,0.0486,-0.1532,0.0283,0.0886,-0.6807,0.0591,0.0857,-0.3102,0.0463,0.0429,0.0797,0.0488,0.0829,-0.4105,0.0334,0.0714,-0.5321,0.0848,0.0257,2.2991,0.0077,0.0029,1.6992,0.0386,0.0171,1.2494
AAN37509.1 ___nucleoprotein VP30,0.0642,0.0891,-0.2799,0.0374,0.0099,2.7807,0.0481,0.0693,-0.3056,0.0642,0.0891,-0.2799,0.0374,0.0099,2.7807,0.0374,0.0594,-0.3699,0.0267,0.0396,-0.3249,0.0481,0.0099,3.861,0.0695,0.0198,2.5107,0.1658,0.0099,15.7433,0.0107,0.0099,0.0802,0.0107,0.0396,-0.7299,0.0374,0.0792,-0.5274,0.0642,0.0594,0.0802,0.0588,0.1386,-0.5756,0.0749,0.1287,-0.4183,0.0695,0.0594,0.1702,0.0535,0.0396,0.3503,0.016,0.0099,0.6203,0.0053,0.0297,-0.82
AAQ55045.1 ___nucleoprotein,0.0823,0.0571,0.4396,0.0077,0.0,0.0,0.0334,0.1314,-0.7457,0.054,0.1086,-0.5028,0.0591,0.0086,5.898,0.0668,0.0429,0.5596,0.0437,0.0371,0.1766,0.0463,0.0229,1.0244,0.0566,0.0429,0.3196,0.126,0.0514,1.4493,0.036,0.0171,1.0994,0.0411,0.0486,-0.1532,0.0283,0.0914,-0.6907,0.0591,0.0857,-0.3102,0.0463,0.0457,0.0122,0.0488,0.08,-0.3895,0.0334,0.08,-0.5823,0.0848,0.0286,1.9692,0.0077,0.0029,1.6992,0.0386,0.0171,1.2494
AAV48574.1 ___nucleoprotein,0.0869,0.0735,0.182,0.007,0.0,0.0,0.0493,0.1214,-0.594,0.0563,0.1118,-0.4962,0.0516,0.0064,7.0822,0.061,0.0511,0.194,0.0423,0.0319,0.3225,0.0516,0.0319,0.6164,0.0469,0.0351,0.3359,0.1244,0.0639,0.9471,0.0282,0.0096,1.939,0.0493,0.0607,-0.1879,0.0282,0.0895,-0.6851,0.0587,0.0831,-0.2935,0.0399,0.0703,-0.4322,0.0423,0.0863,-0.5102,0.0446,0.0447,-0.0029,0.0728,0.0128,4.6942,0.0117,0.0032,2.6737,0.0469,0.0128,2.6737
ABA87124.1 ___nucleoprotein,0.0593,0.0587,0.0114,0.0085,0.0,0.0,0.0424,0.0997,-0.575,0.048,0.1085,-0.5574,0.0452,0.0264,0.7125,0.0678,0.0293,1.3119,0.0395,0.0235,0.6857,0.0706,0.0411,0.7201,0.0537,0.0352,0.5252,0.1328,0.0704,0.8864,0.0028,0.0176,-0.8395,0.0537,0.0528,0.0168,0.0282,0.1056,-0.7324,0.0508,0.088,-0.422,0.0367,0.0557,-0.3409,0.0678,0.088,-0.2294,0.0706,0.0411,0.7201,0.0847,0.0411,1.0642,0.0028,0.0059,-0.5184,0.0339,0.0117,1.8898
ABE27012.1 ___nucleoprotein,0.0583,0.0597,-0.0229,0.0083,0.0,0.0,0.0417,0.0985,-0.577,0.05,0.1075,-0.5347,0.0444,0.0269,0.6543,0.0667,0.0269,1.4815,0.0389,0.0239,0.6285,0.0694,0.0478,0.454,0.0528,0.0358,0.4734,0.1306,0.0716,0.8223,0.0028,0.0119,-0.7674,0.0528,0.0478,0.105,0.0306,0.1015,-0.6989,0.0528,0.0836,-0.3686,0.0389,0.0537,-0.2762,0.0694,0.0985,-0.295,0.0694,0.0418,0.6617,0.0833,0.0448,0.8611,0.0056,0.003,0.8611,0.0333,0.0149,1.2333
