Naziv_proteina,frakcijska_razlika_A,frakcijska_razlika_C,frakcijska_razlika_D,frakcijska_razlika_E,frakcijska_razlika_F,frakcijska_razlika_G,frakcijska_razlika_H,frakcijska_razlika_I,frakcijska_razlika_K,frakcijska_razlika_L,frakcijska_razlika_M,frakcijska_razlika_N,frakcijska_razlika_P,frakcijska_razlika_Q,frakcijska_razlika_R,frakcijska_razlika_S,frakcijska_razlika_T,frakcijska_razlika_V,frakcijska_razlika_W,frakcijska_razlika_Y
AAD14585.1|virion spike glycoprotein precursor,-0.132,0.0,-0.0877,-0.048,5.6638,0.326,-0.524,1.8559,0.1106,0.9515,-0.8413,-0.3753,-0.286,-0.1908,0.7679,-0.7836,-0.4231,0.3751,0.0,2.0939
AAQ55048.1|virion spike glycoprotein precursor,-0.1481,0.0,-0.1214,-0.1153,12.4179,0.3349,-0.5208,2.4503,0.1182,0.9648,-0.8403,-0.371,-0.408,-0.1853,0.3311,-0.7604,-0.4191,0.5574,0.0,2.1149
ABX75367.1|virion spike glycoprotein precursor,-0.132,0.0,-0.0877,-0.048,5.6638,0.326,-0.524,1.8559,0.1106,0.9515,-0.8413,-0.3753,-0.286,-0.1908,0.7679,-0.7836,-0.4231,0.3751,0.0,2.0939
ACI28624.1|spike glycoprotein precursor,0.5689,0.0,-0.0876,-0.134,3.8951,1.6627,-0.3097,1.582,1.3722,0.6944,-0.7176,-0.2155,-0.6862,-0.2298,-0.3293,-0.7828,-0.449,0.6944,0.0,6.9074
ACI28632.1|spike glycoprotein precursor,0.1681,0.0,0.2114,-0.205,2.2708,0.7666,-0.3943,1.8554,0.272,0.9103,-0.5457,-0.0914,-0.6164,-0.3438,0.2787,-0.8296,-0.4952,0.258,0.0,5.6627
AGB56686.1|virion spike glycoprotein precursor,-0.1929,0.0,-0.0815,-0.1522,12.4179,0.4376,-0.5208,3.1931,0.0063,0.9648,-0.7604,-0.371,-0.408,-0.0948,0.4975,-0.7754,-0.386,0.3844,0.0,1.0766
AGB56695.1|virion spike glycoprotein precursor,-0.1929,0.0,-0.0815,-0.1522,12.4179,0.4376,-0.5208,3.1931,0.0063,0.9648,-0.7604,-0.371,-0.408,-0.0948,0.4975,-0.7754,-0.386,0.3844,0.0,1.0766
AGB56704.1|virion spike glycoprotein precursor,-0.1929,0.0,-0.0815,-0.1522,12.4179,0.4376,-0.5208,3.1931,0.0063,0.9648,-0.7604,-0.371,-0.408,-0.0948,0.4975,-0.7754,-0.386,0.3844,0.0,1.0766
AGB56713.1|virion spike glycoprotein precursor,-0.1929,0.0,-0.0815,-0.1522,12.4179,0.4376,-0.5208,3.1931,0.0063,0.9648,-0.7604,-0.371,-0.408,-0.0948,0.4975,-0.7754,-0.386,0.3844,0.0,1.0766
AGB56722.1|virion spike glycoprotein precursor,-0.1929,0.0,-0.0815,-0.1522,12.4179,0.4376,-0.5208,3.1931,0.0063,0.9648,-0.7604,-0.371,-0.408,-0.0948,0.4975,-0.7754,-0.386,0.3844,0.0,1.0766
AGB56731.1|virion spike glycoprotein precursor,-0.1929,0.0,-0.0815,-0.1522,12.4179,0.4376,-0.5208,3.1931,0.0063,0.9648,-0.7604,-0.371,-0.408,-0.0948,0.4975,-0.7754,-0.386,0.3844,0.0,1.0766
AGB56740.1|virion spike glycoprotein precursor,-0.1929,0.0,-0.0815,-0.1522,12.4179,0.4376,-0.5208,3.1931,0.0063,0.9648,-0.7604,-0.371,-0.408,-0.0948,0.4975,-0.7754,-0.386,0.3844,0.0,1.0766
AGB56749.1|virion spike glycoprotein precursor,-0.132,0.0,-0.0877,-0.048,5.6638,0.326,-0.524,1.7766,0.1106,0.9515,-0.8413,-0.3753,-0.286,-0.1908,0.7679,-0.7836,-0.4086,0.3751,0.0,2.0939
