Naziv_proteina,molska_frakcija_A_uredjen,molska_frakcija_A_neuredjen,frakcijska_razlika_A,molska_frakcija_C_uredjen,molska_frakcija_C_neuredjen,frakcijska_razlika_C,molska_frakcija_D_uredjen,molska_frakcija_D_neuredjen,frakcijska_razlika_D,molska_frakcija_E_uredjen,molska_frakcija_E_neuredjen,frakcijska_razlika_E,molska_frakcija_F_uredjen,molska_frakcija_F_neuredjen,frakcijska_razlika_F,molska_frakcija_G_uredjen,molska_frakcija_G_neuredjen,frakcijska_razlika_G,molska_frakcija_H_uredjen,molska_frakcija_H_neuredjen,frakcijska_razlika_H,molska_frakcija_I_uredjen,molska_frakcija_I_neuredjen,frakcijska_razlika_I,molska_frakcija_K_uredjen,molska_frakcija_K_neuredjen,frakcijska_razlika_K,molska_frakcija_L_uredjen,molska_frakcija_L_neuredjen,frakcijska_razlika_L,molska_frakcija_M_uredjen,molska_frakcija_M_neuredjen,frakcijska_razlika_M,molska_frakcija_N_uredjen,molska_frakcija_N_neuredjen,frakcijska_razlika_N,molska_frakcija_P_uredjen,molska_frakcija_P_neuredjen,frakcijska_razlika_P,molska_frakcija_Q_uredjen,molska_frakcija_Q_neuredjen,frakcijska_razlika_Q,molska_frakcija_R_uredjen,molska_frakcija_R_neuredjen,frakcijska_razlika_R,molska_frakcija_S_uredjen,molska_frakcija_S_neuredjen,frakcijska_razlika_S,molska_frakcija_T_uredjen,molska_frakcija_T_neuredjen,frakcijska_razlika_T,molska_frakcija_V_uredjen,molska_frakcija_V_neuredjen,frakcijska_razlika_V,molska_frakcija_W_uredjen,molska_frakcija_W_neuredjen,frakcijska_razlika_W,molska_frakcija_Y_uredjen,molska_frakcija_Y_neuredjen,frakcijska_razlika_Y
AAD14583.1 |matrix protein,0.0583,0.0092,5.3333,0.0061,0.0,0.0,0.0307,0.0215,0.4286,0.0245,0.0031,7.0,0.0276,0.0031,8.0,0.0399,0.0245,0.625,0.0184,0.0031,5.0,0.0767,0.0061,11.5,0.0491,0.0061,7.0,0.089,0.0123,6.25,0.0245,0.0,0.0,0.0245,0.0184,0.3333,0.0951,0.0184,4.1667,0.0337,0.0,0.0,0.0276,0.0061,3.5,0.0491,0.0184,1.6667,0.0613,0.0276,1.2222,0.0583,0.0031,18.0,0.0031,0.0031,0.0,0.0184,0.0,0.0
AAM76033.1 |membrane-associated matrix protein VP40,0.0583,0.0092,5.3333,0.0061,0.0,0.0,0.0307,0.0215,0.4286,0.0245,0.0031,7.0,0.0276,0.0031,8.0,0.0399,0.0245,0.625,0.0184,0.0031,5.0,0.0767,0.0061,11.5,0.0491,0.0061,7.0,0.089,0.0123,6.25,0.0245,0.0,0.0,0.0245,0.0184,0.3333,0.0951,0.0184,4.1667,0.0337,0.0,0.0,0.0276,0.0061,3.5,0.0491,0.0184,1.6667,0.0613,0.0276,1.2222,0.0583,0.0031,18.0,0.0031,0.0031,0.0,0.0184,0.0,0.0
AAN04450.1 |matrix protein VP40,0.0604,0.0091,5.6667,0.006,0.0,0.0,0.0453,0.0151,2.0,0.0181,0.0,0.0,0.0211,0.0,0.0,0.0453,0.0121,2.75,0.0121,0.0151,-0.2,0.0725,0.003,23.0,0.0363,0.0181,1.0,0.1027,0.006,16.0,0.0151,0.0091,0.6667,0.0302,0.0091,2.3333,0.0997,0.0211,3.7143,0.0302,0.0121,1.5,0.0272,0.006,3.5,0.0483,0.0181,1.6667,0.0634,0.006,9.5,0.0725,0.003,23.0,0.006,0.0,0.0,0.0181,0.006,2.0
AAQ55047.1 |matrix protein,0.0583,0.0092,5.3333,0.0061,0.0,0.0,0.0307,0.0215,0.4286,0.0245,0.0031,7.0,0.0276,0.0031,8.0,0.0399,0.0245,0.625,0.0184,0.0031,5.0,0.0767,0.0061,11.5,0.0491,0.0061,7.0,0.089,0.0123,6.25,0.0245,0.0,0.0,0.0245,0.0184,0.3333,0.0951,0.0184,4.1667,0.0337,0.0,0.0,0.0276,0.0061,3.5,0.0491,0.0184,1.6667,0.0613,0.0276,1.2222,0.0583,0.0031,18.0,0.0031,0.0031,0.0,0.0184,0.0,0.0
AAU43885.1 |matrix protein,0.0613,0.0031,19.0,0.0061,0.0,0.0,0.0429,0.0153,1.8,0.0184,0.0031,5.0,0.0276,0.0,0.0,0.0552,0.0061,8.0,0.0184,0.0061,2.0,0.0706,0.0031,22.0,0.0583,0.0031,18.0,0.1043,0.0031,33.0,0.0245,0.0092,1.6667,0.0276,0.0061,3.5,0.1012,0.0092,10.0,0.0399,0.0061,5.5,0.0245,0.0061,3.0,0.0583,0.0123,3.75,0.0644,0.0061,9.5,0.0583,0.0092,5.3333,0.0061,0.0,0.0,0.0245,0.0,0.0
AAV48576.1 |matrix protein,0.0604,0.0091,5.6667,0.006,0.0,0.0,0.0453,0.0151,2.0,0.0151,0.0,0.0,0.0242,0.0,0.0,0.0483,0.0121,3.0,0.0151,0.0121,0.25,0.0725,0.003,23.0,0.0423,0.0181,1.3333,0.0997,0.006,15.5,0.0151,0.0091,0.6667,0.0272,0.0091,2.0,0.1027,0.0181,4.6667,0.0242,0.0121,1.0,0.0272,0.006,3.5,0.0483,0.0181,1.6667,0.0634,0.0091,6.0,0.0725,0.003,23.0,0.006,0.0,0.0,0.0181,0.006,2.0
ABX75366.1 |matrix protein,0.0583,0.0092,5.3333,0.0061,0.0,0.0,0.0307,0.0215,0.4286,0.0245,0.0031,7.0,0.0276,0.0031,8.0,0.0399,0.0245,0.625,0.0184,0.0031,5.0,0.0767,0.0061,11.5,0.0491,0.0061,7.0,0.089,0.0123,6.25,0.0245,0.0,0.0,0.0245,0.0184,0.3333,0.0951,0.0184,4.1667,0.0337,0.0,0.0,0.0276,0.0061,3.5,0.0491,0.0184,1.6667,0.0613,0.0276,1.2222,0.0583,0.0031,18.0,0.0031,0.0031,0.0,0.0184,0.0,0.0
ABY75323.1 |matrix protein,0.0613,0.0031,19.0,0.0061,0.0,0.0,0.0429,0.0153,1.8,0.0184,0.0031,5.0,0.0276,0.0,0.0,0.0552,0.0061,8.0,0.0184,0.0061,2.0,0.0706,0.0031,22.0,0.0583,0.0031,18.0,0.1043,0.0031,33.0,0.0245,0.0092,1.6667,0.0276,0.0061,3.5,0.1012,0.0092,10.0,0.0399,0.0061,5.5,0.0245,0.0061,3.0,0.0583,0.0123,3.75,0.0644,0.0061,9.5,0.0583,0.0092,5.3333,0.0061,0.0,0.0,0.0245,0.0,0.0
ABY75327.1 |minor matrix protein,0.0598,0.0,0.0,0.004,0.0,0.0,0.0359,0.0,0.0,0.0438,0.0,0.0,0.0398,0.0,0.0,0.0438,0.0,0.0,0.0239,0.0,0.0,0.0717,0.0,0.0,0.0518,0.0,0.0,0.1315,0.0,0.0,0.0359,0.0,0.0,0.0637,0.0,0.0,0.0478,0.0,0.0,0.0398,0.0,0.0,0.0438,0.0,0.0,0.0797,0.0,0.0,0.0717,0.0,0.0,0.0717,0.0,0.0,0.0199,0.0,0.0,0.0199,0.0,0.0
ACR33189.1 |matrix protein,0.0613,0.0031,19.0,0.0061,0.0,0.0,0.0429,0.0153,1.8,0.0184,0.0031,5.0,0.0276,0.0,0.0,0.0552,0.0061,8.0,0.0184,0.0061,2.0,0.0706,0.0031,22.0,0.0583,0.0031,18.0,0.1043,0.0031,33.0,0.0245,0.0092,1.6667,0.0276,0.0061,3.5,0.1012,0.0092,10.0,0.0399,0.0061,5.5,0.0245,0.0061,3.0,0.0583,0.0123,3.75,0.0644,0.0061,9.5,0.0583,0.0092,5.3333,0.0061,0.0,0.0,0.0245,0.0,0.0
