Naziv_proteina,frakcijska_razlika_A,frakcijska_razlika_C,frakcijska_razlika_D,frakcijska_razlika_E,frakcijska_razlika_F,frakcijska_razlika_G,frakcijska_razlika_H,frakcijska_razlika_I,frakcijska_razlika_K,frakcijska_razlika_L,frakcijska_razlika_M,frakcijska_razlika_N,frakcijska_razlika_P,frakcijska_razlika_Q,frakcijska_razlika_R,frakcijska_razlika_S,frakcijska_razlika_T,frakcijska_razlika_V,frakcijska_razlika_W,frakcijska_razlika_Y
AAD14585.1 ___virion spike glycoprotein precursor,-0.2871,0.0,-0.147,-0.1115,4.4733,0.6811,-0.6872,2.714,0.2845,1.9321,-0.8697,-0.3577,-0.4136,-0.0715,1.1893,-0.7439,-0.4396,0.3194,0,4.4733
AAQ55048.1 ___virion spike glycoprotein precursor,-0.2583,0.0,-0.1277,-0.2298,4.6321,0.7939,-0.6662,2.859,0.3708,1.6223,-0.8609,-0.3146,-0.4846,-0.0092,0.6092,-0.7467,-0.4348,0.3559,0,4.8407
ABX75367.1 ___virion spike glycoprotein precursor,-0.2871,0.0,-0.147,-0.1115,4.4733,0.6811,-0.6872,2.714,0.2845,1.9321,-0.8697,-0.3577,-0.4136,-0.0715,1.1893,-0.7439,-0.4396,0.3194,0,4.4733
ACI28624.1 ___spike glycoprotein precursor,0.5261,0.0,-0.1391,-0.195,12.1478,1.6609,-0.4261,1.1466,2.6,0.9722,-0.7652,-0.2818,-0.6727,-0.2487,-0.2957,-0.5799,-0.4943,0.6174,0,5.5739
ACI28632.1 ___spike glycoprotein precursor,0.0532,0.0,0.141,-0.2828,3.7269,0.6003,-0.511,1.7709,0.4058,0.7115,-0.8044,0.467,-0.6903,-0.3777,0.467,-0.687,-0.4431,0.141,0,0.0
AGB56686.1 ___virion spike glycoprotein precursor,-0.2974,0.0,-0.0898,-0.2619,4.6321,0.9932,-0.6662,6.718,0.1994,1.6223,-0.7914,-0.3146,-0.4846,0.1324,0.8774,-0.7636,-0.4348,0.2052,0,1.9203
AGB56695.1 ___virion spike glycoprotein precursor,-0.2974,0.0,-0.0898,-0.2619,4.6321,0.9932,-0.6662,6.718,0.1994,1.6223,-0.7914,-0.3146,-0.4846,0.1324,0.8774,-0.7636,-0.4348,0.2052,0,1.9203
AGB56704.1 ___virion spike glycoprotein precursor,-0.2974,0.0,-0.0898,-0.2619,4.6321,0.9932,-0.6662,6.718,0.1994,1.6223,-0.7914,-0.3146,-0.4846,0.1324,0.8774,-0.7636,-0.4348,0.2052,0,1.9203
AGB56713.1 ___virion spike glycoprotein precursor,-0.2974,0.0,-0.0898,-0.2619,4.6321,0.9932,-0.6662,6.718,0.1994,1.6223,-0.7914,-0.3146,-0.4846,0.1324,0.8774,-0.7636,-0.4348,0.2052,0,1.9203
AGB56722.1 ___virion spike glycoprotein precursor,-0.2974,0.0,-0.0898,-0.2619,4.6321,0.9932,-0.6662,6.718,0.1994,1.6223,-0.7914,-0.3146,-0.4846,0.1324,0.8774,-0.7636,-0.4348,0.2052,0,1.9203
AGB56731.1 ___virion spike glycoprotein precursor,-0.2974,0.0,-0.0898,-0.2619,4.6321,0.9932,-0.6662,6.718,0.1994,1.6223,-0.7914,-0.3146,-0.4846,0.1324,0.8774,-0.7636,-0.4348,0.2052,0,1.9203
AGB56740.1 ___virion spike glycoprotein precursor,-0.2974,0.0,-0.0898,-0.2619,4.6321,0.9932,-0.6662,6.718,0.1994,1.6223,-0.7914,-0.3146,-0.4846,0.1324,0.8774,-0.7636,-0.4348,0.2052,0,1.9203
AGB56749.1 ___virion spike glycoprotein precursor,-0.2871,0.0,-0.147,-0.1115,4.4733,0.6811,-0.6872,2.6163,0.2845,1.9321,-0.8697,-0.3577,-0.4136,-0.0715,1.1893,-0.7439,-0.4266,0.3194,0,4.4733
AGB56758.1 ___virion spike glycoprotein precursor,-0.2815,0.0,0.0013,-0.2619,4.6321,0.7939,-0.6662,2.0872,0.3708,1.0396,-0.8609,-0.3146,-0.4159,0.1324,0.408,-0.7467,-0.4213,0.3559,0,4.8407
AGB56767.1 ___virion spike glycoprotein precursor,-0.2815,0.0,0.0013,-0.2619,4.6321,0.7939,-0.6662,2.859,0.3708,1.0396,-0.8609,-0.3146,-0.4159,-0.0092,0.6092,-0.7467,-0.4394,0.3559,0,4.8407
AGB56776.1 ___virion spike glycoprotein precursor,-0.2392,0.0,0.0013,-0.2619,4.6321,0.7939,-0.6662,2.859,0.4304,1.2945,-0.8609,-0.3146,-0.4524,-0.0092,0.5496,-0.7467,-0.4564,0.3559,0,4.8407
AGB56785.1 ___virion spike glycoprotein precursor,-0.2815,0.0,0.0013,-0.2619,4.6321,0.7939,-0.6662,2.859,0.3708,1.0396,-0.8609,-0.3146,-0.4159,-0.0092,0.6092,-0.7467,-0.4394,0.3559,0,4.8407
AGB56794.1 ___virion spike glycoprotein precursor,-0.2583,0.0,-0.0898,-0.2619,4.6321,0.7939,-0.6662,2.859,0.3708,1.2945,-0.8609,-0.3146,-0.4524,-0.0092,0.6092,-0.7467,-0.4348,0.3559,0,4.8407
AGB56803.1 ___virion spike glycoprotein precursor,-0.2815,0.0,0.0013,-0.2619,4.6321,0.7939,-0.6662,2.859,0.3708,1.0396,-0.8609,-0.3146,-0.4159,-0.0092,0.6092,-0.7467,-0.4394,0.3559,0,4.8407
AGB56812.1 ___virion spike glycoprotein precursor,-0.2392,0.0,0.0013,-0.2619,4.6321,0.7939,-0.6662,2.859,0.4304,1.2945,-0.8609,-0.3146,-0.4524,-0.0092,0.5496,-0.7467,-0.4564,0.3559,0,4.8407
AGB56821.1 ___virion spike glycoprotein precursor,-0.2583,0.0,-0.0898,-0.2619,4.6321,0.7939,-0.6662,2.859,0.3708,1.2945,-0.8609,-0.3146,-0.4524,-0.0092,0.6092,-0.7467,-0.4348,0.3559,0,4.8407
AGB56830.1 ___virion spike glycoprotein precursor,-0.2507,0.0,-0.2066,-0.3483,4.3554,0.7058,-0.5537,1.5124,0.3034,3.562,-0.8678,-0.2982,-0.4446,-0.1625,0.7851,-0.745,-0.3829,0.4734,0,0.8512
AGB56839.1 ___virion spike glycoprotein precursor,-0.2871,0.0,-0.147,-0.1115,4.4733,0.6811,-0.6872,2.6163,0.2845,1.9321,-0.8697,-0.3577,-0.4136,-0.0715,1.1893,-0.7439,-0.4266,0.3194,0,4.4733
AGN52936.1 ___spike glycoprotein,1.4879,0.0,0.215,-0.3925,0.0,0.7164,-0.6529,3.2236,-0.3202,2.4136,-0.6529,0.0,-0.46,0.9961,-0.6942,-0.6702,-0.1707,-0.2726,0,3.3393
AHX24649.2 ___virion spike glycoprotein precursor,-0.3145,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4181,0,1.9412
AHX24658.2 ___virion spike glycoprotein precursor,-0.3145,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4181,0,1.9412
AHX24667.2 ___virion spike glycoprotein precursor,-0.2899,0.0,-0.0504,-0.1658,4.8758,0.8715,-0.6131,2.1338,0.0639,1.0795,-0.8549,-0.4015,-0.3907,0.0337,0.6788,-0.7534,-0.4052,0.4689,0,2.0467
AHY61337.1 ___spike glycoprotein,0.9439,2.3443,-0.3939,-0.6191,0.484,2.8041,-0.5541,1.4664,-0.5193,0.2541,-0.6029,0.2875,-0.367,-0.1759,-0.5581,-0.3762,0.6512,0.2123,0,4.9361
AIE11800.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIE11809.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIE11818.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIE11827.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIE11836.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIE11845.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIE11854.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIE11863.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIE11872.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIE11881.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
AIE11890.1 ___virion spike glycoprotein precursor,-0.3366,0.0,-0.0833,-0.1947,4.6723,0.8067,-0.6265,2.0252,0.208,1.3109,-0.8599,-0.3557,-0.4118,-0.0021,0.8908,-0.7619,-0.3915,0.4706,0,1.9412
