Naziv proteina,Molska Frakcija Uredjeni,Molska Frakcija Neuredjeni,Procenat uredjeni,Procenat neuredjeni,Frakcijska Razlika
ABA87124.1|nucleoprotein,0.49496,0.50504,49.5%,50.5%,0.0203
ABE27012.1|nucleoprotein,0.50072,0.49928,50.07%,49.93%,-0.0029
ABE27019.1|nucleoprotein,0.50072,0.49928,50.07%,49.93%,-0.0029
ABE27026.1|nucleoprotein,0.50072,0.49928,50.07%,49.93%,-0.0029
ABE27033.1|nucleoprotein,0.50072,0.49928,50.07%,49.93%,-0.0029
ABE27040.1|nucleoprotein,0.50072,0.49928,50.07%,49.93%,-0.0029
ABE27047.1|nucleoprotein,0.50072,0.49928,50.07%,49.93%,-0.0029
ABE27054.1|nucleoprotein,0.50072,0.49928,50.07%,49.93%,-0.0029
ABE27061.1|nucleoprotein,0.50072,0.49928,50.07%,49.93%,-0.0029
ABE27068.1|nucleoprotein,0.49353,0.50647,49.35%,50.65%,0.0262
ABE27075.1|nucleoprotein,0.48777,0.51223,48.78%,51.22%,0.0501
ABE27082.1|nucleoprotein,0.48777,0.51223,48.78%,51.22%,0.0501
ABE27089.1|nucleoprotein,0.49353,0.50647,49.35%,50.65%,0.0262
ABS17548.1|nucleoprotein,0.49209,0.50791,49.21%,50.79%,0.0322
ABS17555.1|nucleoprotein,0.4964,0.5036,49.64%,50.36%,0.0145
ACD13002.1|nucleoprotein,0.48201,0.51799,48.2%,51.8%,0.0746
ACD13009.1|nucleoprotein,0.49353,0.50647,49.35%,50.65%,0.0262
ACD13016.1|nucleoprotein,0.49353,0.50647,49.35%,50.65%,0.0262
ACT79198.1|nucleoprotein,0.49353,0.50647,49.35%,50.65%,0.0262
ACT79205.1|nucleoprotein,0.49353,0.50647,49.35%,50.65%,0.0262
ACT79212.1|nucleoprotein,0.49353,0.50647,49.35%,50.65%,0.0262
ACT79219.1|nucleoprotein,0.49353,0.50647,49.35%,50.65%,0.0262
ACT79226.1|nucleoprotein,0.48777,0.51223,48.78%,51.22%,0.0501
