Naziv_proteina,molska_frakcija_A_uredjen,molska_frakcija_A_neuredjen,frakcijska_razlika_A,molska_frakcija_C_uredjen,molska_frakcija_C_neuredjen,frakcijska_razlika_C,molska_frakcija_D_uredjen,molska_frakcija_D_neuredjen,frakcijska_razlika_D,molska_frakcija_E_uredjen,molska_frakcija_E_neuredjen,frakcijska_razlika_E,molska_frakcija_F_uredjen,molska_frakcija_F_neuredjen,frakcijska_razlika_F,molska_frakcija_G_uredjen,molska_frakcija_G_neuredjen,frakcijska_razlika_G,molska_frakcija_H_uredjen,molska_frakcija_H_neuredjen,frakcijska_razlika_H,molska_frakcija_I_uredjen,molska_frakcija_I_neuredjen,frakcijska_razlika_I,molska_frakcija_K_uredjen,molska_frakcija_K_neuredjen,frakcijska_razlika_K,molska_frakcija_L_uredjen,molska_frakcija_L_neuredjen,frakcijska_razlika_L,molska_frakcija_M_uredjen,molska_frakcija_M_neuredjen,frakcijska_razlika_M,molska_frakcija_N_uredjen,molska_frakcija_N_neuredjen,frakcijska_razlika_N,molska_frakcija_P_uredjen,molska_frakcija_P_neuredjen,frakcijska_razlika_P,molska_frakcija_Q_uredjen,molska_frakcija_Q_neuredjen,frakcijska_razlika_Q,molska_frakcija_R_uredjen,molska_frakcija_R_neuredjen,frakcijska_razlika_R,molska_frakcija_S_uredjen,molska_frakcija_S_neuredjen,frakcijska_razlika_S,molska_frakcija_T_uredjen,molska_frakcija_T_neuredjen,frakcijska_razlika_T,molska_frakcija_V_uredjen,molska_frakcija_V_neuredjen,frakcijska_razlika_V,molska_frakcija_W_uredjen,molska_frakcija_W_neuredjen,frakcijska_razlika_W,molska_frakcija_Y_uredjen,molska_frakcija_Y_neuredjen,frakcijska_razlika_Y
AAD14585.1|virion spike glycoprotein precursor,0.0677,0.078,-0.132,0.0262,0.0,0.0,0.0502,0.055,-0.0877,0.0524,0.055,-0.048,0.0611,0.0092,5.6638,0.0852,0.0642,0.326,0.0197,0.0413,-0.524,0.0786,0.0275,1.8559,0.0459,0.0413,0.1106,0.0895,0.0459,0.9515,0.0022,0.0138,-0.8413,0.0459,0.0734,-0.3753,0.0459,0.0642,-0.286,0.0371,0.0459,-0.1908,0.0568,0.0321,0.7679,0.0328,0.1514,-0.7836,0.0873,0.1514,-0.4231,0.0568,0.0413,0.3751,0.0306,0.0,0.0,0.0284,0.0092,2.0939
AAQ55048.1|virion spike glycoprotein precursor,0.07,0.0822,-0.1481,0.0263,0.0,0.0,0.0481,0.0548,-0.1214,0.0525,0.0594,-0.1153,0.0613,0.0046,12.4179,0.0853,0.0639,0.3349,0.0197,0.0411,-0.5208,0.0788,0.0228,2.4503,0.046,0.0411,0.1182,0.0897,0.0457,0.9648,0.0022,0.0137,-0.8403,0.046,0.0731,-0.371,0.046,0.0776,-0.408,0.0372,0.0457,-0.1853,0.0547,0.0411,0.3311,0.0328,0.137,-0.7604,0.0875,0.1507,-0.4191,0.0569,0.0365,0.5574,0.0306,0.0,0.0,0.0284,0.0091,2.1149
ABX75367.1|virion spike glycoprotein precursor,0.0677,0.078,-0.132,0.0262,0.0,0.0,0.0502,0.055,-0.0877,0.0524,0.055,-0.048,0.0611,0.0092,5.6638,0.0852,0.0642,0.326,0.0197,0.0413,-0.524,0.0786,0.0275,1.8559,0.0459,0.0413,0.1106,0.0895,0.0459,0.9515,0.0022,0.0138,-0.8413,0.0459,0.0734,-0.3753,0.0459,0.0642,-0.286,0.0371,0.0459,-0.1908,0.0568,0.0321,0.7679,0.0328,0.1514,-0.7836,0.0873,0.1514,-0.4231,0.0568,0.0413,0.3751,0.0306,0.0,0.0,0.0284,0.0092,2.0939
ACI28624.1|spike glycoprotein precursor,0.0579,0.0369,0.5689,0.0278,0.0,0.0,0.0486,0.0533,-0.0876,0.0532,0.0615,-0.134,0.0602,0.0123,3.8951,0.0764,0.0287,1.6627,0.0255,0.0369,-0.3097,0.0741,0.0287,1.582,0.0486,0.0205,1.3722,0.0903,0.0533,0.6944,0.0046,0.0164,-0.7176,0.0579,0.0738,-0.2155,0.0463,0.1475,-0.6862,0.0347,0.0451,-0.2298,0.044,0.0656,-0.3293,0.0231,0.1066,-0.7828,0.0926,0.168,-0.449,0.0694,0.041,0.6944,0.0324,0.0,0.0,0.0324,0.0041,6.9074
ACI28632.1|spike glycoprotein precursor,0.0641,0.0549,0.1681,0.0309,0.0,0.0,0.0475,0.0392,0.2114,0.0499,0.0627,-0.205,0.0641,0.0196,2.2708,0.0831,0.0471,0.7666,0.0214,0.0353,-0.3943,0.0784,0.0275,1.8554,0.0499,0.0392,0.272,0.0974,0.051,0.9103,0.0071,0.0157,-0.5457,0.057,0.0627,-0.0914,0.0451,0.1176,-0.6164,0.0309,0.0471,-0.3438,0.0451,0.0353,0.2787,0.0214,0.1255,-0.8296,0.0831,0.1647,-0.4952,0.0641,0.051,0.258,0.0333,0.0,0.0,0.0261,0.0039,5.6627
AGB56686.1|virion spike glycoprotein precursor,0.07,0.0868,-0.1929,0.0263,0.0,0.0,0.0503,0.0548,-0.0815,0.0503,0.0594,-0.1522,0.0613,0.0046,12.4179,0.0853,0.0594,0.4376,0.0197,0.0411,-0.5208,0.0766,0.0183,3.1931,0.046,0.0457,0.0063,0.0897,0.0457,0.9648,0.0022,0.0091,-0.7604,0.046,0.0731,-0.371,0.046,0.0776,-0.408,0.0372,0.0411,-0.0948,0.0547,0.0365,0.4975,0.0328,0.1461,-0.7754,0.0897,0.1461,-0.386,0.0569,0.0411,0.3844,0.0306,0.0,0.0,0.0284,0.0137,1.0766
AGB56695.1|virion spike glycoprotein precursor,0.07,0.0868,-0.1929,0.0263,0.0,0.0,0.0503,0.0548,-0.0815,0.0503,0.0594,-0.1522,0.0613,0.0046,12.4179,0.0853,0.0594,0.4376,0.0197,0.0411,-0.5208,0.0766,0.0183,3.1931,0.046,0.0457,0.0063,0.0897,0.0457,0.9648,0.0022,0.0091,-0.7604,0.046,0.0731,-0.371,0.046,0.0776,-0.408,0.0372,0.0411,-0.0948,0.0547,0.0365,0.4975,0.0328,0.1461,-0.7754,0.0897,0.1461,-0.386,0.0569,0.0411,0.3844,0.0306,0.0,0.0,0.0284,0.0137,1.0766
AGB56704.1|virion spike glycoprotein precursor,0.07,0.0868,-0.1929,0.0263,0.0,0.0,0.0503,0.0548,-0.0815,0.0503,0.0594,-0.1522,0.0613,0.0046,12.4179,0.0853,0.0594,0.4376,0.0197,0.0411,-0.5208,0.0766,0.0183,3.1931,0.046,0.0457,0.0063,0.0897,0.0457,0.9648,0.0022,0.0091,-0.7604,0.046,0.0731,-0.371,0.046,0.0776,-0.408,0.0372,0.0411,-0.0948,0.0547,0.0365,0.4975,0.0328,0.1461,-0.7754,0.0897,0.1461,-0.386,0.0569,0.0411,0.3844,0.0306,0.0,0.0,0.0284,0.0137,1.0766
AGB56713.1|virion spike glycoprotein precursor,0.07,0.0868,-0.1929,0.0263,0.0,0.0,0.0503,0.0548,-0.0815,0.0503,0.0594,-0.1522,0.0613,0.0046,12.4179,0.0853,0.0594,0.4376,0.0197,0.0411,-0.5208,0.0766,0.0183,3.1931,0.046,0.0457,0.0063,0.0897,0.0457,0.9648,0.0022,0.0091,-0.7604,0.046,0.0731,-0.371,0.046,0.0776,-0.408,0.0372,0.0411,-0.0948,0.0547,0.0365,0.4975,0.0328,0.1461,-0.7754,0.0897,0.1461,-0.386,0.0569,0.0411,0.3844,0.0306,0.0,0.0,0.0284,0.0137,1.0766
AGB56722.1|virion spike glycoprotein precursor,0.07,0.0868,-0.1929,0.0263,0.0,0.0,0.0503,0.0548,-0.0815,0.0503,0.0594,-0.1522,0.0613,0.0046,12.4179,0.0853,0.0594,0.4376,0.0197,0.0411,-0.5208,0.0766,0.0183,3.1931,0.046,0.0457,0.0063,0.0897,0.0457,0.9648,0.0022,0.0091,-0.7604,0.046,0.0731,-0.371,0.046,0.0776,-0.408,0.0372,0.0411,-0.0948,0.0547,0.0365,0.4975,0.0328,0.1461,-0.7754,0.0897,0.1461,-0.386,0.0569,0.0411,0.3844,0.0306,0.0,0.0,0.0284,0.0137,1.0766
